Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Contact Size","Module Capacity","Size / Dimension"
http://www.amphenolpcd.com/sites/default/files/product-docs/AmphenolPcdCatalog2015_0b2.pdf,-,CNS074900-ND,CNS074900,Amphenol PCD,CONN SOCKET CONTACT SZ20,0,0,"15.85520","0","25","-","Active","Contact","20","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS316601_C.pdf,-,TJS316601-ND,TJS316601,Amphenol PCD,CONN WIRE SPLICE SZ16 1.922"" L,0,0,"15.87320","0","25","TJS","Active","Wire Splice","16","4","1.922"" L (48.82mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS316602_C.pdf,-,TJS316602-ND,TJS316602,Amphenol PCD,CONN WIRE SPLICE SZ16 1.922"" L,0,0,"15.87320","0","25","TJS","Active","Wire Splice","16","4","1.922"" L (48.82mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502101_C.pdf,-,SJT504104-ND,SJT504104,Amphenol PCD,CONN RAIL 2.072"" L X 0.885"" W,0,0,"15.92520","0","25","SJT","Active","Rail","-","4","2.072"" L x 0.885"" W x 0.900"" H (52.63mm x 22.48mm x 22.86mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502301_C.pdf,-,SJT504304-ND,SJT504304,Amphenol PCD,CONN RAIL 2.072"" L X 0.885"" W,0,0,"15.92520","0","25","SJT","Active","Rail","-","4","2.072"" L x 0.885"" W x 0.900"" H (52.63mm x 22.48mm x 22.86mm)"
http://www.amphenol.co.jp/military/catalog/T81714series2/0-T81714-II.pdf,-,SJT504404-ND,SJT504404,Amphenol PCD,CONN RAIL 2.072"" L X 0.885"" W,0,0,"15.92520","0","25","SJT","Active","Rail","-","4","2.072"" L x 0.885"" W x 0.915"" H (52.63mm x 22.48mm x 23.24mm)"
-,-,SJT504504-ND,SJT504504,Amphenol PCD,"MODULE MOUNTING TRACK, 4 POSITIO",0,0,"15.92520","0","25","SJT","Active","Rail","-","4","-"
-,-,JTE-20-02[V003]-ND,JTE-20-02 [V003],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"16.15904","0","83","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJTC02000_C.pdf,-,SJTC14000-ND,SJTC14000,Amphenol PCD,CONN RAIL 7.252"" L X 0.892"" W,0,0,"16.23720","0","25","SJT","Active","Rail","-","14","7.252"" L x 0.892"" W (184.20mm x 22.66mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-20-513[V003]-ND,CTL-20-513 [V003],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"16.28900","0","80","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-20-513[V004]-ND,CTL-20-513 [V004],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"16.28900","0","80","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-20-513[V0A1]-ND,CTL-20-513 [V0A1],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"16.28900","0","80","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJM116601_C.pdf,-,TJM116601-ND,TJM116601,Amphenol PCD,CONN FEEDBACK MOD SZ16 0.850"" L,0,0,"16.47120","0","25","TJM","Active","Feedback Module Block","16","8","0.850"" L x 0.390"" W x 1.032"" H (21.59mm x 9.91mm x 26.21mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJM116607_C.pdf,-,TJM116607-ND,TJM116607,Amphenol PCD,CONN FEEDBACK MOD SZ16 0.850"" L,0,0,"16.47120","0","25","TJM","Active","Feedback Module Block","16","8","0.850"" L x 0.390"" W x 1.032"" H (21.59mm x 9.91mm x 26.21mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-16-4024[V003]-ND,CTL-16-4024 [V003],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"16.66595","0","79","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-16-ND,CTL-16,TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"16.74397","0","78","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJG016100_C.pdf,-,SJG016101-ND,SJG016101,Amphenol PCD,CONN GRND BLOCK SZ16 0.740"" L,0,0,"16.79600","0","25","SJG","Active","Ground Block","16","6","0.740"" L x 0.580"" W x 1.345"" H (18.80mm x 14.73mm x 34.16mm)"
-,-,TSA16-01-ND,TSA 16-01,TE Connectivity Deutsch Connectors,TSA 16-01,0,0,"16.84667","0","15","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJT502101_C.pdf,-,SJT505104-ND,SJT505104,Amphenol PCD,CONN RAIL 2.590"" L X 0.885"" W,0,0,"16.87400","0","25","SJT","Active","Rail","-","5","2.590"" L x 0.885"" W x 0.900"" H (65.79mm x 22.48mm x 22.86mm)"
-,-,SJT505504-ND,SJT505504,Amphenol PCD,"MODULE MOUNTING TRACK, 5 POSITIO",0,0,"16.87400","0","25","SJT","Active","Rail","-","5","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DCR-1x-xx&DocType=Customer+Drawing&DocLang=English,-,DCR-1A-03[V003]-ND,DCR-1A-03 [V003],TE Connectivity Deutsch Connectors,COMPOSIT RAIL,0,0,"17.28000","0","90","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-16-513[V001]-ND,CTL-16-513 [V001],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"17.32895","0","76","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-16-513[V0A1]-ND,CTL-16-513 [V0A1],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"17.32895","0","76","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DCR-1x-xx&DocType=Customer+Drawing&DocLang=English,-,DCR-1A-02-4021[V003]-ND,DCR-1A-02-4021 [V003],TE Connectivity Deutsch Connectors,COMPOSIT RAIL,0,0,"17.44500","0","50","*","Active","-","-","-","-"
