Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Size","Cable Diameter","Legend","Color","Material"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MT172-M.jpg,298-18074-ND,MT172-M,Panduit Corp,"MARKER TAG, ONE HOLE, 304 STAINL",2000,0,"0.74000","0","1","1000 per Pkg","Pan-Steel®","Active","Wire Marker, Cable Tie","0.75"" W x 1.72"" L (19.1mm x 43.7mm)","-","Blank","Silver","Stainless Steel 304"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mm/mmp/mmp1/mmp172m/media/C-IDMMP172-C--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MMP172-M.jpg,298-16823-ND,MMP172-M,Panduit Corp,"MARKER PLATE, FOUR HOLES, 304 ST",1965,0,"0.74000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","0.75"" W x 1.72"" L (19.1mm x 43.7mm)","-","Blank","Silver","Stainless Steel 304"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP250-M.jpg,298-14967-ND,MP250-M,Panduit Corp,MARKER PLATE,5000,0,"0.83000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP200-C.jpg,298-14964-ND,MP200-C,Panduit Corp,MARKER PLATE,1280,0,"0.86000","0","1","100 per Pkg","MP","Active","Wire Marker, Cable Tie","0.75"" W x 2.00"" L (19.1mm x 50.8mm)","-","Blank","White","Nylon"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mt/mt3/mt35/mt350m/media/C-IDMT172-C--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MT350-M.jpg,298-16829-ND,MT350-M,Panduit Corp,"MARKER TAG, ONE HOLE, 304 STAINL",2000,0,"0.89000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","0.75"" W x 3.50"" L (19.1mm x 88.9mm)","-","Blank","Silver","Stainless Steel 304"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP175-C.jpg,298-14962-ND,MP175-C,Panduit Corp,MARKER PLATE,2293,0,"0.98000","0","1","100 per Pkg","MP","Active","Wire Marker, Cable Tie","0.75"" W x 1.75"" L (19.1mm x 44.4mm)","-","Blank","White","Nylon"
http://www.panduit.com/heiler/PartDrawings/N41270BS_DC03A.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_MMP350H.jpg,298-16908-ND,MMP350H-CAL,Panduit Corp,MARKER PLATE ALUMINUM 4HOLE,1500,0,"0.98000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP150-C.jpg,298-14961-ND,MP150-C,Panduit Corp,MARKER PLATE,1039,0,"0.98000","0","1","100 per Pkg","MP","Active","Wire Marker, Cable Tie","0.75"" W x 1.50"" L (19.1mm x 38.1mm)","-","Blank","White","Nylon"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP350-C.jpg,298-14969-ND,MP350-C,Panduit Corp,MARKER PLATE,1990,0,"1.08000","0","1","100 per Pkg","MP","Active","Wire Marker, Cable Tie","0.75"" W x 3.50"" L (19.1mm x 88.9mm)","-","Blank","White","Nylon"
http://www.panduit.com/heiler/PartDrawings/C-SSMMP350-C-N41044BS--ENG.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_MMP350-Series.jpg,298-18480-ND,MMP350-C316,Panduit Corp,MARKER PLATE STEEL 4HL 3.5""X.8"",1180,0,"1.26000","0","1","100 per Pkg","-","Active","Wire Marker, Cable Tie","0.75"" W x 3.50"" L (19.1mm x 88.9mm)","-","Blank","Silver","Stainless Steel 316"
