Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Diameter - Inside, Non-Expanded","Diameter - Inside, Expanded","Diameter - Outside, Non-Expanded","Material","Color","Length","Wall Thickness","Operating Temperature","Heat Protection","Abrasion Protection","Liquid Protection","Environment Protection","Features","Material Flammability Rating","Width"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N0.75CW.jpg,1030-1472-ND,F6N0.25CW200,Techflex,SELF WRAP 1/4"" X 200' CLEAR/WHT,5,0,"98.30000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","0.250"" (6.35mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Clear, White","200' (60.96m)","0.025"" (0.64mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://www.panduit.com/heiler/PartDrawings/GB0239LQ_02-5-23-11.pdf,-,298-20413-ND,T19R-CY,Panduit Corp,SPIRAL WRAP 0.188"" X 100' WHITE,6,0,"98.32000","0","1","T","Active","Spiral Wrap","Harness","-","1.000"" (25.40mm)","0.188"" (4.78mm)","Polyethylene (PE)","White","100' (30.48m)","0.035"" (0.89mm)","-40°C ~ 50°C","Fire Resistant","Abrasion Resistant","-","-","-","UL94 V-2","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/fgl.pdf,//media.digikey.com/photos/Techflex/MFG_FGL(G)_RD.jpg,1030-1540-ND,FGL0.50RD,Techflex,SLEEVING 1/2"" X 100' RED,5,0,"99.84000","0","1","Insultherm® Tru-Fit","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.524"" (13.31mm)","-","Fiberglass, Acrylic Coated, Halogen Free","Red","100' (30.48m)","0.010"" (0.25mm)","-70°C ~ 650°C","Heat Resistant","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut, Solvent Resistant","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_Flexo-Wrap-Gray.jpg,1030-1492-ND,F6N2.00PG25,Techflex,SELF WRAP 2"" X 25' GRAY,5,0,"101.68000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","2.000"" (50.80mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Gray","25.00' (7.62m)","0.038"" (0.96mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
https://cdn.techflex.com/assets/pdfs/specification-sheets/f6h.pdf,//media.digikey.com/Photos/Techflex/MFG_F6-HD.jpg,1030-1463-ND,F6H0.50BK50,Techflex,"1/2"" F6 HEAVY DUTY, BLACK, 50 FT",4,0,"102.39000","0","1","F6® Heavy","Active","Self Wrap","Split Flexible Tube","0.500"" (12.70mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","50.00' (15.24m)","0.057"" (1.45mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","Fluid Resistant","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-HSCLT100F-C20--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CLT-Series-black.jpg,298-13564-ND,CLT62N-C630,Panduit Corp,SLIT WRAP 0.664"" X 100' BLACK,5,0,"103.27000","0","1","CLT","Active","Slit Wrap","Slit Harness","0.664"" (16.87mm)","-","0.847"" (21.51mm)","Polyamide (PA6), Nylon 6","Black","100' (30.48m)","0.007"" ~ 0.020"" (0.18mm ~ 0.51mm)","-40°C ~ 110°C","Heat Stabilized","Abrasion Resistant","-","-","Crush Resistant, Impact Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6v.pdf,//media.digikey.com/Photos/Techflex/MFG_F6V1.jpg,1030-1513-ND,F6V1.50TB50,Techflex,SELF WRAP 1.5"" X 50' BLACK/WHITE,5,0,"104.64000","0","1","F6® Woven Wrap FR","Active","Self Wrap","Split Flexible Tube","1.500"" (38.10mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","50.00' (15.24m)","0.027"" (0.69mm)","-70°C ~ 125°C","Flame Retardant","Abrasion Resistant","-","-","Clean Cut","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6w.pdf,//media.digikey.com/Photos/Techflex/MFG_F6W0.63WH.jpg,1030-1525-ND,F6W0.63WH125,Techflex,SELF WRAP 5/8"" X 125' WHITE,4,0,"104.89000","0","1","F6® Woven Wrap","Active","Self Wrap","Split Flexible Tube","-","-","0.625"" (15.88mm)","Polyethylene Terephthalate (PET), Halogen Free","White","125' (38.10m)","0.027"" (0.69mm)","-70°C ~ 125°C","-","Abrasion Resistant","-","-","Clean Cut","UL94 V-0","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=VERSAFLEX&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/CH02014001.JPG,A118727-300-ND,VERSAFLEX-1/8-0-SP,TE Connectivity Raychem Cable Protection,SLEEVING 0.118"" X 300M BLACK,13,0,"106.51000","0","1","Versaflex","Active","Sleeve","Expandable","0.118"" (3.00mm)","0.252"" (6.40mm)","-","Polyester (PES)","Black","984' (300.00m)","-","-50°C ~ 150°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Fungus Resistant, Solvent Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/fhh.pdf,//media.digikey.com/Photos/Techflex/MFG_FHH.jpg,1030-1560-ND,FHH1.00NT,Techflex,SLEEVING 1"" X 50' NATURAL,4,0,"108.00000","0","1","Insultherm® Ultraflex Pro","Active","Sleeve","Expandable","1.000"" (25.40mm)","1.375"" (34.93mm)","-","Fiberglass, Halogen Free","Natural","50.00' (15.24m)","0.032"" (0.81mm)","-70°C ~ 650°C","Heat Resistant","Abrasion Resistant, Fray Resistant","-","-","Vibration Resistant","UL VW-1","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Spiral%20Wrap/SW1?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/SW1%20NA005%20(2).JPG,SW1NA002-500-ND,SW1 NA002,Alpha Wire,SPIRAL WRAP 0.061"" X 500' NAT,6,25,"108.63000","0","1","FIT® SW","Active","Spiral Wrap","Harness","0.061"" (1.55mm)","-","0.125"" (3.18mm)","Polyethylene (PE), Halogen Free","Natural","500' (152.40m)","0.032"" (0.81mm)","-60°C ~ 88°C","-","Abrasion Resistant","-","-","Solvent Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/fhn.pdf,//media.digikey.com/Photos/Techflex/MFG_FHN0.50NT.jpg,1030-1566-ND,FHN0.50NT,Techflex,SLEEVING 1/2"" X 100' NATURAL,4,0,"110.40000","0","1","Insultherm® Ultraflex","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.625"" (15.88mm)","-","Fiberglass, Halogen Free","Natural","100' (30.48m)","0.013"" (0.33mm)","-70°C ~ 650°C","Heat Resistant","Abrasion Resistant","-","-","Clean Cut, Vibration Resistant","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N0.50OR75.jpg,1030-1478-ND,F6N0.50OR150,Techflex,SELF WRAP 1/2"" X 150' ORANGE,2,0,"113.36000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","0.500"" (12.70mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Orange","150' (45.72m)","0.025"" (0.64mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6f.pdf,//media.digikey.com/Photos/Techflex/MFG_F6F0-50TB.jpg,1030-1461-ND,F6F2.00TB25,Techflex,SELF WRAP 2"" X 25' BLACK/WHITE,4,0,"114.80000","0","1","F6® FR","Active","Self Wrap","Split Flexible Tube","2.000"" (50.80mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","25.00' (7.62m)","0.038"" (0.96mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut, Self Extinguishing, Solvent Resistant","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/fhh.pdf,//media.digikey.com/Photos/Techflex/MFG_FHH0.50NT.jpg,1030-1558-ND,FHH0.50NT,Techflex,SLEEVING 1/2"" X 100' NATURAL,4,0,"115.20000","0","1","Insultherm® Ultraflex Pro","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.625"" (15.88mm)","-","Fiberglass, Halogen Free","Natural","100' (30.48m)","0.025"" (0.64mm)","-70°C ~ 650°C","Heat Resistant","Abrasion Resistant, Fray Resistant","-","-","Vibration Resistant","UL VW-1","-"
https://cdn.techflex.com/assets/pdfs/specification-sheets/f6h.pdf,//media.digikey.com/Photos/Techflex/MFG_F6-HD.jpg,1030-1464-ND,F6H0.63BK50,Techflex,"5/8"" F6 HEAVY DUTY, BLACK, 50 FT",3,0,"115.53000","0","1","F6® Heavy","Active","Self Wrap","Split Flexible Tube","0.625"" (15.88mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","50.00' (15.24m)","-","-70°C ~ 125°C","-","Abrasion and Cut Resistant","Fluid Resistant","-","-","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6w.pdf,//media.digikey.com/Photos/Techflex/MFG_F6W1.00WH.jpg,1030-1531-ND,F6W1.00WH,Techflex,SELF WRAP 1"" X 100' WHITE,5,0,"117.02000","0","1","F6® Woven Wrap","Active","Self Wrap","Split Flexible Tube","-","-","1.000"" (25.40mm)","Polyethylene Terephthalate (PET), Halogen Free","White","100' (30.48m)","0.027"" (0.69mm)","-70°C ~ 125°C","-","Abrasion Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6v.pdf,//media.digikey.com/Photos/Techflex/MFG_F6V1.jpg,1030-1510-ND,F6V1.25TB75,Techflex,SELF WRAP 1-1/4"" X 75' BLACK/WHT,5,0,"118.08000","0","1","F6® Woven Wrap FR","Active","Self Wrap","Split Flexible Tube","1.250"" (31.75mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","75.00' (22.86m)","0.027"" (0.69mm)","-70°C ~ 125°C","Flame Retardant","Abrasion Resistant","-","-","Clean Cut","UL VW-1","-"
http://www.essentracomponents.com.sg/images-line/pdfs/SHR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_11646.jpg,RPC5037-ND,SHR-08-PPB,Essentra Components,SLIT WRAP 0.315"" X 100M BLACK,6,0,"120.26000","0","1","SHR","Active","Slit Wrap","Slit Harness","0.315"" (8.00mm)","0.394"" (10.00mm)","-","Polypropylene (PP)","Black","328' (100.00m)","0.032"" (0.81mm)","-","-","Abrasion Resistant","-","-","-","-","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Spiral%20Wrap/SW14?device=pdf,-,SW14WH008-25-ND,SW14 WH008,Alpha Wire,SPIRAL WRAP 0.62"" X 25' WHITE,12,10,"120.69000","0","1","FIT® SW","Active","Spiral Wrap","Harness","0.620"" (15.75mm)","-","0.750"" (19.05mm)","Polyethylene (PE)","White","25.00' (7.62m)","0.065"" (1.65mm)","-20°C ~ 80°C","Flame Retardant","-","-","-","Self Extinguishing","-","-"
