Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Cable Pairs","Diameter - Inside","Length - Overall","Sheath Opening","Features"
https://www.budind.com/pdf/FBR-11604.pdf,//media.digikey.com/Photos/BUD%20Industries%20Photos/MFG_FBR-11604.jpg,377-2674-ND,FBR-11604,Bud Industries,WIRE SPLICE TRAY SPLICE,0,0,"11.07000","0","1","FBR","Active","Tray, Splice","2 Fibers","-","6.61"" (168.0mm)","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0364-001-CSU.PDF,-,1436-2500-ND,FWO-SAA-R,HellermannTyton,WIRE SPLICE TRAY SPLICE,15,0,"19.40000","0","1","-","Active","Tray, Splice","2 Fibers","-","3.35"" (85.0mm)","-","-"
-,//media.digikey.com/photos/BUD%20Industries%20Photos/MFG_FBR-11608.jpg,377-2678-ND,FBR-11608,Bud Industries,WIRE SPLICE TRAY SPLICE,23,45,"22.70000","0","1","FBR","Active","Tray, Splice","12 Fibers","-","7.73"" (196.3mm)","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159648-ND,5311,3M,WIRE SPLICE MOTOR KIT 1PAIR,3,0,"24.95000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
https://www.budind.com/pdf/FBR-11607.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/MFG_FBR-11607.jpg,377-2677-ND,FBR-11607,Bud Industries,WIRE SPLICE TRAY SPLICE,17,18,"25.42000","0","1","FBR","Active","Tray, Splice","8 Fibers","-","8.78"" (223.0mm)","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159637-ND,5300,3M,WIRE SPLICE MOTOR KIT 1PAIR,3,0,"38.31000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
https://multimedia.3m.com/mws/media/503699O/3m-scotchcast-multi-mold-inline-splicing-kits-85-series.pdf,-,3M160746-ND,85-14,3M,MULTI-MOLD,5,0,"45.33000","0","1","*","Active","-","-","-","-","-","-"
https://multimedia.3m.com/mws/media/503699O/3m-scotchcast-multi-mold-inline-splicing-kits-85-series.pdf,-,3M157402-ND,85-12,3M,MULTI-MOLD,5,0,"46.16000","0","1","*","Active","-","-","-","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/18-0362-001-CSU.PDF,-,1436-2488-ND,FDES-E,HellermannTyton,WIRE SPLICE TRAY SPLICE,5,0,"46.65000","0","1","-","Active","Tray, Splice","18 Fibers","-","6.06"" (154.0mm)","-","-"
https://multimedia.3m.com/mws/media/41589O/motor-lead-splicing-kits-5300-series.pdf,-,3M159639-ND,5301 PIGTAIL,3M,WIRE SPLICE MOTOR KIT 1PAIR,4,0,"55.35000","0","1","5300","Active","Motor Splice Kit","1 Pair","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/82-A2_Ds.pdf,-,3M160691-ND,82-A2,3M,WIRE SPLICE PWR CBL KIT 1PAIR,0,0,"59.09000","0","1","Scotchcast™","Active","Power Cable Splice Kit","1 Pair @ 3/0-2 AWG","-","-","6.00"" (152.4mm)","-"
https://multimedia.3m.com/mws/media/829862O/3m-scotchcast-flexible-power-cable-splicing-kits-82-f-82-bf.pdf,-,3M160694-ND,82-BF1,3M,WIRE SPLICE PWR CBL KIT 1PAIR,0,0,"73.81000","0","1","Scotchcast™","Active","Power Cable Splice Kit","1 Pair @ 1/0 AWG","-","8.30"" (210.8mm)","-","-"
-,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_GRDS58-X.jpg,298-17044-ND,GRDS58-X,Panduit Corp,WIRE SPLICE DRIVING SLEEVE,4,0,"84.63000","0","1","-","Active","Driving Sleeve","-","0.625"" (15.88mm)","6.00"" (152.4mm)","-","-"
