Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Bushing, Grommet Type","For Use With/Related Products","Panel Thickness","Panel Cutout Dimensions","Diameter - Inside","Features","Material","Color","Material Flammability Rating"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/PGSB-30.JPG,RPC4639-ND,PGSB-1822,Essentra Components,BUSHING 0.717"" NYLON BLACK,3879,0,"0.29000","0","1","PGSB","Active","Bushing","Cable, Wires","0.035"" ~ 0.091"" (0.89mm ~ 2.31mm)","Circular - 0.866"" (22.00mm)","0.717"" (18.21mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC3156-ND,PGSB-16,Essentra Components,BUSHING 0.437"" NYLON BLACK,2755,0,"0.30000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.562"" (14.27mm)","0.437"" (11.10mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC3155-ND,PGSB-15,Essentra Components,BUSHING 0.391"" NYLON BLACK,2931,0,"0.31000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.562"" (14.27mm)","0.391"" (9.93mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7240-ND,22MP06258,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",49985,0,"0.32000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.625"" (15.88mm)","0.500"" (12.70mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,-,RPC7241-ND,22MP06257,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",20000,0,"0.32000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.625"" (15.88mm)","0.437"" (11.10mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7242-ND,22MP05627,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",20000,0,"0.32000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.562"" (14.27mm)","0.437"" (11.10mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/GR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/GR3001A.JPG,RPC4032-ND,GR3081A,Essentra Components,GROMMET 0.188"" RUBBER BLACK,8103,0,"0.32000","0","1","GR","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.313"" (7.95mm)","0.188"" (4.78mm)","-","Styrene-Butadiene Rubber (SBR), 60 Durometer","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4638-ND,PGSB-18,Essentra Components,BUSHING 0.437"" NYLON BLACK,5795,0,"0.32000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.625"" (15.88mm)","0.437"" (11.10mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7243-ND,22MP05626,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",5000,0,"0.32000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.562"" (14.27mm)","0.375"" (9.52mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC6921-ND,22MP06254,Essentra Components,SNAP FIT BUSHING: .250 IN (6.4 M,4990,0,"0.32000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.625"" (15.88mm)","0.250"" (6.35mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4640-ND,PGSB-19,Essentra Components,BUSHING 0.500"" NYLON BLACK,3455,0,"0.32000","0","1","PGSB","Active","Bushing","Cable, Wires","0.062"" (1.57mm)","Circular - 0.625"" (15.88mm)","0.500"" (12.70mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7245-ND,22MP05625,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",2948,0,"0.32000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.562"" (14.27mm)","0.312"" (7.92mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSD.pdf,//media.digikey.com/Photos/Richco%20Photos/MFG_PGSD.jpg,RPC4670-ND,PGSD-6,Essentra Components,BUSHING 0.437"" NYLON BLACK,7108,0,"0.33000","0","1","PGSD","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.625"" (15.88mm)","0.437"" (11.10mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_22AF0625.jpg,RPC7256-ND,22AF0750,Essentra Components,"ALL FIT BUSHING, BLACK, HS NYLON",49950,0,"0.34000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.750"" (19.05mm)","0.500"" (12.70mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23MP04N40.jpg,RPC7226-ND,23MP05N40,Essentra Components,"STRAIN RELIEF, ROUND CABLE, CABL",9972,0,"0.35000","0","1","MicroPlastics","Active","Bushing, Strain Relief","HPD, SV, SVT","0.062"" (1.57mm)","Variable Size","Variable Size","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23MP04N40.jpg,RPC7225-ND,23MP05P40,Essentra Components,"STRAIN RELIEF, ROUND CABLE, CABL",9889,0,"0.35000","0","1","MicroPlastics","Active","Bushing, Strain Relief","HPD, SV, SVT","0.100"" (2.54mm)","Variable Size","Variable Size","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23MP04N40.jpg,RPC7229-ND,23MP04N40,Essentra Components,"STRAIN RELIEF, FLAT CABLE, CABLE",5990,0,"0.35000","0","1","MicroPlastics","Active","Bushing, Strain Relief","HPN, SPT-2","0.062"" (1.57mm)","Variable Size","Variable Size","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23MP04N40.jpg,RPC7227-ND,23MP04K10,Essentra Components,"STRAIN RELIEF, FLAT CABLE, CABLE",5000,0,"0.35000","0","1","MicroPlastics","Active","Bushing, Strain Relief","HPN, SPT-2","0.095"" (2.41mm)","Variable Size","Variable Size","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23MP04N40.jpg,RPC7228-ND,23MP04K40,Essentra Components,"STRAIN RELIEF, FLAT CABLE, CABLE",4988,0,"0.35000","0","1","MicroPlastics","Active","Bushing, Strain Relief","HPN, SPT-2","0.100"" (2.54mm)","Variable Size","Variable Size","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23MP04N40.jpg,RPC7223-ND,23MP06W10,Essentra Components,"STRAIN RELIEF, ROUND CABLE, CABL",4961,0,"0.35000","0","1","MicroPlastics","Active","Bushing, Strain Relief","SJ, SJO, SJT","0.090"" (2.29mm)","Variable Size","Variable Size","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/GR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_GR3.JPG,RPC4067-ND,GR3165A,Essentra Components,GROMMET 0.250"" RUBBER BLACK,5683,0,"0.37000","0","1","GR","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.375"" (9.53mm)","0.250"" (6.35mm)","-","Styrene-Butadiene Rubber (SBR), 60 Durometer","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/PGSB-30.JPG,RPC4648-ND,PGSB-2530,Essentra Components,BUSHING 0.984"" NYLON BLACK,4786,0,"0.37000","0","1","PGSB","Active","Bushing","Cable, Wires","0.039"" ~ 0.122"" (0.99mm ~ 3.10mm)","Circular - 1.181"" (30.00mm)","0.984"" (24.99mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSD.pdf,//media.digikey.com/Photos/Richco%20Photos/MFG_PGSD.jpg,RPC4667-ND,PGSD-2,Essentra Components,BUSHING 0.437"" NYLON BLACK,2927,0,"0.37000","0","1","PGSD","Active","Bushing","Cable, Wires","0.062"" (1.57mm)","Circular - 0.625"" (15.88mm)","0.437"" (11.10mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_22AF0625.jpg,RPC7254-ND,22AF0875,Essentra Components,"ALL FIT BUSHING, BLACK, HS NYLON",49975,0,"0.38000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.875"" (22.22mm)","0.562"" (14.27mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_22AF0625.jpg,RPC7255-ND,22AF0812,Essentra Components,"ALL FIT BUSHING, BLACK, HS NYLON",9950,0,"0.38000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.812"" (20.62mm)","0.500"" (12.70mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/5100_Drawing.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/5100.jpg,1722-1290-ND,5100,"Davies Molding, LLC",RUBBER GROMMET BLACK FOR CUT-OUT,2372,0,"0.38000","0","1","5100","Active","Grommet","Cable, Wires","0.093"" (2.36mm)","Circular - 0.437"" (11.10mm)","0.312"" (7.92mm)","-","Rubber","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/5113_Drawing.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/5113.jpg,1722-1297-ND,5113,"Davies Molding, LLC",RUBBER GROMMET BLACK FOR CUT-OUT,2296,0,"0.38000","0","1","5113","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.437"" (11.10mm)","0.250"" (6.35mm)","-","Rubber","Black","-"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/5102_Drawing.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/5102.jpg,1722-1292-ND,5102,"Davies Molding, LLC",RUBBER GROMMET BLACK FOR CUT-OUT,1510,0,"0.38000","0","1","5102","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.375"" (9.53mm)","0.250"" (6.35mm)","-","Rubber","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/GRO.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_GROxxxxxxA.JPG,RPC4101-ND,GRO037091A,Essentra Components,GROMMET 0.250"" PVC BLACK,9654,0,"0.39000","0","1","GRO","Active","Grommet","Cable, Wires","0.094"" (2.39mm)","Circular - 0.375"" (9.53mm)","0.250"" (6.35mm)","Weather Resistant","Poly-Vinyl Chloride (PVC)","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/GRO.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_GROxxxxxxA.JPG,RPC4100-ND,GRO037061A,Essentra Components,GROMMET 0.250"" PVC BLACK,7452,0,"0.39000","0","1","GRO","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.375"" (9.53mm)","0.250"" (6.35mm)","Weather Resistant","Poly-Vinyl Chloride (PVC)","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/GRO.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_GROxxxxxxA.JPG,RPC4102-ND,GRO040061A,Essentra Components,GROMMET 0.281"" PVC BLACK,9750,0,"0.40000","0","1","GRO","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.406"" (10.31mm)","0.281"" (7.14mm)","Weather Resistant","Poly-Vinyl Chloride (PVC)","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4644-ND,PGSB-21,Essentra Components,BUSHING 0.562"" NYLON BLACK,8070,0,"0.40000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.687"" (17.45mm)","0.562"" (14.27mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/5111_Drawing.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/5111.jpg,1722-1295-ND,5111,"Davies Molding, LLC",RUBBER GROMMET BLACK FOR CUT-OUT,2369,0,"0.40000","0","1","5111","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.437"" (11.10mm)","0.312"" (7.92mm)","-","Rubber","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB-A.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-1013A.jpg,RPC4632-ND,PGSB-1216A,Essentra Components,BUSHING SPLIT 0.480"" NYLON BLACK,5852,0,"0.41000","0","1","PGSB-A","Active","Bushing, Split","Cable, Wires","0.028"" ~ 0.130"" (0.71mm ~ 3.30mm)","Circular - 0.650"" (16.51mm)","0.480"" (12.19mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4643-ND,PGSB-20,Essentra Components,BUSHING 0.500"" NYLON BLACK,2959,0,"0.41000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.687"" (17.45mm)","0.500"" (12.70mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4646-ND,PGSB-24,Essentra Components,BUSHING 0.625"" NYLON BLACK,2724,0,"0.41000","0","1","PGSB","Active","Bushing","Cable, Wires","0.062"" (1.57mm)","Circular - 0.750"" (19.05mm)","0.625"" (15.88mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7234-ND,22MP07510,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",38480,0,"0.42000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.750"" (19.05mm)","0.625"" (15.88mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
