Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Type Attributes","Opening Size","Mounting Type","Material","Color","Length","Width","Height","Panel Hole Size","Material Thickness","Material Flammability Rating","Adhesive","Features"
https://cdn.harwin.com/pdfs/S8091R.pdf,//media.digikey.com/Photos/Harwin/S8091-46R.JPG,952-1738-6-ND,S8091-46R,Harwin Inc.,CBL CLIP C-TYPE SILVER SOLDER,10830,0,"Digi-Reel","0","1","Digi-Reel®","EZ BoardWare","Active","Clip, C-Type","Elongated, Split","0.098"" L x 0.028"" H (2.50mm x 0.70mm)","Solder","Phosphor Bronze, Tin Plated","Silver","0.197"" (5.00mm)","0.157"" (4.00mm)","0.053"" (1.35mm)","-","0.008"" (0.20mm)","-","-","Corrosion Resistant"
https://cdn.harwin.com/pdfs/S8121R.pdf,//media.digikey.com/Photos/Harwin/S8121-46R.jpg,952-1578-2-ND,S8121-46R,Harwin Inc.,CBL CLIP C-TYPE SILVER SOLDER,26000,0,"0.11880","0","1300","Tape & Reel (TR)","EZ BoardWare","Active","Clip, C-Type","Elongated, Split","-","Solder","Phosphor Bronze, Tin Plated","Silver","0.276"" (7.00mm)","0.217"" (5.51mm)","0.100"" (2.54mm)","-","0.008"" (0.20mm)","-","-","Corrosion Resistant"
https://cdn.harwin.com/pdfs/S8121R.pdf,//media.digikey.com/Photos/Harwin/S8121-46R.jpg,952-1578-1-ND,S8121-46R,Harwin Inc.,CBL CLIP C-TYPE SILVER SOLDER,26551,0,"0.27000","0","1","Cut Tape (CT)","EZ BoardWare","Active","Clip, C-Type","Elongated, Split","-","Solder","Phosphor Bronze, Tin Plated","Silver","0.276"" (7.00mm)","0.217"" (5.51mm)","0.100"" (2.54mm)","-","0.008"" (0.20mm)","-","-","Corrosion Resistant"
https://cdn.harwin.com/pdfs/S8121R.pdf,//media.digikey.com/Photos/Harwin/S8121-46R.jpg,952-1578-6-ND,S8121-46R,Harwin Inc.,CBL CLIP C-TYPE SILVER SOLDER,26551,0,"Digi-Reel","0","1","Digi-Reel®","EZ BoardWare","Active","Clip, C-Type","Elongated, Split","-","Solder","Phosphor Bronze, Tin Plated","Silver","0.276"" (7.00mm)","0.217"" (5.51mm)","0.100"" (2.54mm)","-","0.008"" (0.20mm)","-","-","Corrosion Resistant"
http://www.keyelco.com/product-pdf.cfm?p=2646,//media.digikey.com/photos/Keystone%20Elect%20Photos/7620.jpg,36-7620-ND,7620,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,18962,17000,"0.12000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.125"" (3.18mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.140"" (3.56mm)","0.050"" (1.27mm)","-","-","-"
http://www.keyelco.com/product-pdf.cfm?p=2647,//media.digikey.com/photos/Keystone%20Elect%20Photos/7621.jpg,36-7621-ND,7621,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,8089,25800,"0.12000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.125"" (3.18mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.203"" (5.16mm)","0.050"" (1.27mm)","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCP-HMAN007SER.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_211-60000.jpg,1436-1814-ND,211-60000,HellermannTyton,CBL CLAMP P-TYPE BLACK FASTENER,5131,0,"0.12000","0","1","Bulk","HP","Active","Clamp, P-Type","-","0.126"" (3.20mm)","Fastener","Polyamide (PA66), Nylon 6/6","Black","-","0.394"" (10.00mm)","-","-","0.031"" (0.80mm)","UL94 V-2","-","Heat Stabilized"
http://www.keyelco.com/product-pdf.cfm?p=2650,//media.digikey.com/photos/Keystone%20Elect%20Photos/7624.jpg,36-7624-ND,7624,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,14986,18700,"0.13000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.250"" (6.35mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.140"" (3.56mm)","0.050"" (1.27mm)","-","-","-"
http://www.keyelco.com/product-pdf.cfm?p=2651,//media.digikey.com/photos/Keystone%20Elect%20Photos/7625.jpg,36-7625-ND,7625,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,13781,37500,"0.13000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.250"" (6.35mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.203"" (5.16mm)","0.050"" (1.27mm)","-","-","-"
http://www.keyelco.com/product-pdf.cfm?p=2648,//media.digikey.com/photos/Keystone%20Elect%20Photos/7622.jpg,36-7622-ND,7622,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,12987,14200,"0.13000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.187"" (4.75mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.140"" (3.56mm)","0.050"" (1.27mm)","-","-","-"
http://www.keyelco.com/product-pdf.cfm?p=2649,//media.digikey.com/photos/Keystone%20Elect%20Photos/7623.jpg,36-7623-ND,7623,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,2142,26900,"0.13000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.187"" (4.75mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.203"" (5.16mm)","0.050"" (1.27mm)","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCP-HMAN007SER.pdf,//media.digikey.com/photos/HellermannTyton%20Photos/211-60007.JPG,1436-1312-ND,211-60007,HellermannTyton,CBL CLAMP P-TYPE BLACK FASTENER,3200,0,"0.13170","0","100","Bulk","HP","Active","Clamp, P-Type","-","0.551"" (14.00mm)","Fastener","Polyamide (PA66), Nylon 6/6","Black","-","0.394"" (10.00mm)","-","-","0.059"" (1.50mm)","UL94 V-2","-","Heat Stabilized"
http://www.keyelco.com/product-pdf.cfm?p=2652,//media.digikey.com/photos/Keystone%20Elect%20Photos/7626.jpg,36-7626-ND,7626,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,37101,14700,"0.14000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.312"" (7.92mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.140"" (3.56mm)","0.050"" (1.27mm)","-","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/N-SERIES.pdf,//media.digikey.com/photos/Richco%20Photos/N-2-BK.jpg,RP323-ND,N-2-BK,Essentra Components,CBL CLAMP P-TYPE BLACK FASTENER,26600,0,"0.14000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.125"" (3.18mm)","Fastener","Polyamide (PA66), Nylon 6/6","Black","-","0.375"" (9.53mm)","-","0.172"" (4.37mm)","0.063"" (1.60mm)","UL94 V-2","-","-"
http://www.keyelco.com/product-pdf.cfm?p=2654,//media.digikey.com/photos/Keystone%20Elect%20Photos/7628.jpg,36-7628-ND,7628,Keystone Electronics,CBL CLAMP P-TYPE WHITE FASTENER,24491,46600,"0.14000","0","1","Bulk","-","Active","Clamp, P-Type","-","0.375"" (9.53mm)","Fastener","Polyamide (PA66), Nylon 6/6","White","-","0.375"" (9.53mm)","-","0.140"" (3.56mm)","0.050"" (1.27mm)","-","-","-"
