Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Label Type","Label Size","Color","Material","For Use With/Related Products"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-211&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/CM9614-000.jpg,SBP100375WE2.5-ND,SBP100375WE2.5,TE Connectivity Raychem Cable Protection,LABEL SELF LAMINATNG 1X3.75"" WHT,4357,0,"0.29000","0","1","2500 per Roll","SBP","Active","Self Laminating","1.00"" x 3.75"" (25.4mm x 95.3mm)","White","Vinyl Film","T208, T212M, T308S, T312S, TE3012M, TE3112M and TE3124M Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-3/32-2.0-9TB-ND,TMS-SCE-3/32-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,2250,0,"0.60020","0","250","Tape & Box (TB)","TMS-SCE","Active","Heat Shrinkable","0.09"" x 1.97"" (2.4mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-3/32-2.0-9CT-ND,TMS-SCE-3/32-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,2258,0,"1.22000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","0.09"" x 1.97"" (2.4mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1/4-2.0-9TB-ND,TMS-SCE-1/4-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,2000,0,"0.96484","0","250","Tape & Box (TB)","TMS-SCE","Active","Heat Shrinkable","0.25"" x 1.97"" (6.4mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1/4-2.0-9CT-ND,TMS-SCE-1/4-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,2152,0,"1.96000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","0.25"" x 1.97"" (6.4mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1K-1/2-2.0-9TR-ND,TMS-SCE-1K-1/2-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE 1K,2000,0,"1.32345","0","1000","Tape & Reel (TR)","TMS-SCE","Active","Heat Shrinkable","0.50"" x 1.97"" (12.7mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1K-1/2-2.0-9CT-ND,TMS-SCE-1K-1/2-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,2683,0,"3.00000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","0.50"" x 1.97"" (12.7mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-4.JPG,TMS-SCE-3/8-2.0-4TB-ND,TMS-SCE-3/8-2.0-4,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE YELLOW,3500,0,"1.33096","0","250","Tape & Box (TB)","TMS-SCE","Active","Heat Shrinkable","0.38"" x 1.97"" (9.5mm x 50.0mm)","Yellow","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-4.JPG,TMS-SCE-3/8-2.0-4CT-ND,TMS-SCE-3/8-2.0-4,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE YELLOW,3559,0,"2.70000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","0.38"" x 1.97"" (9.5mm x 50.0mm)","Yellow","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-3/8-2.0-9TB-ND,TMS-SCE-3/8-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,2750,0,"1.33096","0","250","Tape & Box (TB)","TMS-SCE","Active","Heat Shrinkable","0.38"" x 1.97"" (9.5mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-3/8-2.0-9CT-ND,TMS-SCE-3/8-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,3078,0,"2.70000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","0.38"" x 1.97"" (9.5mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-108&DocType=DS&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/A95650-000.JPG,A105300-ND,HX-SCE-1K-9.5-50-4,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE YELLOW,1949,0,"1.91000","0","1","-","HX-SCE","Active","Heat Shrinkable","0.38"" x 1.97"" (9.5mm x 50.0mm)","Yellow","Polyolefin (PO), Halogen Free, Irradiated, Self-Extinguishing, UV Stabilized","AM6310 Dot Matrix Printer or T200, T212M, T312M, T312Mi, T612M-DS, T6112DS, TE3112, TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1-2.0-9TB-ND,TMS-SCE-1-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABL 1X1.97"" WHT,2000,0,"2.75816","0","250","Tape & Box (TB)","TMS-SCE","Active","Heat Shrinkable","1.00"" x 1.97"" (25.4mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1-2.0-9CT-ND,TMS-SCE-1-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABL 1X1.97"" WHT,2095,0,"4.21000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","1.00"" x 1.97"" (25.4mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1-1/2-2.0-9TB-ND,TMS-SCE-1-1/2-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,3000,0,"3.42380","0","250","Tape & Box (TB)","TMS-SCE","Active","Heat Shrinkable","1.50"" x 1.97"" (38.10mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-1-1/2-2.0-9CT-ND,TMS-SCE-1-1/2-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,3054,0,"5.23000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","1.50"" x 1.97"" (38.10mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RW-2512&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/HT-SCE-3%5E4-2.0-9.JPG,HT-SCE-3/16-2.0-9-ND,HT-SCE-3/16-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,813,0,"4.69000","0","1","250 per Pkg","HT-SCE","Active","Heat Shrinkable","0.19"" x 1.97"" (4.8mm x 50.0mm)","White","Fluoropolymer, Flame Retardant, Fluid Resistant","T312M Thermal Transfer Printer"
