Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cable Diameter","Thread Size","Conduit Hub Size","Panel Hole Size","Material","Includes","Color","Ingress Protection"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMES.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MES20NC080-ND,MES20 NC080,Alpha Wire,CABLE GLAND 6-12MM M20 BRASS,115,0,"8.40000","0","1","FIT®","Active","Cable Gland","0.24"" ~ 0.47"" (6.0mm ~ 12.0mm)","M20x1.5","-","0.787"" (20.0mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/PMC.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_PPCxx,PMCxx,PNCxx.jpg",PMC40BK080-ND,PMC40 BK080,Alpha Wire,CABLE GLAND 19-28MM M40 POLY,982,158,"8.76000","0","1","FIT®","Active","Cable Gland","0.75"" ~ 1.10"" (19.0mm ~ 28.0mm)","M40x1.5","-","1.575"" (40.0mm)","Polyamide","Lock Nuts","Black","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/FEEA56568A364C30AC53DB8CA5EDCAAE.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Standard-Cable.JPG,PMC40SL080-ND,PMC40 SL080,Alpha Wire,CABLE GLAND 19-28MM M40 POLY,101,0,"8.76000","0","1","FIT®","Active","Cable Gland","0.75"" ~ 1.10"" (19.0mm ~ 28.0mm)","M40x1.5","-","1.575"" (40.0mm)","Polyamide","Lock Nuts","Gray","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.essentracomponents.com.sg/images-line/pdfs/CG-PG.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/CG-PG13.jpg,RPC3028-ND,CG-PG29-1-BK,Essentra Components,CABLE GLAND 12-20MM PG29 NYLON,102,0,"9.61000","0","1","CG-PG","Active","Cable Gland","0.47"" ~ 0.79"" (12.0mm ~ 20.0mm)","PG29","-","1.472"" (37.4mm)","Nylon","O-Ring, Sealing Gland, Sealing Nut","Black","IP68 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/GC2000_Series.pdf,-,1722-1469-ND,GC2000-J,"Davies Molding, LLC",BLACK PG-42 CBL GLAND 28-40MM CB,500,0,"9.99000","0","1","GC2000","Active","Cable Gland","1.26"" ~ 1.50"" (32.0mm ~ 38.0mm)","PG42","-","2.146"" (54.5mm)","Polyamide (PA), Nylon","Locknut, O-Ring, Seal","Black","IP67 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMNPT.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MNPT3/8NC080-ND,MNPT3/8 NC080,Alpha Wire,CABLE GLAND 4-8MM 3/8NPT BRASS,109,65,"11.29000","0","1","FIT®","Active","Cable Gland","0.16"" ~ 0.31"" (4.0mm ~ 8.0mm)","3/8"" NPT","-","0.673"" (17.1mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/GC2000_Series.pdf,-,1722-1470-ND,GC2000-K,"Davies Molding, LLC",BLACK PG-48 CBL GLAND 32-44MM CB,500,0,"11.81000","0","1","GC2000","Active","Cable Gland","1.50"" ~ 1.65"" (38.0mm ~ 42.0mm)","PG48","-","2.374"" (60.3mm)","Polyamide (PA), Nylon","Locknut, O-Ring, Seal","Black","IP67 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMPGV1.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MPG21NC080-ND,MPG21 NC080,Alpha Wire,CABLE GLAND 13-18MM PG21 BRASS,112,0,"12.73000","0","1","FIT®","Active","Cable Gland","0.51"" ~ 0.71"" (13.0mm ~ 18.0mm)","PG21","-","1.114"" (28.3mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/GC2000_Series.pdf,-,1722-1471-ND,GC2000-L,"Davies Molding, LLC",BLACK PG-63 CBL GLAND 40-50MM CB,463,0,"15.78000","0","1","GC2000","Active","Cable Gland","1.57"" ~ 1.97"" (40.0mm ~ 50.0mm)","PG63","-","2.795"" (71.0mm)","Polyamide (PA), Nylon","Locknut, O-Ring, Seal","Black","IP67 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMES.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MES32NC080-ND,MES32 NC080,Alpha Wire,CABLE GLAND 15-21MM M32 BRASS,107,13,"16.60000","0","1","FIT®","Active","Cable Gland","0.59"" ~ 0.83"" (15.0mm ~ 21.0mm)","M32x1.5","-","1.260"" (32.0mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMPGV1.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MPG29NC080-ND,MPG29 NC080,Alpha Wire,CABLE GLAND 18-25MM PG29 BRASS,107,0,"17.36000","0","1","FIT®","Active","Cable Gland","0.71"" ~ 0.98"" (18.0mm ~ 25.0mm)","PG29","-","1.457"" (37.0mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
