Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Material","Features"
-,-,2081-25720.9-ND,25720.9,Pflitsch,M12X1.5 LOCKNUT PABK,1500,0,"0.33000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M12 Thread"
-,-,2081-25510.9-ND,25510.9,Pflitsch,M12X1.5 LOCKNUT PALG,1450,0,"0.33000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M12 Thread"
-,-,2081-23052.9-ND,23052.9,Pflitsch,PG 11 LOCKNUT PALG,2500,0,"0.35000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG11 Thread"
-,-,2081-23142.9-ND,23142.9,Pflitsch,THREADED PLUG PG 11,2500,0,"0.35000","0","1","-","Active","Hole Plug, Threaded","Cable Entry Opening","Polyamide (PA), Nylon","PG11 Thread"
-,-,2081-23062.9-ND,23062.9,"Conta-Clip, Inc.",PG 11 LOCKNUT PABK,1500,0,"0.35000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG11 Thread"
-,-,2081-25511.9-ND,25511.9,Pflitsch,M16X1.5 LOCKNUT PALG,1500,0,"0.35000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M16 Thread"
-,-,2081-25721.9-ND,25721.9,Pflitsch,M16X1.5 LOCKNUT PABK,1500,0,"0.35000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M16 Thread"
-,-,2081-23000.9-ND,23000.9,Pflitsch,PG 7 LOCKNUT NPB,3500,0,"0.37000","0","1","-","Active","Locknut","Cable Glands","Brass, Nickel Plated","PG7 Thread"
http://www.panduit.com/heiler/CatalogCutSheets/CR2-M%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CR4H-M.jpg,298-14330-ND,CR4H-M,Panduit Corp,"RING,CONNECTOR",21605,0,"0.40000","0","1","CR","Active","Connector Ring","M, I, S, HS, and LH Ties","Polyamide (PA66), Nylon 6/6","-"
-,-,2081-23053.9-ND,23053.9,Pflitsch,PG 13.5 LOCKNUT PALG,1500,0,"0.40000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG13.5 Thread"
-,-,2081-23063.9-ND,23063.9,"Conta-Clip, Inc.",PG 13.5 LOCKNUT PABK,1500,0,"0.40000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG13.5 Thread"
-,-,2081-25512.9-ND,25512.9,Pflitsch,M20X1.5 LOCKNUT PALG,1500,0,"0.40000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","M20 Thread"
