Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shrinkage Ratio","Length","Inner Diameter - Supplied","Inner Diameter - Recovered","Recovered Wall Thickness","Material","Features","Color","Operating Temperature","Shrink Temperature"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DR-25&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/DR-25-3%5E4-0-SP.JPG,A124389-DS-ND,DR-25-3/4-0-SP,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK 3/4 BLACK FEET,5452,0,"6.66000","0","1","Thermofit DR-25","Active","Tubing, Flexible","2 to 1","Digi-Spool™, Continuous Spool","0.748"" (19.00mm)","0.375"" (9.53mm)","0.057"" (1.45mm)","Elastomer, Irradiated","Abrasion Resistant, Chemical Resistant, Heat Resistant, Fluid Resistant, Flame Retardant, Fuel Resistant, Oil Resistant","Black","-75°C ~ 150°C","150°C"
http://multimedia.3m.com/mws/media/23078O/3mtm-mfpr-heat-shrink-tubing.pdf,//media.digikey.com/photos/3M%20Photos/KY332C.jpg,KY332C-ND,MFP 3/32"" CR 48""BX,3M,HEATSHRINK MFP 3/32""X 4' CLEAR,974,0,"7.01000","0","1","MFP","Active","Tubing, Semi Rigid","2 to 1","4.00' (1.22m)","0.093"" (2.36mm)","0.046"" (1.17mm)","0.010"" (0.25mm)","Polyvinylidene Fluoride (PVDF), Irradiated","Abrasion and Cut Resistant, Chemical Resistant, Flame Retardant, Fuel Resistant, Solvent Resistant","Clear","-55°C ~ 175°C","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DWP-125&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/DWP-125-1^4-0-STK.JPG,DWP014K-ND,DWP-125-1/4-0-STK,TE Connectivity Raychem Cable Protection,HEATSHRINK POLY 1/4""X4' BLK,256,0,"7.13000","0","1","DWP","Active","Tubing, Flexible","3 to 1","4.00' (1.22m)","0.250"" (6.35mm)","0.080"" (2.03mm)","0.057"" (1.45mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant","Black","-40°C ~ 110°C","80°C"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EPS-200%20Tubing.pdf,//media.digikey.com/Renders/3M%20Renders/EPS2014-20-ND.jpg,EPS2014-ND,EPS-200 1/4""BL 48""BX,3M,HEATSHRINK EPS200 1/4""X4' BLACK,1500,0,"7.61000","0","1","EPS-200","Active","Tubing, Flexible","2 to 1","4.00' (1.22m)","0.250"" (6.35mm)","0.125"" (3.18mm)","0.030"" (0.76mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant, Fluid Resistant","Black","-55°C ~ 110°C","121°C"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EPS-200%20Tubing.pdf,//media.digikey.com/Renders/3M%20Renders/EPS2038-20-ND.jpg,EPS2038-ND,EPS-200 3/8"" BL48""BX,3M,HEATSHRINK EPS200 3/8""X4' BLACK,209,0,"8.14000","0","1","EPS-200","Active","Tubing, Flexible","2 to 1","4.00' (1.22m)","0.375"" (9.53mm)","0.187"" (4.75mm)","0.031"" (0.79mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant, Fluid Resistant","Black","-55°C ~ 110°C","121°C"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/Tubing_Catalog.pdf,//media.digikey.com/photos/Tyco%20Raychem%20Photos/TAT012K.jpg,TAT012K-ND,TAT-125-1/2-0-STK,TE Connectivity Raychem Cable Protection,HEATSHRINK DUAL WALL 1/2""X4' BLK,293,0,"8.30000","0","1","TAT-125","Active","Tubing, Flexible","2 to 1","4.00' (1.22m)","0.500"" (12.70mm)","0.250"" (6.35mm)","0.030"" (0.76mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant","Black","-55°C ~ 110°C","95°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SCT&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SCT-NO.1-E6-0-STK.JPG,SCT-NO.1-E6-0-STK-ND,SCT-NO.1-E6-0-STK,TE Connectivity Raychem Cable Protection,HEATSHRINK TUBING .30"" 4:1 BLK,500,0,"8.31000","0","1","SCT, Raychem","Active","Tubing, Semi Rigid","4 to 1","4.00' (1.22m)","0.300"" (7.62mm)","0.065"" (1.65mm)","0.060"" (1.52mm)","Polyolefin (PO), Irradiated","Abrasion Resistant, Adhesive Lined, Flame Retardant, Fluid Resistant","Black","-40°C ~ 150°C","110°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=SCT&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/SCT-NO.2.jpg,SCT-NO.2-E5-0-STK-ND,SCT-NO.2-E5-0-STK,TE Connectivity Raychem Cable Protection,HEATSHRINK TUBING .355"" 4:1 BLK,2145,0,"8.50000","0","1","SCT, Raychem","Active","Tubing, Semi Rigid","4 to 1","4.00' (1.22m)","0.355"" (9.02mm)","0.090"" (2.29mm)","0.060"" (1.52mm)","Polyolefin (PO), Irradiated","Abrasion Resistant, Adhesive Lined, Flame Retardant, Fluid Resistant","Black","-40°C ~ 150°C","110°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654025_Sec3_SFR&DocType=CS&DocLang=English,-,A132491-DS-ND,SFR-1/4-0-SP,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK 0.252"" BLACK,466,0,"8.94000","0","1","SFR, Raychem","Active","Tubing, Flexible","1.75 to 1","Digi-Spool™, Continuous Spool","0.252"" (6.40mm)","0.143"" (3.63mm)","0.035"" (0.89mm)","Silicone Elastomer","Flame Retardant","Black","-75°C ~ 180°C","135°C"
http://www.qualtekusa.com/images/Heatshrink/PDFs/Q2F4X.pdf,//media.digikey.com/renders/Qualtek%20Renders/Q2-F4X-1%201^2-01-QB48IN-5.jpg,Q670-ND,Q2-F4X-1 1/2-01-QB48IN-5,Qualtek,HEATSHRINK 1-1/2"" X 4' BLACK,809,0,"9.18000","0","1","Q2-F4X","Active","Tubing, Flexible","4 to 1","4.00' (1.22m)","1.500"" (38.10mm)","0.375"" (9.53mm)","0.067"" (1.70mm)","Polyolefin (PO)","Flame Retardant, UV Resistant","Black","-55°C ~ 135°C","70°C"
