Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Style","Eye Type","Cable Diameter","Material","Mesh Type","Mesh Length","Bale Length","Break Strength"
-,//media.digikey.com/Photos/Klein-Tools/MFG_KSRK075-1.jpg,KSRK100-1-ND,KSRK100-1,"Klein Tools, Inc.",LIGHT DUTY GRIP OFFSET 1-1.24"",2,0,"71.72000","0","1","-","Active","Pulling Grip","Light Duty","Offset","1.00"" ~ 1.24"" (25.4mm ~ 31.5mm)","Steel, Galvanized","Closed","-","-","680 lbs"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling_Grips.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_KPJ50.jpg,KPL125-1-ND,KPL125-1,"Klein Tools, Inc.",LIGHT DUTY GRIP FLEX 1.25""-1.49"",2,0,"80.27000","0","1","-","Active","Pulling Grip","Light Duty","Flexible","1.25"" ~ 1.49"" (31.7mm ~ 37.8mm)","Steel, Galvanized","Closed","14""","-","1060 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-7737.pdf,-,WM26423-ND,1300950177,Molex,MED DUTY GRIP FLEX 2-2.49"" 24"",1,0,"209.52000","0","1","-","Active","Pulling Grip","Medium Duty","Flexible, T-Type","2.00"" ~ 2.49"" (50.8mm ~ 63.2mm)","-","Closed","24""","-","18500 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-7737.pdf,-,WM26422-ND,1300950137,Molex,HVY DUTY GRIP ROTATE 1.50""-1.99"",0,0,"303.42000","0","1","-","Active","Pulling Grip","Heavy Duty","Rotating","1.50"" ~ 1.99"" (38.1mm ~ 50.5mm)","Steel, Galvanized","Closed","34""","-","16400 lbs"
-,-,BEL13750-ND,23-44444,Belden Inc.,B-DROP WIRE CLAMP ALUM BELL,0,0,"1.26720","0","25","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL13732-ND,23-44441,Belden Inc.,B DROP ALUM COMM,0,0,"1.49000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL13733-ND,23-44445,Belden Inc.,B DROP WIRE CLAMP,0,0,"1.49000","0","2","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL28782-ND,2700185-LA,Belden Inc.,Q SPAN CLAMP FOR LATIN AERICAN,0,0,"1.69000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL14457-ND,23-40005,Belden Inc.,COAX DROPWIRE CLAMP,0,0,"1.80000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL28781-ND,27-00185,Belden Inc.,Q SPAN CLAMP,0,0,"1.83000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29387-ND,23-88881,Belden Inc.,SS B DROP WIRE CLAMP BULK,0,0,"2.08076","0","251","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL11914-ND,23-82351,Belden Inc.,6PR B DROP CLMP DMPLD SHM,0,0,"2.42586","0","251","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL24529-ND,27-00860,Belden Inc.,O SPAN CLAMP,0,0,"2.61000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29386-ND,23-88885,Belden Inc.,SS B DROP WIRE CLAMP,0,0,"2.71429","0","21","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL13940-ND,27-00869,Belden Inc.,C SPAN CLAMP,0,0,"2.77000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29338-ND,28-09800,Belden Inc.,SPAN CLMP 109 FIG 8,0,0,"2.78000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL14855-ND,27-00865,Belden Inc.,E SPAN CLAMP,0,0,"2.79118","0","51","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29607-ND,28-09600,Belden Inc.,TGNT SUPP CLAMP,0,0,"3.48000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL13735-ND,23-44454,Belden Inc.,B DRP CLAMP US WEST PKG,0,0,"3.82800","0","25","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29608-ND,28-19651,Belden Inc.,TGNT SUPP CLAMP,0,0,"4.64000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29606-ND,28-09500,Belden Inc.,TGNT SUPP CLAMP,0,0,"6.17000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29339-ND,28-09850,Belden Inc.,SPAN CLMP FOR FIG 8,0,0,"6.67000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL11915-ND,23-82350,Belden Inc.,6PR B DRP CLAMP DIMPLED 2/PK,0,0,"7.53727","0","11","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL9369-ND,28-09615,Belden Inc.,1/4' FIG 8 3-BOLT S CLAMP,0,0,"9.66000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
-,-,BEL29448-ND,28-09610,Belden Inc.,SUPPORT CLAMP 3 BOLT FIG 8,0,0,"10.09000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300940501_CABLE_GRIPS.pdf,-,1300940501-ND,1300940501,Molex,BUS DROP GRIP SNGL 0.22""-0.32"",0,0,"22.13000","0","1","-","Active","Support Grip","Bus Drop","Single","0.22"" ~ 0.32"" (5.6mm ~ 8.1mm)","Bronze Wire, Tinned","Closed","3.25""","4""","290 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300940504_CABLE_GRIPS.pdf,-,1300940504-ND,1300940504,Molex,BUS DROP GRIP SNGL 0.30-0.43"" 5"",0,0,"23.01000","0","1","-","Active","Support Grip","Bus Drop","Single","0.30"" ~ 0.43"" (7.6mm ~ 10.9mm)","Bronze Wire, Tinned","Closed","5""","5""","500 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940491-ND,1300940491,Molex,BUS DROP GRIP SGL 0.3-0.43"" 4.5"",0,0,"23.07000","0","1","-","Active","Support Grip","Bus Drop","Single","0.30"" ~ 0.43"" (7.6mm ~ 10.9mm)","Steel, Galvanized","Closed","4.5""","9""","1100 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940495-ND,1300940495,Molex,BUS DROP GRP SGL 0.53-0.73"" 6.5"",0,0,"28.57400","0","10","-","Active","Support Grip","Bus Drop","Single","0.53"" ~ 0.73"" (13.5mm ~ 18.5mm)","Steel, Galvanized","Closed","6.5""","9""","1100 lbs"
-,-,1300940524-ND,1300940524,Molex,FBR OPTIC GRIP SNGL .3-.39,0,0,"34.08600","0","5","-","Active","Support Grip","Fiber Optic","Single","-","Bronze Wire, Tinned","Closed","-","-","-"
-,-,1300940526-ND,1300940526,Molex,FBR OPTIC GRIP SNGL .46-.58,0,0,"36.12600","0","5","-","Active","Support Grip","Fiber Optic","Single","-","Bronze Wire, Tinned","Closed","-","-","-"
