Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Size / Dimension","For Use With/Related Products","Material","Color"
http://www.panduit.com/heiler/PartDrawings/TM2R-TM3R_REV9.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_TMxR6-M(3)0.jpg,298-20430-ND,TM2R6-M0,Panduit Corp,CBL TIE MNT RIVET/SCREW 3/16"" WR,2000,0,"0.34000","0","1","-","Active","Dual Opening","Rivet or Screw, 3/16"" (M3)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon, Weather Resistant","Black"
http://www.panduit.com/heiler/PartDrawings/C-WATM2S6-GB0239EM-r6--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TM2S6-M0.jpg,298-15894-ND,TM2S6-M0,Panduit Corp,CABLE TIE MOUNT #6 SCREW,4330,0,"0.35000","0","1","-","Active","Dual Opening","Screw, #6 (M3)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon, Weather Resistant","Black"
-,-,298-18932-ND,EAM100NY-A-C20,Panduit Corp,"CABLE TIE MOUNT, ADH., 1"" X 1""(2",2000,0,"0.35000","0","1","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-WAKIMS-GB0239EE--ENG.pdf,-,298-19829-ND,KIMS-H500-M4,Panduit Corp,CABLE TIE MOUNT,5000,0,"0.36000","0","1","-","Active","Single Opening","Push In - Push Rivet","0.49"" L x 0.53"" W x 0.73"" H (12.4mm x 13.5mm x 18.7mm)","M, I, S Ties","Nylon","Yellow"
http://www.panduit.com/heiler/PartDrawings/C-WAKIMS-GB0239EE--ENG.pdf,-,298-19827-ND,KIMS-H430-M6,Panduit Corp,CABLE TIE MOUNT,2000,0,"0.36000","0","1","-","Active","Single Opening","Push In - Push Rivet","0.49"" L x 0.53"" W x 0.73"" H (12.4mm x 13.5mm x 18.7mm)","M, I, S Ties","Nylon","Blue"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCT-HTG284CST.pdf,-,1436-2313-ND,150-74890,HellermannTyton,"FIR TREE WITH TIE, 6.0"" LONG, MO",3500,0,"0.36884","0","500","-","Active","-","Push Mount, Fir Tree","-","-","Polyamide (PA66), Nylon 6/6","Black"
http://www.panduit.com/heiler/PartDrawings/PBMS_H25_R1.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PBMS-H25-M.jpg,298-15214-ND,PBMS-H25-M,Panduit Corp,CABLE TIE MOUNT PUSH MOUNT,13314,0,"0.37000","0","1","-","Active","Single Opening","Push In - Reverse Snap Lock","0.42"" Dia x 0.40"" H (10.7mm x 10.2mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/PWMHH12_R3.pdf,-,298-20329-ND,PWMHH12-M300,Panduit Corp,CABLE TIE MOUNT PUSH MOUNT WING,8000,0,"0.37000","0","1","-","Active","Single Opening","Push In - Arrowhead, Winged","1.28"" L x 0.98"" W x 0.35"" H (32.5mm x 25.0mm x 8.9mm)","S, H Ties","Nylon, Heat Stabilized for Temperatures up to 212°F, Weather Resistant","Black"
http://www.panduit.com/heiler/PartDrawings/C-WAKIMS-GB0239EE--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_KIMS-H366.jpg,298-14595-ND,KIMS-H366-M2,Panduit Corp,CABLE TIE MOUNT,3600,0,"0.37000","0","1","-","Active","Single Opening","Push In - Push Rivet","0.49"" L x 0.53"" W x 0.73"" H (12.4mm x 13.5mm x 18.7mm)","M, I, S Ties","Nylon","Red"
http://www.panduit.com/heiler/PartDrawings/C-WAPWMS-H25-GB0239EW-r7--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_PWMS-H25-M0.jpg,298-15736-ND,PWMS-H25-M0,Panduit Corp,"PUSH MNT, WEATHER RES.",8965,0,"0.38000","0","1","-","Active","Single Opening","Push In - Arrowhead, Winged","0.71"" L x 0.37"" W x 0.31"" H (18.0mm x 9.3mm x 7.9mm)","M, I, S Ties","Nylon, Weather Resistant","Black"
