Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Interface","Standards","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-RFM-007B_Gde.pdf,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-RFM-007B-00.jpg,481-1032-ND,RI-RFM-007B-00,Texas Instruments,RFID READER R/W 134.2KHZ MODULE,0,0,"Obsolete","0","2","Bulk","2000","Obsolete","Read/Write","134.2kHz","TTL","ISO 11785","83mm x 93mm x 44mm","-"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-RFM-008B,RI-ACC-008B.pdf",//media.digikey.com/photos/Texas%20Instr%20Photos/RI-RFM-008B-00.jpg,481-1033-ND,RI-RFM-008B-00,Texas Instruments,RFID READER RD ONLY 134.2KHZ MOD,0,0,"Obsolete","0","2","Bulk","2000","Obsolete","Read Only","134.2kHz","RS 232","ISO 11785","83mm x 93mm x 44mm","-"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-TRDC-02.pdf,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-TRDC-02.jpg,481-1048-ND,RI-STU-TRDC-02,Texas Instruments,RFID READER RD ONLY 13.56MHZ MOD,0,0,"Obsolete","0","1","Bulk","6350","Obsolete","Read Only","13.56MHz","RS 232","ISO 15693","Module","-"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-650AdataSheet.pdf,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-650A-00.jpg,481-1049-ND,RI-STU-650A-00,Texas Instruments,RFID READER R/W 13.56MHZ,0,0,"Obsolete","0","1","Bulk","6500","Obsolete","Read/Write","13.56MHz","RS 232, RS 485","ISO 15693","160mm x 120mm x 67mm","-"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-655AdataSheet.pdf,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-655A-00.jpg,481-1050-ND,RI-STU-655A-00,Texas Instruments,RFID READER R/W 13.56MHZ,0,0,"Obsolete","0","1","Bulk","6550","Obsolete","Read/Write","13.56MHz","RS 232, RS 485","ISO 15693","300mm x 200mm x 160mm","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/RF-MGR-MNMN-N3.jpg,481-1052-ND,RF-MGR-MNMN-N3,Texas Instruments,RFID READR 134.2KHZ/13.56MHZ MOD,0,0,"Obsolete","0","6","Bulk","4100","Obsolete","Read/Write","134.2kHz, 13.56MHz","-","ISO 14443, ISO 15693","Module","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/RR-IDISC-HH100A.jpg,RR-IDISC-HH100-A-ND,RR-IDISC-HH100-A,Texas Instruments,RFID READER R/W 13.56MHZ RS232,0,0,"Obsolete","0","2","Bulk","OBID® i-scan Proximity PRH100","Obsolete","Read/Write","13.56MHz","RS 232","ISO 15693","Hand-held 231x80x100 mm, RS232","-"
-,-,481-1075-ND,RR-IDISC-PRH1USB,Texas Instruments,RFID READER RD ONLY 13.56MHZ USB,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® Proximity PRH101","Obsolete","Read Only","13.56MHz","USB","ISO 15693, ISO 18000-3","Hand-held 231x80x100 mm, USB","-"
-,-,RR-IDISC-MR100-A-ND,RR-IDISC-MR100-A,Texas Instruments,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan Multitag MR100","Obsolete","Read Only","13.56MHz","RS 232, RS 485, USB","ISO 15693","145mm x 85mm x 31mm, RS232","-"
-,-,RR-IDISC-MR-USB-ND,RR-IDISC-MR-USB,Texas Instruments,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan Multitag MR100","Obsolete","Read Only","13.56MHz","USB","ISO 15693","145mm x 85mm x 31mm, USB","-"
-,-,RR-IDISC-PR100-A-ND,RR-IDISC-PR100-A,Texas Instruments,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan Proximity PR100","Obsolete","Read Only","13.56MHz","RS 232, RS 485","ISO 15693","145mm x 85mm x 31mm, RS232","-"
-,-,RR-IDISC-PR-USB-ND,RR-IDISC-PR-USB,Texas Instruments,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan Proximity PR100","Obsolete","Read Only","13.56MHz","USB","ISO 15693","145mm x 85mm x 31mm, USB","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/RR-IDISC-M01-A.jpg,RR-IDISC-M01-A-ND,RR-IDISC-M01-A,Texas Instruments,RFID READER R/W 13.56MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® i-scan M01","Obsolete","Read/Write","13.56MHz","RS 232","ISO 15693","75mm x 50mm x 12mm","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/RR-IDISC-M01-B.jpg,RR-IDISC-M01-B-ND,RR-IDISC-M01-B,Texas Instruments,RFID READER R/W 13.56MHZ MOD,0,0,"Obsolete","0","2","Bulk","OBID® i-scan M01","Obsolete","Read/Write","13.56MHz","RS 232, TTL","ISO 14443, ISO 15693","75mm x 50mm x 12mm","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/RR-IDISC-M02AB-B.jpg,RR-IDISC-M02AB-B-ND,RR-IDISC-M02AB-B,Texas Instruments,RFID READER R/W 13.56MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® Proximity Multitag M02","Obsolete","Read/Write","13.56MHz","RS 232, TTL","ISO 14443, ISO 15693","Module","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/RR-IDISC-M02AB-BA.jpg,RR-IDISC-M02AB-BA-ND,RR-IDISC-M02AB-BA,Texas Instruments,RFID READER R/W 13.56MHZ MOD,0,0,"Obsolete","0","3","Bulk","OBID® i-scan® Proximity Multitag M02","Obsolete","Read/Write","13.56MHz","RS 232, TTL","ISO 14443, ISO 15693","Module","-"
-,-,481-1076-ND,RR-IDISC-MR101-USB,Texas Instruments,RFID READER RD ONLY 13.56MHZ USB,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF Mid Range MR101","Obsolete","Read Only","13.56MHz","USB","ISO 15693","145mm x 85mm x 31mm, USB","-"
-,//media.digikey.com/photos/Texas%20Instr%20Photos/MFG_RR-IDISC-PR101-USB.jpg,481-1077-ND,RR-IDISC-PR101-USB,Texas Instruments,RFID READER RD ONLY 13.56MHZ USB,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® Proximity PR101","Obsolete","Read Only","13.56MHz","USB","ISO 15693, ISO 18000-3","145mm x 85mm x 31mm, USB","-"
-,//media.digikey.com/photos/Feig%20Elect%20Photos/0913.017.00.01.jpg,629-1001-ND,0913.017.00,FEIG Electronic,RFID READER R/W 13.56MHZ RS232,0,0,"Obsolete","0","1","Bulk","OBID® Classic-pro HF CPR.02.VP/AB-ATS","Obsolete","Read/Write","13.56MHz","RS 232","ISO 14443, ISO 15693","-","-"
-,//media.digikey.com/photos/Feig%20Elect%20Photos/1260.020.00.00.jpg,629-1002-ND,1260.020.00,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF LR2000","Obsolete","Read Only","13.56MHz","RS 232, RS 485","EPC, ISO 15693, ISO 18000-3","180mm x 320mm x 110mm","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/ID%20ISC.PRH110-A.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1524.003.00.00.JPG,629-1012-ND,1524.003.00,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® Proximity PRH110","Obsolete","Read Only","13.56MHz","RS 232","EPC, ISO 15693, ISO 18000-3","Hand-held 230x80x100 mm, RS232","-"
-,//media.digikey.com/photos/Feig%20Elect%20Photos/1524.004.00.00.JPG,629-1013-ND,1524.004.00,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® Proximity PRH101","Obsolete","Read Only","13.56MHz","Bluetooth","ISO 15693, ISO 18000-3","Hand-held 231x80x100 mm, Bluetooth","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/I-Scan%20_HF_Midrange_Reader.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1638.000.01.00.jpg,629-1015-ND,1638.000.01,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF Mid Range MR101","Obsolete","Read Only","13.56MHz","RS 232, RS 485, USB","EPC, ISO 15693, ISO 18000-3","145mm x 85mm x 31mm, RS232","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/I-Scan%20_HF_Midrange_Reader.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1638.001.02.01.jpg,629-1016-ND,1638.001.02,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF Mid Range MR101","Obsolete","Read Only","13.56MHz","RS 232, RS 485, USB","EPC, ISO 15693, ISO 18000-3","145mm x 85mm x 31mm, USB","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/I-Scan%20_HF_Midrange_Reader.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1638.005.01.00.jpg,629-1019-ND,1638.005.01,FEIG Electronic,RFID READER RD ONLY 13.56MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF Mid Range MR101","Obsolete","Read Only","13.56MHz","RS 232, RS 485, USB","EPC, ISO 15693, ISO 18000-3","PCB Module","Module"
http://www.feig.de/fileadmin/user_upload/Downloads/Datenblaetter/Data_sheet_ID_ISC.PR101.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1638.007.01.00.jpg,629-1020-ND,1638.007.01,FEIG Electronic,RFID READER RD ONLY 13.56MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® Proximity PR101","Obsolete","Read Only","13.56MHz","RS 232, RS 485","ISO 15693, ISO 18000-3","PCB Module","Module"
http://www.feig.de/fileadmin/user_upload/Downloads/Datenblaetter/Data_sheet_Identification_Modules_ID_CPR40_CPR_M02.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1916.001.00.00.jpg,629-1035-ND,1916.001.01,FEIG Electronic,RFID READER R/W 13.56MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® Classic-pro HF CPR.M02.VP/AB-B/BA","Obsolete","Read/Write","13.56MHz","RS 232, TTL","ISO 14443, ISO 15693, NFC","Module","-"
-,//media.digikey.com/photos/Feig%20Elect%20Photos/2060.000.00.01.jpg,629-1041-ND,2060.000.00,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF Mid Range MR 200","Obsolete","Read Only","13.56MHz","RS 232, RS 485","EPC, ISO 15693, ISO 18000-3","145mm x 85mm x 31mm, RS232","-"
-,//media.digikey.com/photos/Feig%20Elect%20Photos/2221.000.00.01.jpg,629-1043-ND,2221.000.01,FEIG Electronic,RFID READER READ ONLY 13.56MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® HF Mid Range MR 200","Obsolete","Read Only","13.56MHz","Ethernet","EPC, ISO 15693, ISO 18000-3","145mm x 85mm x 31mm, Ethernet","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/ID%20ISC.LRMU1000.pdf,-,629-1044-ND,2241.001.01,FEIG Electronic,RFID RDR RD ONLY 865-928MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® UHF Long Range LRMU1000","Obsolete","Read Only","865MHz ~ 928MHz","RS 232, RS 485","EPC, ISO 18000-6","Module","Module"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/ID%20ISC.LRU1000.pdf,"//media.digikey.com/photos/Feig%20Elect%20Photos/2241.002.12.00,2241.002.11.jpg",629-1045-ND,2241.002.12.00,FEIG Electronic,RFID READER READ ONLY 865-928MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® UHF Long Range LRU1000","Obsolete","Read Only","865MHz ~ 928MHz","Ethernet, RS 232, RS 485","EPC, ISO 18000-6","170mm x 320mm x 48mm, RS232","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/ID%20ISC.LRU1000.pdf,"//media.digikey.com/photos/Feig%20Elect%20Photos/2241.002.12.00,2241.002.11.jpg",629-1046-ND,2241.002.00,FEIG Electronic,RFID READER READ ONLY 865-928MHZ,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® UHF Long Range LRU1000","Obsolete","Read Only","865MHz ~ 928MHz","Ethernet, RS 232, RS 485","EPC, ISO 18000-6","170mm x 320mm x 48mm, RS232","-"
//media.digikey.com/pdf/Data%20Sheets/FEIG%20Electronic%20PDFs/ID%20ISC.LRMU1000.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/2481.001.11.00.jpg,629-1049-ND,2481.001.11.00,FEIG Electronic,RFID RDR RD ONLY 865-928MHZ MOD,0,0,"Obsolete","0","1","Bulk","OBID® i-scan® UHF Long Range LRMU1000","Obsolete","Read Only","865MHz ~ 928MHz","RS 232, RS 485","EPC, ISO 18000-6","PCB Module","Module"
