Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Features","Size / Dimension"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76081-1-ND,B82453C0270A000,EPCOS (TDK),"3D-TRANSPONDER XY6,75MH Z13,2MH",254,0,"7.65000","0","1","Cut Tape (CT)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76081-6-ND,B82453C0270A000,EPCOS (TDK),"3D-TRANSPONDER XY6,75MH Z13,2MH",254,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","125kHz","-","-"
http://productfinder.pulseeng.com/products/datasheets/L150.pdf,-,553-2631-ND,W3579,PulseLarsen Antennas,NFC FERRITE LOADED ANTENNA,204,0,"8.13000","0","1","Bulk","-","Active","13.56MHz","50mm x 35mm x 0.3mm","50.00mm L x 35.00mm W x 0.30mm H"
https://cdn.sparkfun.com/datasheets/Sensors/ID/GSM-34-900-58-30CM-1814.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_WRL-14131.jpg,1568-1806-ND,WRL-14131,SparkFun Electronics,UHF RFID ANTENNA (TNC),49,0,"34.95000","0","1","Bulk","-","Active","860MHz ~ 960MHz","-","-"
https://www.molex.com/pdm_docs/sd/1462360031_sd.pdf,//media.digikey.com/Photos/Molex/MFG_1462360031.jpg,WM16797-ND,1462360021,Molex,STANDARD NFC ANTENNA 34X46,34,0,"1.77000","0","1","Tray","146236","Active","13.56MHz","Near Field Communications (NFC)","46.10mm x 34.39mm x 0.17mm"
https://cdn.taoglas.com/datasheets/FXR.06.52.0075X.A.pdf,//media.digikey.com/Photos/Taoglas/MFG_FXR.06.52.0075X.jpg,931-1421-ND,FXR.06.52.0075X.A,Taoglas Limited,ANTENNA,77,0,"8.47000","0","1","-","-","Active","13.56MHz","-","-"
https://cdn.taoglas.com/datasheets/FXR.08.52.0075X.A.dg.pdf,//media.digikey.com/Photos/Taoglas/MFG_FXR.08.52.0075X.A.DG.jpg,931-1426-ND,FXR.08.52.0075X.A.DG,Taoglas Limited,ANTENNA,91,0,"10.81000","0","1","-","-","Active","13.56MHz","-","-"
https://cdn.taoglas.com/datasheets/FXR.07.52.0075X.A.dg.pdf,//media.digikey.com/Photos/Taoglas/MFG_FXR.07.52.0075X.A.DG.jpg,931-1425-ND,FXR.07.52.0075X.A.DG,Taoglas Limited,ANTENNA,96,0,"11.15000","0","1","-","-","Active","13.56MHz","-","-"
http://www.dlpdesign.com/rf/dlp-lp8c-ds-v17.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-FANT.JPG,813-1021-ND,DLP-FANT,DLP Design Inc.,ANTENNA FERRITE,65,0,"19.95000","0","1","Bulk","-","Active","13.56MHz","SMA Style","-"
http://www.dlpdesign.com/rf/dlp-lp8c-ds-v17.pdf,//media.digikey.com/photos/DLP%20Design%20Inc/DLP-RFID-ANT.JPG,813-1023-ND,DLP-RFID-ANT,DLP Design Inc.,ANTENNA ROUND WITH COAX,37,0,"39.95000","0","1","Bulk","-","Active","13.56MHz","-","-"
http://www.feig.de/fileadmin/user_upload/Downloads/Datenblaetter/Data_sheet_Identification_Antennas_ID_ISC_ANT340_240.pdf,//media.digikey.com/photos/Feig%20Elect%20Photos/1663.000.00.00.jpg,629-1025-ND,1663.000.00,FEIG Electronic,ID ISC.ANT340/240 PAD ANT,6,0,"195.69000","0","1","Bulk","ANT340/240","Active","13.56MHz","MR, Pad","-"
https://cdn.taoglas.com/datasheets/FXR.08.A.dg.pdf,//media.digikey.com/Photos/Taoglas/MFG_FXR.08.A.DG.jpg,931-1420-ND,FXR.08.A.DG,Taoglas Limited,ANTENNA,76,0,"8.58000","0","1","-","-","Active","13.56MHz","-","-"
//media.digikey.com/pdf/Data%20Sheets/Harting%20PDFs/2093610_Series.pdf,//media.digikey.com/Photos/Harting/MFG_2093610120020.jpg,1195-6096-ND,2093610120020,HARTING,LOCFIELD ANTENNA SMA FCC,12,0,"352.71000","0","1","-","-","Active","902MHz ~ 928MHz","SMA Style","-"
//media.digikey.com/pdf/Data%20Sheets/Harting%20PDFs/Ha-VIS_RFID_Flyer.pdf.pdf,//media.digikey.com/Photos/Harting/20932010103.jpg,1195-3435-ND,20932010103,HARTING,WIDE RANGE ANT TNC SOCKET US,5,0,"358.48000","0","1","Bulk","-","Active","902MHz ~ 928MHz","Compact Size","-"
http://www.harting-rfid.com/fileadmin/harting/documents/rfid/produkte/antennen/datasheet_ha-vis_rf-ant-lr10.pdf,//media.digikey.com/Photos/Harting/20932010303.jpg,1195-3437-ND,20932010303,HARTING,UHF ULTRA LOW RANGE ANTENNA,2,0,"419.78000","0","1","Bulk","-","Active","860MHz ~ 930MHz","Compact Size","-"
https://www.murata.com/~/media/webrenewal/products/rfid/rfid/uhf/readerwriter-module/pdf/uhf%20rfid%20short%20range%20antenna%20lxrfzzucca-036_037_preliminary%20datasheet_rev03_171102.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/MFG_LXRFZZUCCA-036.jpg,490-16517-ND,LXRFZZUCCA-036,Murata Electronics North America,RFID UHF LOOP ANTENNA - USED WIT,9,0,"43.95000","0","1","Tray","-","Active","902MHz ~ 928MHz","-","1.752"" L x 1.024"" W x 0.031"" H (44.50mm x 26.00mm x 0.80mm)"
