Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Impedance - Unbalanced/Balanced","Phase Difference","Insertion Loss (Max)","Return Loss (Min)","Package / Case","Mounting Type"
https://www.johansontechnology.com/datasheets/0850BM14E0016/0850BM14E0016.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200603(1608)6.jpg,712-1621-6-ND,0850BM14E0016T,Johanson Technology Inc.,BALUN 770MHZ-928MHZ 50/50 0603,197490,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","770MHz ~ 928MHz","50 / 50Ohm","180° ±15°","1.8dB","9.5dB","0603 (1608 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/1720BL15A0100/1720BL15A0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0805%20%282012%20Metric%29%206%20PC%20Pad.jpg,712-1592-2-ND,1720BL15A0100E,Johanson Technology Inc.,BALUN 625MHZ-2.8GHZ 50/100 0805,8000,0,"0.21675","0","4000","Tape & Reel (TR)","-","Active","625MHz ~ 2.8GHz","50 / 100Ohm","180° ±10°","1.5dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/1720BL15A0100/1720BL15A0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0805%20%282012%20Metric%29%206%20PC%20Pad.jpg,712-1592-1-ND,1720BL15A0100E,Johanson Technology Inc.,BALUN 625MHZ-2.8GHZ 50/100 0805,8567,0,"0.70000","0","1","Cut Tape (CT)","-","Active","625MHz ~ 2.8GHz","50 / 100Ohm","180° ±10°","1.5dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/1720BL15A0100/1720BL15A0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0805%20%282012%20Metric%29%206%20PC%20Pad.jpg,712-1592-6-ND,1720BL15A0100E,Johanson Technology Inc.,BALUN 625MHZ-2.8GHZ 50/100 0805,8567,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","625MHz ~ 2.8GHz","50 / 100Ohm","180° ±10°","1.5dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_atb2012_en.pdf,//media.digikey.com/Renders/TDK%20Renders/ATB%20Series%202012.jpg,445-6139-2-ND,ATB2012-75011-T000,TDK Corporation,BALUN 50MHZ-1.2GHZ 75/75 0805,58000,0,"0.23460","0","2000","Tape & Reel (TR)","ATB","Active","50MHz ~ 1.2GHz","75 / 75Ohm","-","1.2dB","-","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_atb2012_en.pdf,//media.digikey.com/Renders/TDK%20Renders/ATB%20Series%202012.jpg,445-6139-1-ND,ATB2012-75011-T000,TDK Corporation,BALUN 50MHZ-1.2GHZ 75/75 0805,59084,0,"0.76000","0","1","Cut Tape (CT)","ATB","Active","50MHz ~ 1.2GHz","75 / 75Ohm","-","1.2dB","-","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_atb2012_en.pdf,//media.digikey.com/Renders/TDK%20Renders/ATB%20Series%202012.jpg,445-6139-6-ND,ATB2012-75011-T000,TDK Corporation,BALUN 50MHZ-1.2GHZ 75/75 0805,59084,0,"Digi-Reel","0","1","Digi-Reel®","ATB","Active","50MHz ~ 1.2GHz","75 / 75Ohm","-","1.2dB","-","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_atb2012_en.pdf,//media.digikey.com/Renders/TDK%20Renders/ATB%20Series%202012.jpg,445-6138-2-ND,ATB2012-50011-T000,TDK Corporation,BALUN 40MHZ-860MHZ 50/50 0805,4000,0,"0.23460","0","2000","Tape & Reel (TR)","ATB","Active","40MHz ~ 860MHz","50 / 50Ohm","-","2.5dB","-","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_atb2012_en.pdf,//media.digikey.com/Renders/TDK%20Renders/ATB%20Series%202012.jpg,445-6138-1-ND,ATB2012-50011-T000,TDK Corporation,BALUN 40MHZ-860MHZ 50/50 0805,6564,0,"0.76000","0","1","Cut Tape (CT)","ATB","Active","40MHz ~ 860MHz","50 / 50Ohm","-","2.5dB","-","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_atb2012_en.pdf,//media.digikey.com/Renders/TDK%20Renders/ATB%20Series%202012.jpg,445-6138-6-ND,ATB2012-50011-T000,TDK Corporation,BALUN 40MHZ-860MHZ 50/50 0805,6564,0,"Digi-Reel","0","1","Digi-Reel®","ATB","Active","40MHz ~ 860MHz","50 / 50Ohm","-","2.5dB","-","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/2450BM14E0003/2450BM14E0003.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200603(1608)6.jpg,712-1581-2-ND,2450BM14E0003T,Johanson Technology Inc.,BALUN 2.4GHZ-2.5GHZ 0603,172000,0,"0.25200","0","4000","Tape & Reel (TR)","-","Active","2.4GHz ~ 2.5GHz","50 / -Ohm","150° ±15°","2.5dB","9.5dB","0603 (1608 Metric), 6 PC Pad","Surface Mount"
https://www.johansontechnology.com/datasheets/2450BM14E0003/2450BM14E0003.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200603(1608)6.jpg,712-1581-1-ND,2450BM14E0003T,Johanson Technology Inc.,BALUN 2.4GHZ-2.5GHZ 0603,184399,0,"0.66000","0","1","Cut Tape (CT)","-","Active","2.4GHz ~ 2.5GHz","50 / -Ohm","150° ±15°","2.5dB","9.5dB","0603 (1608 Metric), 6 PC Pad","Surface Mount"
https://www.johansontechnology.com/datasheets/2450BM14E0003/2450BM14E0003.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200603(1608)6.jpg,712-1581-6-ND,2450BM14E0003T,Johanson Technology Inc.,BALUN 2.4GHZ-2.5GHZ 0603,184399,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.4GHz ~ 2.5GHz","50 / -Ohm","150° ±15°","2.5dB","9.5dB","0603 (1608 Metric), 6 PC Pad","Surface Mount"
https://www.johansontechnology.com/datasheets/0900BL15C050/0900BL15C050.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/900MHz%20Balun6%20L1.6xW.8.jpg,712-1022-2-ND,0900BL15C050E,Johanson Technology Inc.,BALUN 800MHZ-1GHZ 50/50 0805,144000,0,"0.25500","0","4000","Tape & Reel (TR)","0900","Active","800MHz ~ 1GHz","50 / 50Ohm","180° ±10°","1.2dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/0900BL15C050/0900BL15C050.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/900MHz%20Balun6%20L1.6xW.8.jpg,712-1022-1-ND,0900BL15C050E,Johanson Technology Inc.,BALUN 800MHZ-1GHZ 50/50 0805,147670,0,"0.83000","0","1","Cut Tape (CT)","0900","Active","800MHz ~ 1GHz","50 / 50Ohm","180° ±10°","1.2dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/0900BL15C050/0900BL15C050.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/900MHz%20Balun6%20L1.6xW.8.jpg,712-1022-6-ND,0900BL15C050E,Johanson Technology Inc.,BALUN 800MHZ-1GHZ 50/50 0805,147670,0,"Digi-Reel","0","1","Digi-Reel®","0900","Active","800MHz ~ 1GHz","50 / 50Ohm","180° ±10°","1.2dB","9.5dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/2450BM15A0002/2450BM15A0002.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Balun%20Transformer10.jpg,712-1536-2-ND,2450BM15A0002E,Johanson Technology Inc.,BALUN 2.4GHZ-2.5GHZ 0805,112000,0,"0.25500","0","4000","Tape & Reel (TR)","-","Active","2.4GHz ~ 2.5GHz","50 / -Ohm","180° ±15°","1.5dB","10dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/2450BM15A0002/2450BM15A0002.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Balun%20Transformer10.jpg,712-1536-1-ND,2450BM15A0002E,Johanson Technology Inc.,BALUN 2.4GHZ-2.5GHZ 0805,116655,0,"0.83000","0","1","Cut Tape (CT)","-","Active","2.4GHz ~ 2.5GHz","50 / -Ohm","180° ±15°","1.5dB","10dB","0805 (2012 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/2450BM15A0002/2450BM15A0002.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Balun%20Transformer10.jpg,712-1536-6-ND,2450BM15A0002E,Johanson Technology Inc.,BALUN 2.4GHZ-2.5GHZ 0805,116655,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.4GHz ~ 2.5GHz","50 / -Ohm","180° ±15°","1.5dB","10dB","0805 (2012 Metric)","Surface Mount"
