Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Number of Mixers","Gain","Noise Figure","Secondary Attributes","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
http://www.analog.com/media/en/technical-documentation/data-sheets/5552f.pdf,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1985-var-A;-UDB;-12.jpg,LTC5552IUDB#TRMPBFCT-ND,LTC5552IUDB#TRMPBF,Linear Technology/Analog Devices,3GHZ TO 20GHZ MICROWAVE MIXER WI,167,500,"44.02000","0","1","Cut Tape (CT)","LTC555","Active","-","3GHz ~ 20GHz","1","-","11.7dB","Up/Down Converter","132mA","3V ~ 3.6V","12-WFQFN Exposed Pad","12-QFN (3x2)"
http://www.analog.com/media/en/technical-documentation/data-sheets/5552f.pdf,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1985-var-A;-UDB;-12.jpg,LTC5552IUDB#TRMPBFDKR-ND,LTC5552IUDB#TRMPBF,Linear Technology/Analog Devices,3GHZ TO 20GHZ MICROWAVE MIXER WI,167,500,"Digi-Reel","0","1","Digi-Reel®","LTC555","Active","-","3GHz ~ 20GHz","1","-","11.7dB","Up/Down Converter","132mA","3V ~ 3.6V","12-WFQFN Exposed Pad","12-QFN (3x2)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc292.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,HMC292LC3B-ND,HMC292LC3B,Analog Devices Inc.,IC MMIC MIXER HI IP3 12-QFN,467,0,"47.84000","0","1","Strip","-","Obsolete","General Purpose","16GHz ~ 30GHz","1","-","9.5dB","Up/Down Converter","-","-","12-VFCQFN Exposed Pad","12-CSMT (3x3)"
//media.digikey.com/pdf/Data%20Sheets/MA-Com%20Technology%20PDFs/XM1001-QH.pdf,//media.digikey.com/Renders/MACom%20Technology%20Solutions/24-QFN%20Exposed%20Pad.jpg,1465-1398-1-ND,XM1001-QH-0G0T,M/A-Com Technology Solutions,IC MMIC REJECT MXR 10-33HZ 24QFN,346,0,"49.45000","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","DBS, LMDS, VSAT","10GHz ~ 33GHz","2","-","-","-","-","-","24-VFQFN Exposed Pad","24-QFN (4x4)"
//media.digikey.com/pdf/Data%20Sheets/MA-Com%20Technology%20PDFs/XM1001-QH.pdf,//media.digikey.com/Renders/MACom%20Technology%20Solutions/24-QFN%20Exposed%20Pad.jpg,1465-1398-6-ND,XM1001-QH-0G0T,M/A-Com Technology Solutions,IC MMIC REJECT MXR 10-33HZ 24QFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","DBS, LMDS, VSAT","10GHz ~ 33GHz","2","-","-","-","-","-","24-VFQFN Exposed Pad","24-QFN (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc787a.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,1127-3642-2-ND,HMC787ALC3BTR,Analog Devices Inc.,"DOUBLE-BALANCED - MIXER, 3-11GHZ",100,9300,"47.94980","0","100","Tape & Reel (TR)","-","Active","-","3GHz ~ 10GHz","1","-","9dB","-","-","-","12-CLCC Exposed Pad","12-CLCC (2.9x2.9)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc787a.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,1127-3642-1-ND,HMC787ALC3BTR,Analog Devices Inc.,"DOUBLE-BALANCED - MIXER, 3-11GHZ",186,9300,"60.91000","0","1","Cut Tape (CT)","-","Active","-","3GHz ~ 10GHz","-","-","9dB","-","-","-","12-CLCC Exposed Pad","12-CLCC (2.9x2.9)"
https://www.analog.com/media/en/technical-documentation/data-sheets/hmc787a.pdf,//media.digikey.com/Renders/Hittite%20Microwave%20Renders/12-VFQFN%20Exposed%20Pad.jpg,1127-3642-6-ND,HMC787ALC3BTR,Analog Devices Inc.,"DOUBLE-BALANCED - MIXER, 3-11GHZ",186,9300,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","3GHz ~ 10GHz","-","-","9dB","-","-","-","12-CLCC Exposed Pad","12-CLCC (2.9x2.9)"
https://cdn.macom.com/datasheets/MAMX-011054.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAMX-011054.jpg,1465-1831-2-ND,MAMX-011054-TR0100,M/A-Com Technology Solutions,MIXER 18-46 GHZ 12-AQFN,100,0,"64.40000","0","100","Tape & Reel (TR)","-","Active","Radar","18GHz ~ 46GHz","1","-","-","-","-","-","12-LFQFN Exposed Pad","12-AQFN (3x3)"
https://cdn.macom.com/datasheets/MAMX-011054.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MFG_MAMX-011054.jpg,1465-1831-1-ND,MAMX-011054-TR0100,M/A-Com Technology Solutions,MIXER 18-46 GHZ 12-AQFN,110,0,"78.18000","0","1","Cut Tape (CT)","-","Active","Radar","18GHz ~ 46GHz","1","-","-","-","-","-","12-LFQFN Exposed Pad","12-AQFN (3x3)"
