Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coupler Type","Frequency","Coupling Factor","Applications","Insertion Loss","Power - Max","Isolation","Return Loss","Package / Case","Supplier Device Package"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/XC0900A-03S/XC0900A-03S_Datasheet(Rev_D).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/XC0900A-03S.JPG",1173-1122-6-ND,XC0900A-03S,Anaren,RF DIR COUPLER 811MHZ-1GHZ SMD,8503,0,"Digi-Reel","0","1","Digi-Reel®","Xinger II®","Active","Standard","811MHz ~ 1GHz","3dB","AMPS","0.15dB","175W","23dB","24.9dB","4-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/X3C09P2-30S/X3C09P2-30S_Datasheet(Rev_C).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/X3C09P2-30S.JPG",1173-1107-2-ND,X3C09P2-30S,Anaren,RF DIR COUPLER 800MHZ-1GHZ 4SMD,2000,0,"1.97500","0","2000","Tape & Reel (TR)","Xinger III®","Active","Standard","800MHz ~ 1GHz","30.2dB","AMPS, CDMA, WCDMA","0.1dB","225W","-","24.9dB","2520 (6450 Metric)","4-SMD"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/X3C09P2-30S/X3C09P2-30S_Datasheet(Rev_C).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/X3C09P2-30S.JPG",1173-1107-1-ND,X3C09P2-30S,Anaren,RF DIR COUPLER 800MHZ-1GHZ 4SMD,2947,0,"4.65000","0","1","Cut Tape (CT)","Xinger III®","Active","Standard","800MHz ~ 1GHz","30.2dB","AMPS, CDMA, WCDMA","0.1dB","225W","-","24.9dB","2520 (6450 Metric)","4-SMD"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/X3C09P2-30S/X3C09P2-30S_Datasheet(Rev_C).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/X3C09P2-30S.JPG",1173-1107-6-ND,X3C09P2-30S,Anaren,RF DIR COUPLER 800MHZ-1GHZ 4SMD,2947,0,"Digi-Reel","0","1","Digi-Reel®","Xinger III®","Active","Standard","800MHz ~ 1GHz","30.2dB","AMPS, CDMA, WCDMA","0.1dB","225W","-","24.9dB","2520 (6450 Metric)","4-SMD"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/11302-20/11302-20_DataSheet(Rev_B).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/MFG_11302-20.jpg",1173-1169-2-ND,11302-20,Anaren,RF DIR COUPLER 190MHZ-400MHZ SMD,1000,0,"6.22500","0","1000","Tape & Reel (TR)","Xinger®","Active","Standard","190MHz ~ 400MHz","20dB","General Purpose","0.3dB","100W","-","-","4-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/11302-20/11302-20_DataSheet(Rev_B).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/MFG_11302-20.jpg",1173-1169-1-ND,11302-20,Anaren,RF DIR COUPLER 190MHZ-400MHZ SMD,1099,0,"10.98000","0","1","Cut Tape (CT)","Xinger®","Active","Standard","190MHz ~ 400MHz","20dB","General Purpose","0.3dB","100W","-","-","4-SMD, No Lead","-"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/11302-20/11302-20_DataSheet(Rev_B).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/MFG_11302-20.jpg",1173-1169-6-ND,11302-20,Anaren,RF DIR COUPLER 190MHZ-400MHZ SMD,1099,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","Standard","190MHz ~ 400MHz","20dB","General Purpose","0.3dB","100W","-","-","4-SMD, No Lead","-"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Couplers/FPC06076-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/FPC060XX.JPG,1761-1029-ND,FPC06076,Knowles Dielectric Labs,RF DIR COUPLER 4GHZ-8GHZ SMD,382,0,"18.90000","0","1","Bulk","-","Active","-","4GHz ~ 8GHz","22dB","General Purpose","0.3dB","-","-","15dB","4-SMD, No Lead","-"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Couplers/FPC06073-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/FPC060XX.JPG,1761-1026-ND,FPC06073,Knowles Dielectric Labs,RF DIR COUPLER 4GHZ-8GHZ SMD,371,0,"18.90000","0","1","Bulk","-","Active","Standard","4GHz ~ 8GHz","11.5dB","General Purpose","0.2dB","-","-","18dB","4-SMD, No Lead","-"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Couplers/FPC06074-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/FPC060XX.JPG,1761-1027-ND,FPC06074,Knowles Dielectric Labs,RF DIR COUPLER 8GHZ-12GHZ SMD,262,0,"26.33000","0","1","Bulk","-","Active","Standard","8GHz ~ 12GHz","12dB","General Purpose","0.5dB","-","-","14dB","4-SMD, No Lead","-"
