Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","RF Type","Input Range","Accuracy","Voltage - Supply","Current - Supply","Package / Case","Supplier Device Package"
https://datasheets.maximintegrated.com/en/ds/MAX2203.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0217;EWT;6.jpg,MAX2203EWT+TCT-ND,MAX2203EWT+T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 6WLP,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","800MHz ~ 2GHz","W-CDMA","-24dBm ~ 3dBm","±0.4dB","2.5V ~ 4.2V","5mA","6-WFBGA, WLBGA","6-WLP"
https://datasheets.maximintegrated.com/en/ds/MAX2203.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0217;EWT;6.jpg,MAX2203EWT+TDKR-ND,MAX2203EWT+T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 6WLP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","800MHz ~ 2GHz","W-CDMA","-24dBm ~ 3dBm","±0.4dB","2.5V ~ 4.2V","5mA","6-WFBGA, WLBGA","6-WLP"
https://docs.broadcom.com/docs/AV02-3546EN,-,ADET-5000-BLK-ND,ADET-5000-BLK,Broadcom Limited,IC RF DETECT 700MHZ-2.6GHZ 6SMD,0,0,"Obsolete","0","6300","Bulk","-","Obsolete","700MHz ~ 2.6GHz","General Purpose","-20dBm ~ 11dBm","-","-","-","6-XFDFN Exposed Pad","6-SMD (1.2x1.5)"
https://docs.broadcom.com/docs/AV02-3546EN,-,ADET-5000-TR1-ND,ADET-5000-TR1,Broadcom Limited,IC RF DETECT 700MHZ-2.6GHZ 6SMD,0,0,"Obsolete","0","9000","Tape & Reel (TR)","-","Obsolete","700MHz ~ 2.6GHz","General Purpose","-20dBm ~ 11dBm","-","-","-","6-XFDFN Exposed Pad","6-SMD (1.2x1.5)"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmv225,//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SDB06A.jpg,LMV225SDTR-ND,LMV225SD,Texas Instruments,IC RF DETECT 450MHZ-2GHZ 6WSON,0,0,"Obsolete","0","1000","Tape & Reel (TR)","-","Obsolete","450MHz ~ 2GHz","Cellular, CDMA, CDMA2000, EDGE, GSM, GPRS, TDMA, W-CDMA","-30dBm ~ 0dBm","±1dB","2.7V ~ 5V","8mA","6-WDFN Exposed Pad","6-WSON (2.5x2.2)"
https://datasheets.maximintegrated.com/en/ds/MAX4000-MAX4002.pdf,//media.digikey.com/renders/Maxim%20Renders/9-UCSP_21-0093L.jpg,MAX4001EBL+T-ND,MAX4001EBL+T,Maxim Integrated,IC RF DETECT 100MHZ-2.5GHZ 8CSP,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","100MHz ~ 2.5GHz","Cellular, CDMA, GSM","-35dBm ~ 10dBm","-","2.7V ~ 5.5V","5.9mA","9-WFBGA, CSPBGA","8-UCSP (3x3)"
https://datasheets.maximintegrated.com/en/ds/MAX2016.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0140;TI;28.jpg,MAX2016ETI-ND,MAX2016ETI,Maxim Integrated,IC RF DETECT 30KHZ-2.5GHZ 28QFN,0,0,"Discontinued at Digi-Key","0","1","Tube","-","Discontinued at Digi-Key","30kHz ~ 2.5GHz","Cellular, GSM, EDGE, CDMA","-70dBm ~ 10dBm","±1dB","2.7V ~ 5.25V","16mA","28-WFQFN Exposed Pad","28-TQFN (5x5)"
https://datasheets.maximintegrated.com/en/ds/MAX2016.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0140;TI;28.jpg,MAX2016ETI-T-ND,MAX2016ETI-T,Maxim Integrated,IC RF DETECT 30KHZ-2.5GHZ 28QFN,0,0,"Discontinued at Digi-Key","0","2500","Tape & Reel (TR)","-","Discontinued at Digi-Key","30kHz ~ 2.5GHz","Cellular, GSM, EDGE, CDMA","-70dBm ~ 10dBm","±1dB","2.7V ~ 5.25V","16mA","28-WFQFN Exposed Pad","28-TQFN (5x5)"
-,-,MAX2205EBS-T-ND,MAX2205EBS-T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","10000","Tape & Reel (TR)","-","Obsolete","800MHz ~ 2GHz","Cellular, CDMA","6dBm ~ 31dBm","±0.3dB","2.7V ~ 5V","2mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
-,-,MAX2205EBS-T10-ND,MAX2205EBS-T10,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","10000","Tape & Reel (TR)","-","Obsolete","800MHz ~ 2GHz","Cellular, CDMA","6dBm ~ 31dBm","±0.3dB","2.7V ~ 5V","2mA","4-WFBGA, CSPBGA","4-UCSP (1.05x1.05)"
