Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Gain","Noise Figure","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://www.silabs.com/documents/public/data-shorts/Si2180-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5193-2-ND,SI2180-B60-GMR,Silicon Labs,RF DEMODULATOR IC 48QFN,0,0,"4.08240","0","2500","Tape & Reel (TR)","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2180-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5193-1-ND,SI2180-B60-GMR,Silicon Labs,RF DEMODULATOR IC 48QFN,2498,0,"6.53000","0","1","Cut Tape (CT)","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2180-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5193-6-ND,SI2180-B60-GMR,Silicon Labs,RF DEMODULATOR IC 48QFN,2498,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.cmlmicro.com/wp-content/uploads/2017/06/CMX970-Data-sheet.pdf,-,2032-1107-ND,CMX970Q7,CML Microcircuits,IF/RF QUADRATURE DEMODULATOR,490,0,"8.08000","0","1","-","-","Active","Demodulator","-","20MHz ~ 300MHz","-41dBm","56dB","10dB","15mA","3V ~ 3.6V","16-VQFN Exposed Pad","16-VQFN (4x4)"
-,-,2032-1108-ND,CMX972Q5,CML Microcircuits,QUADRATURE DEMODUATOR WITH IF PL,490,0,"9.55000","0","1","-","-","Active","Demodulator","40MHz ~ 600MHz","20MHz ~ 300MHz","-41dBm","56dB","10dB","3mA","3V ~ 3.6V","32-VFQFN Exposed Pad","32-VQFN (5x5)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5380.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24.jpg,ADL5380ACPZ-R7TR-ND,ADL5380ACPZ-R7,Analog Devices Inc.,RF DEMOD IC 400MHZ-6GHZ 24LFCSP,0,31500,"7.09263","0","1500","Tape & Reel (TR)","-","Active","Demodulator","400MHz ~ 6GHz","400MHz ~ 6GHz","11.6dBm","6.9dB","10.9dB","245mA","4.75V ~ 5.25V","24-WFQFN Exposed Pad, CSP","24-LFCSP-WQ (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5380.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24.jpg,ADL5380ACPZ-R7CT-ND,ADL5380ACPZ-R7,Analog Devices Inc.,RF DEMOD IC 400MHZ-6GHZ 24LFCSP,1487,31500,"11.53000","0","1","Cut Tape (CT)","-","Active","Demodulator","400MHz ~ 6GHz","400MHz ~ 6GHz","11.6dBm","6.9dB","10.9dB","245mA","4.75V ~ 5.25V","24-WFQFN Exposed Pad, CSP","24-LFCSP-WQ (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5380.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-7;CP;24.jpg,ADL5380ACPZ-R7DKR-ND,ADL5380ACPZ-R7,Analog Devices Inc.,RF DEMOD IC 400MHZ-6GHZ 24LFCSP,1487,31500,"Digi-Reel","0","1","Digi-Reel®","-","Active","Demodulator","400MHz ~ 6GHz","400MHz ~ 6GHz","11.6dBm","6.9dB","10.9dB","245mA","4.75V ~ 5.25V","24-WFQFN Exposed Pad, CSP","24-LFCSP-WQ (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5387.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-2;CP;24.jpg,ADL5387ACPZ-R7TR-ND,ADL5387ACPZ-R7,Analog Devices Inc.,RF DEMOD IC 30MHZ-2GHZ 24LFCSP,0,3000,"7.09263","0","1500","Tape & Reel (TR)","-","Active","Demodulator","100MHz ~ 4GHz","30MHz ~ 2GHz","12.8dBm","3.8dB","16.5dB","180mA","4.75V ~ 5.25V","24-VFQFN Exposed Pad, CSP","24-LFCSP-VQ (4x4)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5387.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-24-2;CP;24.jpg,ADL5387ACPZ-R7CT-ND,ADL5387ACPZ-R7,Analog Devices Inc.,RF DEMOD IC 30MHZ-2GHZ 24LFCSP,794,3000,"11.53000","0","1","Cut Tape (CT)","-","Active","Demodulator","100MHz ~ 4GHz","30MHz ~ 2GHz","12.8dBm","3.8dB","16.5dB","180mA","4.75V ~ 5.25V","24-VFQFN Exposed Pad, CSP","24-LFCSP-VQ (4x4)"
