Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Modulation or Protocol","Frequency","Applications","Interface","Sensitivity","Power - Output","Data Rate (Max)","Features"
https://www.silabs.com/documents/public/reference-manuals/TG-PM-0518-ETRX357USB.pdf,//media.digikey.com/Photos/Telegesis%20Ltd/MFG_ETRX357USB+8M.JPG,920-1015-ND,ETRX357USB8M,Silicon Labs,ZIGBEE USB STICK,269,0,"63.44000","0","1","-","Active","Transceiver","ZigBee™","2.4GHz","-","USB","-","20dBm","-","-"
https://www.silabs.com/documents/public/reference-manuals/TG-PM-0518-ETRX357USB.pdf,//media.digikey.com/Photos/Telegesis%20Ltd/ETRX357USB-LRS.jpg,920-1014-ND,ETRX357USB-LRS,Silicon Labs,USB STICK ZIGBEE PRO AT EM357,289,0,"70.76000","0","1","-","Active","Transceiver","ZigBee™","2.4GHz","General Purpose","USB","-102dBm","20dBm","5Mbps","-"
https://www.sensit.io/assets/1803-SIGFOX-DATASHEET_SENSIT-WEB.pdf,//media.digikey.com/Photos/Sigfox/MFG_SENS'IT.jpg,1895-1001-ND,SENS'IT DISCOVERY 3.1,Sigfox,SENS'IT RC1 EUROPE,69,0,"75.00000","0","1","-","Active","Sensor","Sigfox","868MHz ~ 869.7MHz","General Purpose","USB","-124dBm","14dBm","100bps","IP54, Rechargeable Battery"
https://www.digitalmatter.com/DigitalMatter/media/documents/Devices/Sigfox/Oyster-Sigfox-Datasheet-v2-2.pdf,//media.digikey.com/Photos/Thinxtra-Solutions-Limited/MFG_OYSTER.jpg,1894-1003-ND,0048-DIG-OYW-1,Thinxtra Solutions Limited,OYSTER GPS TRACKING SIGFOX RCZ1,44,0,"86.89000","0","1","Oyster™","Active","Transmitter","GPS, Sigfox","868MHz","General Purpose","USB","-167dBm","-","-","IP67"
https://www.digitalmatter.com/DigitalMatter/media/documents/Devices/Sigfox/Oyster-Sigfox-Datasheet-v2-2.pdf,//media.digikey.com/Photos/Thinxtra-Solutions-Limited/MFG_OYSTER.jpg,1894-1004-ND,0049-DIG-OYW-2,Thinxtra Solutions Limited,OYSTER GPS TRACKING SIGFOX RCZ2,28,0,"88.05000","0","1","Oyster™","Active","Transmitter","GPS, Sigfox","902MHz","General Purpose","USB","-167dBm","-","-","IP67"
https://www.digitalmatter.com/DigitalMatter/media/documents/Devices/Sigfox/Oyster-Sigfox-Datasheet-v2-2.pdf,//media.digikey.com/Photos/Thinxtra-Solutions-Limited/MFG_OYSTER.jpg,1894-1005-ND,0004-DIG-OYW-4,Thinxtra Solutions Limited,OYSTER GPS TRACKING SIGFOX RCZ4,27,0,"88.05000","0","1","Oyster™","Active","Transmitter","GPS","920MHz","General Purpose","USB","-167dBm","-","-","IP67"
//media.digikey.com/pdf/Data%20Sheets/Laird%20Technologies/Sentrius_RS1xx_External_Series_v1_0_12-14-18.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/MFG_SentriusSeriesSensor_wProbe.jpg,455-0009-ND,455-0009,Laird - Wireless & Thermal Systems,TEMP PROBE 915 MHZ LORA BLE,60,0,"102.30000","0","1","Sentrius™","Active","Sensor","Bluetooth v4.2, LoRaWAN","915MHz","LTE","-","-","-","-","IP65"
https://connectivity-staging.s3.us-east-2.amazonaws.com/s3fs-public/2018-10/Product%20Brief%20-%20ConnexLink.pdf,//media.digikey.com/photos/Laird%20Tech%20Photos/CL4790-1000-232.JPG,CL4790-1000-232-ND,CL4790-1000-232,Laird - Wireless & Thermal Systems,TXRX 900MHZ RS232 1W W/ANT DB9,50,0,"110.00000","0","1","-","Active","Transceiver","FHSS, FSK","902MHz ~ 928MHz","General Purpose","RS-232","-99dBm","1000mW","115.2kbps","-"
http://www.multitech.com/documents/publications/data-sheets/86002164.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MTC-H5-B01.jpg,881-1223-ND,MTC-H5-B01,Multi-Tech Systems Inc.,MODEM HSPA+ RS-232 W/O ACCY,29,0,"207.50000","0","1","MultiConnect® Cell","Active","Transceiver, Modem","HSPA+","1.7GHz, 1.9GHz, 2.1GHz","General Purpose","RS-232","-","-","21Mbps","-"
https://connectivity-staging.s3.us-east-2.amazonaws.com/s3fs-public/2018-10/Product%20Brief%20-%20ConnexLink.pdf,//media.digikey.com/photos/Laird%20Tech%20Photos/CL4490-1000-485-SP.JPG,CL4490-1000-485-SP-ND,CL4490-1000-485-SP,Laird - Wireless & Thermal Systems,TXRX 900MHZ RS485 W/ANT TERM BLK,70,0,"225.00000","0","1","Connexlink™","Active","2 Transceivers","FHSS, FSK","902MHz ~ 928MHz","General Purpose","RS-485","-99dBm","1000mW","76.8kbps","2 ConnexLink RS485 Units"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1327_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1327.jpg,1528-1437-ND,1327,Adafruit Industries LLC,BLUETOOTH 4.0 USB MODULE 2.1COMP,183,0,"11.95000","0","1","-","Active","Transceiver","Bluetooth","2.4GHz","General Purpose","USB","-86dBm","6dBm","-","-"
//media.digikey.com/pdf/Data%20Sheets/Electric%20IMP%20PDFs/IMP001_Spec.pdf,//media.digikey.com/Photos/Electric%20Imp/IMP001-US-B.JPG,1413-1002-ND,IMP001-US-B,Electric Imp Inc.,IMP 802.11B/G/N NODE CARD,446,0,"25.00000","0","1","-","Not For New Designs","Transceiver, 802.11 b/g/n, WLAN","802.11 b/g/n","2.4GHz","Wireless LAN","I²C, SPI, UART","-97dBm","16.75dBm","1Mbps","LED Indicator"
https://linxtechnologies.com/wp/wp-content/uploads/otx-fff-hh-kf-ht.pdf,//media.digikey.com/Photos/Linx%20Tech%20Photos/MFG_OTX-4xx-HH-KF5-HT.jpg,OTX-418-HH-KF5-HT-ND,OTX-418-HH-KF5-HT,Linx Technologies Inc.,XMITTER KEYFOB 418MHZ 5 BUTTON,657,0,"26.66000","0","1","-","Active","Transmitter","ASK, OOK","418MHz","General Remote Control, Home Automation, RKE","Handheld, 5 Button","-","-","-","5 Buttons, 750 ft. Operating Distance"
