Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Applications","Modulation or Protocol","Data Rate (Max)","Power - Output","Current - Transmitting","Data Interface","Antenna Connector","Memory Size","Features","Voltage - Supply","Operating Temperature","Package / Case"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1418FV.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1418FV-E2CT-ND,BH1418FV-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 24LSSOP,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","18.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1418FV.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1418FV-E2DKR-ND,BH1418FV-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 24LSSOP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","18.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
https://www.rfsolutions.co.uk/downloads/1520941836DS-ALPHATX-4.pdf,//media.digikey.com/photos/RF%20Solutions%20Photos/ALPHA-TX433S.JPG,ALPHA-TX433S-ND,ALPHA-TX433S,RF Solutions,RF TRANSMITTER FSK 433MHZ MODULE,0,0,"6.52611","0","18","Bulk","-","Active","433MHz","-","FSK","115.2kbps","7dbm","11mA","Solder Pad","PCB, Surface Mount","-","-","2.2V ~ 5.4V","-40°C ~ 85°C","Module"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1416F.pdf,//media.digikey.com/photos/Rohm%20Photos/511-22-SOP.jpg,BH1416F-E2-ND,BH1416F-E2,Rohm Semiconductor,RF XMITTER FM 76-90MHZ 22SOIC,0,0,"6.65000","0","2000","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 90MHz, 87.5MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","28mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","22-SOIC (0.213"", 5.40mm Width)"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1425KN.pdf,//media.digikey.com/renders/Rohm%20Renders/28-VQFN_VQFN28%20Pkg.jpg,BH1425KN-E2TR-ND,BH1425KN-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 28VFQFN,0,0,"7.25200","0","2500","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-9dBm ~ -3dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-20°C ~ 85°C","28-VFQFN"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1425KN.pdf,//media.digikey.com/renders/Rohm%20Renders/28-VQFN_VQFN28%20Pkg.jpg,BH1425KN-E2CT-ND,BH1425KN-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 28VFQFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-9dBm ~ -3dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-20°C ~ 85°C","28-VFQFN"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1425KN.pdf,//media.digikey.com/renders/Rohm%20Renders/28-VQFN_VQFN28%20Pkg.jpg,BH1425KN-E2DKR-ND,BH1425KN-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 28VFQFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-9dBm ~ -3dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-20°C ~ 85°C","28-VFQFN"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1426GWL.pdf,//media.digikey.com/renders/Rohm%20Renders/32-UCSP_UCSP50L%20Pkg.jpg,BH1426GWL-E2TR-ND,BH1426GWL-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 32UFBGA,0,0,"7.25200","0","2500","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-8dBm ~ -2dBm","23mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 3.6V","-20°C ~ 85°C","32-UFBGA, WLCSP"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1426GWL.pdf,//media.digikey.com/renders/Rohm%20Renders/32-UCSP_UCSP50L%20Pkg.jpg,BH1426GWL-E2CT-ND,BH1426GWL-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 32UFBGA,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-8dBm ~ -2dBm","23mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 3.6V","-20°C ~ 85°C","32-UFBGA, WLCSP"
//media.digikey.com/pdf/Data Sheets/Rohm PDFs/BH1426GWL.pdf,//media.digikey.com/renders/Rohm%20Renders/32-UCSP_UCSP50L%20Pkg.jpg,BH1426GWL-E2DKR-ND,BH1426GWL-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 32UFBGA,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-8dBm ~ -2dBm","23mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 3.6V","-20°C ~ 85°C","32-UFBGA, WLCSP"
-,-,BH1428MUV-E2-ND,BH1428MUV-E2,Rohm Semiconductor,RF TRANSMITTER FM 76-108MHZ,0,0,"7.25200","0","2500","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","3dBm","-","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 3.6V","-","-"
