Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Height - Overall","Length - Overall","Width - Overall","Ventilation","Mounting Type"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-404.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-404F.jpg,1798-1213-6-ND,SMS-404F,Leader Tech Inc.,RF SHIELD 1.282"" X 1.282"" SMD,457,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Frame","0.236"" (6.00mm)","1.282"" (32.56mm)","1.282"" (32.56mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/04/SMS-461-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-461F.jpg,1798-1235-2-ND,SMS-461F,Leader Tech Inc.,RF SHIELD 1.07"" X 2.206"" SMD,200,0,"2.33700","0","200","Tape & Reel (TR)","-","Active","Frame","0.236"" (6.00mm)","2.206"" (56.03mm)","1.070"" (27.18mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/04/SMS-461-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-461F.jpg,1798-1235-1-ND,SMS-461F,Leader Tech Inc.,RF SHIELD 1.07"" X 2.206"" SMD,293,0,"3.29000","0","1","Cut Tape (CT)","-","Active","Frame","0.236"" (6.00mm)","2.206"" (56.03mm)","1.070"" (27.18mm)","-","Surface Mount"
https://katalog.we-online.de/pbs/datasheet/36003250.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/36003250.jpg,732-2491-ND,36003250,Wurth Electronics Inc.,RF SHIELD 1.055X1.055"" SLDR/SNAP,614,0,"3.19000","0","1","Bulk","WE-SHC","Active","Cover","0.118"" (3.00mm)","1.055"" (26.80mm)","1.055"" (26.80mm)","Non-Vented","Solder and Snap On"
https://katalog.we-online.de/pbs/datasheet/36103255.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/36103255.jpg,732-2489-ND,36103255,Wurth Electronics Inc.,RF SHIELD 1.024"" X 1.024"" SMD,122,0,"3.19000","0","1","Tray","WE-SHC","Active","Frame","0.118"" (3.00mm)","1.024"" (26.00mm)","1.024"" (26.00mm)","-","Surface Mount"
http://downloads.echelon.com/support/documentation/datashts/51001.pdf,//media.digikey.com/Photos/Echelon%20Photos/51001R.JPG,1499-1068-ND,51001R,Echelon Corporation,RF SHIELD 0.66"" X 0.82"" ADHESIVE,108,0,"3.65000","0","1","Bulk","-","Active","Shield, 2-Piece","0.320"" (8.00mm)","0.820"" (20.83mm)","0.660"" (16.80mm)","Non-Vented","Adhesive"
https://katalog.we-online.de/pbs/datasheet/36003300.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/36003300.jpg,732-2494-ND,36003300,Wurth Electronics Inc.,RF SHIELD 1.252X1.252"" SLDR/SNAP,1016,0,"4.07000","0","1","Bag","WE-SHC","Active","Cover","0.118"" (3.00mm)","1.252"" (31.80mm)","1.252"" (31.80mm)","Non-Vented","Solder and Snap On"
https://katalog.we-online.de/pbs/datasheet/36503205.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/36503205.jpg,732-2487-ND,36503205,Wurth Electronics Inc.,RF SHIELD 0.827"" X 0.827"" T/H,246,0,"4.40000","0","1","Tray","WE-SHC","Active","Frame","0.118"" (3.00mm)","0.827"" (21.00mm)","0.827"" (21.00mm)","-","Through Hole"
https://cdn.harwin.com/pdfs/S01-XXXXXXX0.pdf,//media.digikey.com/Photos/Harwin/S01-50250500.jpg,952-2640-ND,S01-30200500,Harwin Inc.,RF SHIELD 0.8"" X 1.181"" SMD,1768,0,"4.93000","0","1","Bulk","EZ BoardWare","Active","CAN","0.200"" (5.08mm)","1.181"" (30.00mm)","0.80"" (20.3mm)","Non-Vented","Surface Mount"
https://cdn.harwin.com/pdfs/S01-XXXXXXX0.pdf,//media.digikey.com/Photos/Harwin/S01-50250500.jpg,952-2641-ND,S01-30300500,Harwin Inc.,RF SHIELD 1.201"" X 1.181"" SMD,394,0,"5.47000","0","1","Bulk","EZ BoardWare","Active","CAN","0.200"" (5.08mm)","1.181"" (30.00mm)","1.201"" (30.50mm)","Non-Vented","Surface Mount"
https://cdn.harwin.com/pdfs/S01-XXXXXXX0.pdf,//media.digikey.com/Photos/Harwin/S01-50250500.jpg,952-2642-ND,S01-50250500,Harwin Inc.,RF SHIELD 1"" X 1.969"" SMD,88,0,"6.11000","0","1","Bulk","EZ BoardWare","Active","CAN","0.200"" (5.08mm)","1.969"" (50.00mm)","1.000"" (25.40mm)","Non-Vented","Surface Mount"
https://katalog.we-online.de/pbs/datasheet/36103505.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/36103305.jpg,732-2495-ND,36103505,Wurth Electronics Inc.,RF SHIELD 2.008"" X 2.008"" SMD,85,0,"6.38000","0","1","Tray","WE-SHC","Active","Frame","0.118"" (3.00mm)","2.008"" (51.00mm)","2.008"" (51.00mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-101.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-101.jpg,1798-1171-2-ND,SMS-101,Leader Tech Inc.,RF SHIELD 0.5"" X 0.538"" SMD 1PC,3000,0,"0.52500","0","1000","Tape & Reel (TR)","-","Active","Cover","0.100"" (2.54mm)","0.538"" (13.67mm)","0.500"" (12.70mm)","Vented","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-101.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-101.jpg,1798-1171-1-ND,SMS-101,Leader Tech Inc.,RF SHIELD 0.5"" X 0.538"" SMD 1PC,3789,0,"1.26000","0","1","Cut Tape (CT)","-","Active","Cover","0.100"" (2.54mm)","0.538"" (13.67mm)","0.500"" (12.70mm)","Vented","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-101.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-101.jpg,1798-1171-6-ND,SMS-101,Leader Tech Inc.,RF SHIELD 0.5"" X 0.538"" SMD 1PC,3789,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Cover","0.100"" (2.54mm)","0.538"" (13.67mm)","0.500"" (12.70mm)","Vented","Surface Mount"
