Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Frequency","For Use With/Related Products","Supplied Contents"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960EVM_UG.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRF7960AEVM.JPG,296-29745-ND,TRF7960AEVM,Texas Instruments,EVAL MODULE FOR TRF7960/1,0,0,"Obsolete","0","1","-","Obsolete","Transceiver","13.56MHz","TRF7960A","Board(s), Accessories"
-,//media.digikey.com/Photos/STMicro%20Photos/STEVAL-IPR002V1.jpg,497-12064-ND,STEVAL-IPR002V1,STMicroelectronics,BOARD EVAL RFID READER,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","M24LR-64-R","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/ANT1-M24LR-A.pdf,//media.digikey.com/Photos/STMicro%20Photos/ANT1-M24LR-A.JPG,497-15915-ND,ANT1-M24LR-A,STMicroelectronics,ANTENNA REF BOARD M24LR64-R,0,0,"Obsolete","0","1","-","Obsolete","Antenna","13.56MHz","M24LR-64-R","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/ANT2-M24LR-A.pdf,//media.digikey.com/Photos/STMicro%20Photos/ANT2-M24LR-A.JPG,ANT2-M24LR-A-ND,ANT2-M24LR-A,STMicroelectronics,ANTENNA REF FOR M24LR64-R,0,0,"Obsolete","0","1","-","Obsolete","Antenna","13.56MHz","M24LR-64-R","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/ANT3-M24LR-A.pdf,//media.digikey.com/Photos/STMicro%20Photos/ANT3-M24LR-A.JPG,ANT3-M24LR-A-ND,ANT3-M24LR-A,STMicroelectronics,ANTENNA REF FOR M24LR-A,0,0,"Obsolete","0","1","-","Obsolete","Antenna","13.56MHz","M24LR-64-R","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/ANT7-M24LR-A.pdf,-,ANT7-M24LR-A-ND,ANT7-M24LR-A,STMicroelectronics,ANTENNA REF FOR M24LR64-R,0,0,"Obsolete","0","1","-","Obsolete","Antenna","13.56MHz","M24LR-64-R","Board(s)"
http://www.st.com/content/ccc/resource/technical/document/data_brief/f1/ca/83/c4/9e/aa/47/55/CD00283568.pdf/files/CD00283568.pdf/jcr:content/translations/en.CD00283568.pdf,//media.digikey.com/Photos/STMicro%20Photos/DATALOG-M24LR-A.JPG,DATALOG-M24LR-A-ND,DATALOG-M24LR-A,STMicroelectronics,DATALOGGER REF FOR M24LR64-R,0,0,"Obsolete","0","1","-","Obsolete","Data Logger","13.56MHz","M24LR-64-R","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/DEMO-CR95HF-A.pdf,-,DEMO-CR95HF-A-ND,DEMO-CR95HF-A,STMicroelectronics,DEMO KIT FOR CR95HF 13.56MHZ,0,0,"Obsolete","0","1","-","Obsolete","Transceiver","13.56MHz","CR95HF-H","Board(s), Cable(s)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960TB-Sch.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRF7960ATB.jpg,296-31309-ND,TRF7960ATB,Texas Instruments,BOARD TARGET FOR TRF7960A,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","TRF7960A","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970A.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRF7970ATB.jpg,296-31310-ND,TRF7970ATB,Texas Instruments,BOARD DEV FOR TRF7970A,0,0,"Obsolete","0","1","-","Obsolete","Near Field Communication (NFC)","13.56MHz","TRF7970A","Board(s)"
