Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","P1dB","Gain","Noise Figure","RF Type","Voltage - Supply","Current - Supply","Test Frequency","Package / Case","Supplier Device Package"
https://www.nxp.com/docs/en/data-sheet/BGA2818.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-12531-1-ND,"BGA2818,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,15283,0,"0.29000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 2.2GHz","4dBm","30dB","3.3dB","General Purpose","3V ~ 3.6V","16.9mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2818.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-12531-6-ND,"BGA2818,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,15283,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 2.2GHz","4dBm","30dB","3.3dB","General Purpose","3V ~ 3.6V","16.9mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2869.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8535-2-ND,"BGA2869,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,3000,0,"0.11642","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 2.2GHz","9dBm","32.2dB","3.2dB","General Purpose","4.5V ~ 5.5V","24mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2869.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8535-1-ND,"BGA2869,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,3356,0,"0.31000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 2.2GHz","9dBm","32.2dB","3.2dB","General Purpose","4.5V ~ 5.5V","24mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2869.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8535-6-ND,"BGA2869,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,3356,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 2.2GHz","9dBm","32.2dB","3.2dB","General Purpose","4.5V ~ 5.5V","24mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
http://www.onsemi.com/pub/Collateral/SMA3103-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/6-MCPH.jpg,SMA3103-TL-EOSTR-ND,SMA3103-TL-E,ON Semiconductor,IC RF AMP GP 0HZ-2.2GHZ 6MCPH,6000,528000,"0.14000","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 2.2GHz","5.7dBm","27dB","4.7dB","General Purpose","4.5V ~ 5.5V","19mA","2.2GHz","6-SMD, Flat Leads","6-MCPH"
http://www.onsemi.com/pub/Collateral/SMA3103-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/6-MCPH.jpg,SMA3103-TL-EOSCT-ND,SMA3103-TL-E,ON Semiconductor,IC RF AMP GP 0HZ-2.2GHZ 6MCPH,6062,528000,"0.37000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 2.2GHz","5.7dBm","27dB","4.7dB","General Purpose","4.5V ~ 5.5V","19mA","2.2GHz","6-SMD, Flat Leads","6-MCPH"
http://www.onsemi.com/pub/Collateral/SMA3103-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/6-MCPH.jpg,SMA3103-TL-EOSDKR-ND,SMA3103-TL-E,ON Semiconductor,IC RF AMP GP 0HZ-2.2GHZ 6MCPH,6062,528000,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 2.2GHz","5.7dBm","27dB","4.7dB","General Purpose","4.5V ~ 5.5V","19mA","2.2GHz","6-SMD, Flat Leads","6-MCPH"
https://www.nxp.com/docs/en/data-sheet/BGU8019.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT1232;;6.jpg,568-13127-2-ND,BGU8019X,NXP USA Inc.,IC AMP GALIL 1.559-1.61GHZ 6XSON,5000,0,"0.14845","0","5000","Tape & Reel (TR)","-","Active","1.559GHz ~ 1.61GHz","-7dBm","18.5dB","0.55dB","Galileo, GLONASS, GPS","1.5V ~ 3.1V","4.6mA","1.575GHz","6-XFDFN","6-XSON, SOT1232 (1.1x0.7)"
https://www.nxp.com/docs/en/data-sheet/BGU8019.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT1232;;6.jpg,568-13127-1-ND,BGU8019X,NXP USA Inc.,IC AMP GALIL 1.559-1.61GHZ 6XSON,7791,0,"0.46000","0","1","Cut Tape (CT)","-","Active","1.559GHz ~ 1.61GHz","-7dBm","18.5dB","0.55dB","Galileo, GLONASS, GPS","1.5V ~ 3.1V","4.6mA","1.575GHz","6-XFDFN","6-XSON, SOT1232 (1.1x0.7)"
