Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Noise Floor","Output Power","Current - Supply","Voltage - Supply","Test Frequency","Package / Case"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6702.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6702ACPZ-R7CT-ND,ADRF6702ACPZ-R7,Analog Devices Inc.,RF MODULATOR 1.2GHZ-2.4GHZ 40QFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","Modulator","1.55GHz ~ 2.15GHz","1.2GHz ~ 2.4GHz","13.5dBm","-158dBm/Hz","4dBm","240mA","4.75V ~ 5.25V","1.85GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6702.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6702ACPZ-R7DKR-ND,ADRF6702ACPZ-R7,Analog Devices Inc.,RF MODULATOR 1.2GHZ-2.4GHZ 40QFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","Modulator","1.55GHz ~ 2.15GHz","1.2GHz ~ 2.4GHz","13.5dBm","-158dBm/Hz","4dBm","240mA","4.75V ~ 5.25V","1.85GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6701.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6701ACPZ-R7TR-ND,ADRF6701ACPZ-R7,Analog Devices Inc.,RF MODULATR 400MHZ-1.25GHZ 40QFN,0,6750,"9.54451","0","750","Tape & Reel (TR)","-","Active","Modulator","750MHz ~ 1.15GHz","400MHz ~ 1.25GHz","10.3dB","-159.4dBm/Hz","2.1dBm","290mA","4.75V ~ 5.25V","1.1GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6701.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6701ACPZ-R7CT-ND,ADRF6701ACPZ-R7,Analog Devices Inc.,RF MODULATR 400MHZ-1.25GHZ 40QFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","Modulator","750MHz ~ 1.15GHz","400MHz ~ 1.25GHz","10.3dB","-159.4dBm/Hz","2.1dBm","290mA","4.75V ~ 5.25V","1.1GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6701.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6701ACPZ-R7DKR-ND,ADRF6701ACPZ-R7,Analog Devices Inc.,RF MODULATR 400MHZ-1.25GHZ 40QFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","Modulator","750MHz ~ 1.15GHz","400MHz ~ 1.25GHz","10.3dB","-159.4dBm/Hz","2.1dBm","290mA","4.75V ~ 5.25V","1.1GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6704.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6704ACPZ-R7TR-ND,ADRF6704ACPZ-R7,Analog Devices Inc.,RF MODULATOR 2.05GHZ-3GHZ 40QFN,0,6000,"9.54451","0","750","Tape & Reel (TR)","-","Active","Modulator","2.5GHz ~ 2.9GHz","2.05GHz ~ 3GHz","11.8dB","-157.5dBm/Hz","4.1dBm","276mA","4.75V ~ 5.25V","2.9GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6704.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6704ACPZ-R7CT-ND,ADRF6704ACPZ-R7,Analog Devices Inc.,RF MODULATOR 2.05GHZ-3GHZ 40QFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","Modulator","2.5GHz ~ 2.9GHz","2.05GHz ~ 3GHz","11.8dB","-157.5dBm/Hz","4.1dBm","276mA","4.75V ~ 5.25V","2.9GHz","40-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6704.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6704ACPZ-R7DKR-ND,ADRF6704ACPZ-R7,Analog Devices Inc.,RF MODULATOR 2.05GHZ-3GHZ 40QFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","Modulator","2.5GHz ~ 2.9GHz","2.05GHz ~ 3GHz","11.8dB","-157.5dBm/Hz","4.1dBm","276mA","4.75V ~ 5.25V","2.9GHz","40-VFQFN Exposed Pad, CSP"
https://datasheets.maximintegrated.com/en/ds/MAX2150.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0140;TI;28.jpg,MAX2150ETI+T-ND,MAX2150ETI+T,Maxim Integrated,RF MODULATOR 700MHZ-2.3GHZ 28QFN,0,12500,"10.81600","0","2500","Tape & Reel (TR)","-","Active","Modulator","700MHz ~ 2.3GHz","700MHz ~ 2.3GHz","1dBm","-148dBm/Hz","-1dBm","46mA","2.7V ~ 3.6V","1.75GHz","28-WFQFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf370417,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGE-24-VQFN%20Pkg.jpg,TRF370417IRGER-ND,TRF370417IRGER,Texas Instruments,RF MODULATOR 50MHZ-6GHZ 24VFQFN,0,3000,"11.16390","0","3000","Tape & Reel (TR)","-","Active","Modulator","50MHz ~ 6GHz","50MHz ~ 6GHz","12dBm","-162dBm/Hz","-","205mA","4.5V ~ 5.5V","2.14GHz","24-VFQFN Exposed Pad"
