Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency Bands (Low / High)","Low Band Attenuation (min / max dB)","High Band Attenuation (min / max dB)","Return Loss (Low Band / High Band)","Mounting Type","Package / Case"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx252690dt-5031a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX252690DT-5xxxx1.jpg,445-174203-6-ND,DPX252690DT-5031A1,TDK Corporation,RF DIPLEXER 829MHZ/2.2GHZ 0402,3240,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Diplexer","698MHz ~ 960MHz / 1.71GHz ~ 2.69GHz","12.00dB / 36.00dB","10.00dB / 48.00dB","20.0dB / 16.0dB","Surface Mount","0402 (1005 Metric), 8 PC Pad"
-,-,B39851B8030P810TR-ND,B39851B8030P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 9SMD NO LEAD,5000,0,"1.59600","0","5000","Tape & Reel (TR)","B8030","Active","Duplexer","791MHz ~ 821MHz / 832MHz ~ 862MHz","44.00dB / 46.00dB","39.00dB / 50.00dB","-","Surface Mount","9-SMD, No Lead"
-,-,B39851B8030P810CT-ND,B39851B8030P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 9SMD NO LEAD,5655,0,"5.26000","0","1","Cut Tape (CT)","B8030","Active","Duplexer","791MHz ~ 821MHz / 832MHz ~ 862MHz","44.00dB / 46.00dB","39.00dB / 50.00dB","-","Surface Mount","9-SMD, No Lead"
-,-,B39851B8030P810DKR-ND,B39851B8030P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 9SMD NO LEAD,5655,0,"Digi-Reel","0","1","Digi-Reel®","B8030","Active","Duplexer","791MHz ~ 821MHz / 832MHz ~ 862MHz","44.00dB / 46.00dB","39.00dB / 50.00dB","-","Surface Mount","9-SMD, No Lead"
https://en.rf360jv.com/inf/40/ds/is/B8035.pdf,-,B39771B8035P810TR-ND,B39771B8035P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 718MHZ/773MHZ 9SMD,1500,0,"2.39250","0","500","Tape & Reel (TR)","-","Active","Duplexer","703MHz ~ 733MHz / 758MHz ~ 788MHz","46.00dB / 50.00dB","37.00dB / 48.00dB","-","Surface Mount","9-SMD, No Lead"
https://en.rf360jv.com/inf/40/ds/is/B8035.pdf,-,B39771B8035P810CT-ND,B39771B8035P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 718MHZ/773MHZ 9SMD,2000,0,"5.26000","0","1","Cut Tape (CT)","-","Active","Duplexer","703MHz ~ 733MHz / 758MHz ~ 788MHz","46.00dB / 50.00dB","37.00dB / 48.00dB","-","Surface Mount","9-SMD, No Lead"
https://en.rf360jv.com/inf/40/ds/is/B8035.pdf,-,B39771B8035P810DKR-ND,B39771B8035P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 718MHZ/773MHZ 9SMD,2000,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Duplexer","703MHz ~ 733MHz / 758MHz ~ 788MHz","46.00dB / 50.00dB","37.00dB / 48.00dB","-","Surface Mount","9-SMD, No Lead"
https://en.rf360jv.com/inf/40/ds/is/B8018.pdf,-,B39182B8018P810TR-ND,B39182B8018P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 1.7475/1.8425GHZ SMD,1000,0,"2.39250","0","500","Tape & Reel (TR)","-","Active","Duplexer","1.71GHz ~ 1.785GHz / 1.805GHz ~ 1.88GHz","44.00dB / 47.00dB","46.00dB / 49.00dB","-","Surface Mount","9-SMD, No Lead"
https://en.rf360jv.com/inf/40/ds/is/B8018.pdf,-,B39182B8018P810CT-ND,B39182B8018P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 1.7475/1.8425GHZ SMD,1480,0,"5.26000","0","1","Cut Tape (CT)","-","Active","Duplexer","1.71GHz ~ 1.785GHz / 1.805GHz ~ 1.88GHz","44.00dB / 47.00dB","46.00dB / 49.00dB","-","Surface Mount","9-SMD, No Lead"
https://en.rf360jv.com/inf/40/ds/is/B8018.pdf,-,B39182B8018P810DKR-ND,B39182B8018P810,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),RF DUPLEXER 1.7475/1.8425GHZ SMD,1480,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Duplexer","1.71GHz ~ 1.785GHz / 1.805GHz ~ 1.88GHz","44.00dB / 47.00dB","46.00dB / 49.00dB","-","Surface Mount","9-SMD, No Lead"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8148a1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX165950DT-8148A1.jpg,445-174759-2-ND,DPX165950DT-8148A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,4000,0,"0.13300","0","4000","Tape & Reel (TR)","-","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","21.00dB / 36.00dB","10.00dB / 42.00dB","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8148a1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX165950DT-8148A1.jpg,445-174759-1-ND,DPX165950DT-8148A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,5223,0,"0.35000","0","1","Cut Tape (CT)","-","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","21.00dB / 36.00dB","10.00dB / 42.00dB","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8148a1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX165950DT-8148A1.jpg,445-174759-6-ND,DPX165950DT-8148A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,5223,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","21.00dB / 36.00dB","10.00dB / 42.00dB","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8045a1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX165950DT-8148A1.jpg,445-174762-2-ND,DPX165950DT-8045A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,4000,0,"0.13300","0","4000","Tape & Reel (TR)","-","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","28.00dB / 37.00dB","11.00dB / 36.00dB","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8045a1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX165950DT-8148A1.jpg,445-174762-1-ND,DPX165950DT-8045A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,6850,0,"0.35000","0","1","Cut Tape (CT)","-","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","28.00dB / 37.00dB","11.00dB / 36.00dB","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8045a1_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX165950DT-8148A1.jpg,445-174762-6-ND,DPX165950DT-8045A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,6850,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","28.00dB / 37.00dB","11.00dB / 36.00dB","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://www.yuden.co.jp/productdata/catalog/chipfilter01_e.pdf,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/FI212P.jpg,587-2660-2-ND,FI212P089208-T,Taiyo Yuden,RF DIPLEXER 892MHZ/1.94GHZ 2012,3000,0,"0.30400","0","3000","Tape & Reel (TR)","-","Active","Diplexer","824MHz ~ 960MHz / 1.71GHz ~ 2.17GHz","13.00dB / -","19.00dB / -","9.5dB / 9.5dB","Surface Mount","2012 (5030 Metric)"
https://www.yuden.co.jp/productdata/catalog/chipfilter01_e.pdf,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/FI212P.jpg,587-2660-1-ND,FI212P089208-T,Taiyo Yuden,RF DIPLEXER 892MHZ/1.94GHZ 2012,3302,0,"0.68000","0","1","Cut Tape (CT)","-","Active","Diplexer","824MHz ~ 960MHz / 1.71GHz ~ 2.17GHz","13.00dB / -","19.00dB / -","9.5dB / 9.5dB","Surface Mount","2012 (5030 Metric)"
https://www.yuden.co.jp/productdata/catalog/chipfilter01_e.pdf,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/FI212P.jpg,587-2660-6-ND,FI212P089208-T,Taiyo Yuden,RF DIPLEXER 892MHZ/1.94GHZ 2012,3302,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Diplexer","824MHz ~ 960MHz / 1.71GHz ~ 2.17GHz","13.00dB / -","19.00dB / -","9.5dB / 9.5dB","Surface Mount","2012 (5030 Metric)"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=FI168P245030-T &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0603-(1608-Metric).jpg,587-5645-2-ND,FI168P245030-T,Taiyo Yuden,RF DIPLEXER 1.584/5.425GHZ 0603,5000,0,"0.32250","0","5000","Tape & Reel (TR)","F6","Active","Diplexer","1.558GHz ~ 1.61GHz / 4.9GHz ~ 5.95GHz","26.00dB / -","32.00dB / -","-","Surface Mount","0603 (1608 Metric), 6 PC Pad"
