Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Insertion Loss","Frequency","Specifications","Size / Dimension","Package / Case"
http://cdn.macom.com/datasheets/MAPD-011007.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MAPD-011007.JPG,1465-1721-2-ND,MAPD-011007,M/A-Com Technology Solutions,RF PWR DIVIDER 5MHZ-2.15GHZ 6SMD,2000,0,"1.36038","0","2000","Tape & Reel (TR)","-","Active","1.5dB","5MHz ~ 2.15GHz","-","-","6-SMD, No Lead"
http://cdn.macom.com/datasheets/MAPD-011007.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MAPD-011007.JPG,1465-1721-1-ND,MAPD-011007,M/A-Com Technology Solutions,RF PWR DIVIDER 5MHZ-2.15GHZ 6SMD,2055,0,"2.84000","0","1","Cut Tape (CT)","-","Active","1.5dB","5MHz ~ 2.15GHz","-","-","6-SMD, No Lead"
http://cdn.macom.com/datasheets/MAPD-011007.pdf,//media.digikey.com/Photos/MACom%20Technology%20Solutions/MAPD-011007.JPG,1465-1721-6-ND,MAPD-011007,M/A-Com Technology Solutions,RF PWR DIVIDER 5MHZ-2.15GHZ 6SMD,2055,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","1.5dB","5MHz ~ 2.15GHz","-","-","6-SMD, No Lead"
http://www.susumu.co.jp/common/pdf/n_catalog_partition31_en.pdf,//media.digikey.com/Renders/Susumu%20Renders/PS3216.JPG,408-2051-2-ND,PS3216GT2-R50-T1,Susumu,RF POWER DIVIDER 0HZ-20GHZ 1206,6000,0,"2.61000","0","1000","Tape & Reel (TR)","PS","Active","6dB","0Hz ~ 20GHz","-","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","1206 (3216 Metric)"
http://www.susumu.co.jp/common/pdf/n_catalog_partition31_en.pdf,//media.digikey.com/Renders/Susumu%20Renders/PS3216.JPG,408-2051-1-ND,PS3216GT2-R50-T1,Susumu,RF POWER DIVIDER 0HZ-20GHZ 1206,6569,0,"5.41000","0","1","Cut Tape (CT)","PS","Active","6dB","0Hz ~ 20GHz","-","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","1206 (3216 Metric)"
http://www.susumu.co.jp/common/pdf/n_catalog_partition31_en.pdf,//media.digikey.com/Renders/Susumu%20Renders/PS3216.JPG,408-2051-6-ND,PS3216GT2-R50-T1,Susumu,RF POWER DIVIDER 0HZ-20GHZ 1206,6569,0,"Digi-Reel","0","1","Digi-Reel®","PS","Active","6dB","0Hz ~ 20GHz","-","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","1206 (3216 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Knowles%20Dielectric%20Labs%20PDFs/Power_Dividers_Br.pdf,-,1761-1072-ND,PDW06984,Knowles Dielectric Labs,RF POWER DVDR 25GHZ-32GHZ MODULE,149,0,"14.63000","0","1","Bulk","-","Active","0.25dB","25GHz ~ 32GHz","Isolation (Min) 14dB, 20dB Return Loss, 5° Imbalance (Max)","0.095"" L x 0.085"" W (2.41mm x 2.16mm)","Module"
https://nardamiteq.com/docs/138-POWERDIVIDERS.PDF,-,1949-1028-ND,4456-2,L3 Narda-MITEQ,RF PWR DIVIDER 2GHZ-18GHZ MODULE,35,0,"1299.20000","0","1","-","-","Active","1.2dB","2GHz ~ 18GHz","Isolation (Min) 20dB","1.750"" L x 1.000"" W x 0.375"" H (44.45mm x 25.40mm x 9.52mm)","Module"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD1722J5050S2HF/PD1722J5050S2HF_DataSheet(Rev_B).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1097-2-ND,PD1722J5050S2HF,Anaren,RF POWER DVDR 1.7GHZ-2.2GHZ 0805,4000,0,"0.36000","0","4000","Tape & Reel (TR)","Xinger®","Active","0.6dB","1.7GHz ~ 2.2GHz","Isolation (Min) 15dB, 3% Imbalance (Max)","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD1722J5050S2HF/PD1722J5050S2HF_DataSheet(Rev_B).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1097-1-ND,PD1722J5050S2HF,Anaren,RF POWER DVDR 1.7GHZ-2.2GHZ 0805,4737,0,"0.74000","0","1","Cut Tape (CT)","Xinger®","Active","0.6dB","1.7GHz ~ 2.2GHz","Isolation (Min) 15dB, 3% Imbalance (Max)","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
