Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Features","Package / Case","Supplier Device Package"
http://www.linear.com/docs/1663,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC1757A-1EMS8#PBF-ND,LTC1757A-1EMS8#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ SGL 8MSOP,0,0,"2.20780","0","350","Tube","-","Active","Cellular, GSM, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/1663,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC1757A-1EMS8#TRPBF-ND,LTC1757A-1EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ SGL 8MSOP,0,0,"2.23600","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/3632,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4402-2EMS#PBF-ND,LTC4402-2EMS#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2.4GHZ DL 10MSOP,0,0,"2.40730","0","300","Tube","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2.4GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/2003,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4403-2EMS#PBF-ND,LTC4403-2EMS#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2.4GHZ DL 10MSOP,0,0,"2.40730","0","300","Tube","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2.4GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/1663,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC1757A-2EMS#PBF-ND,LTC1757A-2EMS#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 10MSOP,0,0,"2.40730","0","300","Tube","-","Active","Cellular, GSM, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/2003,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4403-2EMS#TRPBF-ND,LTC4403-2EMS#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2.4GHZ DL 10MSOP,0,0,"2.41800","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2.4GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/1663,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC1757A-2EMS#TRPBF-ND,LTC1757A-2EMS#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 10MSOP,0,0,"2.41800","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/3632,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4402-2EMS#TRPBF-ND,LTC4402-2EMS#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2.4GHZ DL 10MSOP,0,0,"2.41800","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2.4GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
https://datasheets.maximintegrated.com/en/ds/DS1870.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/RU-16.jpg,DS1870E-010+T&R-ND,DS1870E-010+T&R,Maxim Integrated,IC RF PWR CNTRL PA 16TSSOP,0,0,"4.76550","0","1000","Tape & Reel (TR)","-","Active","Cellular","-","Dual Output","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8315.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-8-1;CP;8.jpg,AD8315ACPZ-REEL7TR-ND,AD8315ACPZ-REEL7,Analog Devices Inc.,IC RF PWR CNTRL PA 2.5GHZ 8LFCSP,0,0,"5.25200","0","3000","Tape & Reel (TR)","-","Active","GSM, EDGE","100MHz ~ 2.5GHz","-","8-VFDFN Exposed Pad, CSP","8-LFCSP-VD (3x2)"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8315.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-8-1;CP;8.jpg,AD8315ACPZ-REEL7CT-ND,AD8315ACPZ-REEL7,Analog Devices Inc.,IC RF PWR CNTRL PA 2.5GHZ 8LFCSP,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","GSM, EDGE","100MHz ~ 2.5GHz","-","8-VFDFN Exposed Pad, CSP","8-LFCSP-VD (3x2)"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8315.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-8-1;CP;8.jpg,AD8315ACPZ-REEL7DKR-ND,AD8315ACPZ-REEL7,Analog Devices Inc.,IC RF PWR CNTRL PA 2.5GHZ 8LFCSP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","GSM, EDGE","100MHz ~ 2.5GHz","-","8-VFDFN Exposed Pad, CSP","8-LFCSP-VD (3x2)"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8315.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8.jpg,AD8315ARMZ-RLTR-ND,AD8315ARMZ-RL,Analog Devices Inc.,IC RF PWR CNTRL PA 2.5GHZ 8MSOP,0,0,"5.48834","0","3000","Tape & Reel (TR)","-","Active","DCS, GSM, ISM","100MHz ~ 2.5GHz","-","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
