Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-5.00F-ND,MP9100-5.00-1%,Caddock Electronics Inc.,RES 5 OHM 100W 1% TO247,144,0,"13.14000","0","1","Tube","Kool-Pak®MP9000","Active","5 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-0.10F-ND,MP9100-0.10-1%,Caddock Electronics Inc.,RES 0.1 OHM 100W 1% TO247,460,0,"14.23000","0","1","Tube","Kool-Pak®MP9000","Active","100 mOhms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","0/ +200ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-0.50F-ND,MP9100-0.50-1%,Caddock Electronics Inc.,RES 0.5 OHM 100W 1% TO247,215,0,"14.23000","0","1","Tube","Kool-Pak®MP9000","Active","500 mOhms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-0.050F-ND,MP9100-0.050-1%,Caddock Electronics Inc.,RES 0.05 OHM 100W 1% TO247,3126,0,"14.95000","0","1","Tube","Kool-Pak®MP9000","Active","50 mOhms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","0/ +200ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0785-10KA-ND,Y078510K0000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 10K OHM 0.6W 0.01% RADIAL,1321,0,"15.66000","0","1","Bulk","S","Active","10 kOhms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±2ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0785-100A-ND,Y0785100R000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 100 OHM 0.6W 0.01% RADIAL,852,0,"15.66000","0","1","Bulk","S","Active","100 Ohms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±2ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0007-350-ND,Y0007350R000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 350 OHM 0.6W 0.01% RADIAL,752,0,"15.66000","0","1","Bulk","S","Active","350 Ohms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±2ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0785-1.0KA-ND,Y07851K00000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 1K OHM 0.6W 0.01% RADIAL,384,0,"15.66000","0","1","Bulk","S","Active","1 kOhms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±2ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0785-500A-ND,Y0785500R000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 500 OHM 0.6W 0.01% RADIAL,109,0,"15.66000","0","1","Bulk","S","Active","500 Ohms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±2ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.ohmite.com/assets/docs/res_supermox.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/MOX910%20SERIES.jpg,MOX91021004FVE-ND,MOX91021004FVE,Ohmite,RES 1M OHM 3.8W 1% AXIAL,947,0,"15.80000","0","1","Bulk","Super-Mox","Active","1 MOhms","±1%","3.8W","Metal Oxide Film","High Voltage, Moisture Resistant, Non-Inductive","±50ppm/°C","-55°C ~ 225°C","Axial","Axial","0.315"" Dia x 1.063"" L (8.00mm x 27.00mm)","-","2","-"
https://www.ohmite.com/assets/docs/res_minimox_200_300.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/MOX200001007FE.jpg,MOX200F-1000ME-ND,MOX200001007FE,Ohmite,RES 1G OHM 1/4W 1% AXIAL,461,0,"16.17000","0","1","Bulk","Mini-Mox","Active","1 GOhms","±1%","0.25W, 1/4W","Thick Film","High Voltage, Moisture Resistant","200ppm/°C","-55°C ~ 155°C","Axial","Axial","0.087"" Dia x 0.256"" L (2.20mm x 6.50mm)","-","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/TypeUSF.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/USF-19%20SERIES.JPG,USF340-500K-T-5PPM-ND,USF340-500K-0.01%-5PPM,Caddock Electronics Inc.,RES 500K OHM 1/3W 0.01% RADIAL,402,0,"16.78000","0","1","Bulk","USF","Active","500 kOhms","±0.01%","0.333W, 1/3W","Thick Film","-","±5ppm/°C","-40°C ~ 85°C","Radial","-","0.750"" L x 0.075"" W (19.05mm x 1.91mm)","0.395"" (10.04mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0062-10KA-ND,Y006210K0000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 10K OHM 0.6W 0.01% RADIAL,492,0,"17.04000","0","1","Bulk","S","Active","10 kOhms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±1ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.vishaypg.com/docs/63001/63001.pdf,//media.digikey.com/Photos/Vishay%20Photos/S%20SERIES.jpg,Y0062-100A-ND,Y0062100R000T9L,Vishay Foil Resistors (Division of Vishay Precision Group),RES 100 OHM 0.6W 0.01% RADIAL,237,0,"17.04000","0","1","Bulk","S","Active","100 Ohms","±0.01%","0.6W","Metal Foil","Moisture Resistant, Non-Inductive","±1ppm/°C","-55°C ~ 125°C","Radial","-","0.300"" L x 0.105"" W (7.62mm x 2.67mm)","0.336"" (8.53mm)","2","-"
http://www.ohmite.com/assets/docs/res_cs3.pdf?r=false,//media.digikey.com/photos/Ohmite%20Photos/CS3%20SERIES.JPG,CS3FR002E-ND,CS3FR002E,Ohmite,RES 0.002 OHM 3W 1% 4SIP,570,0,"17.28000","0","1","Bulk","CS3","Active","2 mOhms","±1%","3W","Metal Element","Current Sense, Moisture Resistant, Non-Inductive","±60ppm/°C","-55°C ~ 150°C","4-SIP","-","0.854"" L x 0.211"" W (21.70mm x 5.35mm)","0.654"" (16.60mm)","4","-"
http://www.ohmite.com/assets/docs/res_supermox.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/SUPER-MOX-Series.jpg,MOX92021006FVE-ND,MOX92021006FVE,Ohmite,RES 100M OHM 5W 1% AXIAL,589,0,"18.26000","0","1","Bulk","Super-Mox","Active","100 MOhms","±1%","5W","Metal Oxide Film","High Voltage, Moisture Resistant, Non-Inductive","±50ppm/°C","-55°C ~ 225°C","Axial","Axial","0.315"" Dia x 1.457"" L (8.00mm x 37.00mm)","-","2","-"
