Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Temperature Coefficient","Operating Temperature","Features","Coating, Housing Type","Mounting Feature","Size / Dimension","Height - Seated (Max)","Lead Style","Package / Case","Failure Rate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1630012&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1630012-2.JPG,A102110-ND,HSC15010RJ,TE Connectivity Passive Product,RES CHAS MNT 10 OHM 5% 150W,518,0,"15.99000","0","1","Bulk","HS, CGS","Active","10 Ohms","±5%","150W","Wirewound","±50ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","3.858"" L x 1.870"" W (98.00mm x 47.50mm)","1.024"" (26.00mm)","Solder Lugs","Axial, Box","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1630012&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1630012-2.JPG,A103833-ND,HSC15022RJ,TE Connectivity Passive Product,RES CHAS MNT 22 OHM 5% 150W,473,0,"15.99000","0","1","Bulk","HS, CGS","Active","22 Ohms","±5%","150W","Wirewound","±50ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","3.858"" L x 1.870"" W (98.00mm x 47.50mm)","1.024"" (26.00mm)","Solder Lugs","Axial, Box","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1630012&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1630012-2.JPG,A102371-ND,HSC1502R2J,TE Connectivity Passive Product,RES CHAS MNT 2.2 OHM 5% 150W,248,0,"15.99000","0","1","Bulk","HS, CGS","Active","2.2 Ohms","±5%","150W","Wirewound","±50ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","3.858"" L x 1.870"" W (98.00mm x 47.50mm)","1.024"" (26.00mm)","Solder Lugs","Axial, Box","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1630012&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1630012-2.JPG,A102370-ND,HSC150100RJ,TE Connectivity Passive Product,RES CHAS MNT 100 OHM 5% 150W,184,0,"15.99000","0","1","Bulk","HS, CGS","Active","100 Ohms","±5%","150W","Wirewound","±50ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","3.858"" L x 1.870"" W (98.00mm x 47.50mm)","1.024"" (26.00mm)","Solder Lugs","Axial, Box","-"
http://www.ohmite.com/assets/docs/res_250.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/STOCKOHM-88.jpg,F55J100E-ND,F55J100E,Ohmite,RES CHAS MNT 100 OHM 5% 55W,298,0,"17.36000","0","1","Bulk","Stackohm® 250","Active","100 Ohms","±5%","55W","Wirewound","±260ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Flange Braces, Right Angle","3.500"" L x 1.000"" W (88.90mm x 25.40mm)","0.563"" (14.29mm)","Solder Lugs","Radial, Flat Oval","-"
http://www.vishay.com/docs/31842/fve.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/FVE-300%20SERIES.jpg,FVE300-20-ND,FVE030020E20R0KE,Vishay Huntington Electric Inc.,RES CHAS MNT 20 OHM 10% 300W,352,0,"18.38000","0","1","Bulk","FVE","Active","20 Ohms","±10%","300W","Wirewound","±260ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Brackets (not included)","1.125"" Dia x 8.500"" L (28.58mm x 215.90mm)","-","Solder Lugs","Radial, Tubular","-"
http://www.vishay.com/docs/31842/fve.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/FVE-300%20SERIES.jpg,FVE300-8.0-ND,FVE030020E8R00KE,Vishay Huntington Electric Inc.,RES CHAS MNT 8 OHM 10% 300W,247,0,"18.38000","0","1","Bulk","FVE","Active","8 Ohms","±10%","300W","Wirewound","±400ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Brackets (not included)","1.125"" Dia x 8.500"" L (28.58mm x 215.90mm)","-","Solder Lugs","Radial, Tubular","-"
http://www.vishay.com/docs/31842/fve.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/FVE-300%20SERIES.jpg,FVE300-2.0-ND,FVE030020E2R00KE,Vishay Huntington Electric Inc.,RES CHAS MNT 2 OHM 10% 300W,184,0,"18.38000","0","1","Bulk","FVE","Active","2 Ohms","±10%","300W","Wirewound","±400ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Brackets (not included)","1.125"" Dia x 8.500"" L (28.58mm x 215.90mm)","-","Solder Lugs","Radial, Tubular","-"
http://www.vishay.com/docs/31838/fvt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/FVT%20SERIES.jpg,FVT200-250-ND,FVT20020E250R0JE,Vishay Huntington Electric Inc.,RES CHAS MNT 250 OHM 5% 225W,190,0,"20.24000","0","1","Bulk","FVT","Active","250 Ohms","±5%","225W","Wirewound","±260ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Brackets (not included)","1.125"" Dia x 10.500"" L (28.58mm x 266.70mm)","-","Solder Lugs","Radial, Tubular","-"
http://www.vishay.com/docs/31838/fvt.pdf,//media.digikey.com/photos/Huntington%20Electric%20Photos/FVT%20SERIES.jpg,FVT200-100-ND,FVT20020E100R0JE,Vishay Huntington Electric Inc.,RES CHAS MNT 100 OHM 5% 225W,149,0,"20.24000","0","1","Bulk","FVT","Active","100 Ohms","±5%","225W","Wirewound","±260ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Brackets (not included)","1.125"" Dia x 10.500"" L (28.58mm x 266.70mm)","-","Solder Lugs","Radial, Tubular","-"
