Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Applications","Composition","Resistance","Tolerance","Power (Watts)","Temperature Coefficient","Operating Temperature","Mounting Type"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOF0000/AOF0000C4.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P270CLCT-ND,ERA-W27J271X,Panasonic Electronic Components,RES TEMP SENS 270 OHM 5% 1/32W,1000,0,"0.42000","0","1","Cut Tape (CT)","ERAW","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","270 Ohms","±5%","0.03W, 1/32W","2700ppm/°C","-40°C ~ 125°C","Surface Mount"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOF0000/AOF0000C4.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P270CLDKR-ND,ERA-W27J271X,Panasonic Electronic Components,RES TEMP SENS 270 OHM 5% 1/32W,1000,0,"Digi-Reel","0","1","Digi-Reel®","ERAW","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","270 Ohms","±5%","0.03W, 1/32W","2700ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P8.2KCBTR-ND,ERA-S15J822V,Panasonic Electronic Components,RES TEMP SENS 8.2K OHM 5% 1/10W,0,0,"Obsolete","0","5000","Tape & Reel (TR)","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","8.2 kOhms","±5%","0.1W, 1/10W","1500ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P8.2KCBCT-ND,ERA-S15J822V,Panasonic Electronic Components,RES TEMP SENS 8.2K OHM 5% 1/10W,685,0,"0.42000","0","1","Cut Tape (CT)","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","8.2 kOhms","±5%","0.1W, 1/10W","1500ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P8.2KCBDKR-ND,ERA-S15J822V,Panasonic Electronic Components,RES TEMP SENS 8.2K OHM 5% 1/10W,685,0,"Digi-Reel","0","1","Digi-Reel®","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","8.2 kOhms","±5%","0.1W, 1/10W","1500ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/photos/Panasonic%20Photos/10-0603%20Resistor.jpg,P12CJTR-ND,ERA-V39J120V,Panasonic Electronic Components,RES TEMP SENS 12 OHM 5% 1/16W,0,0,"Obsolete","0","5000","Tape & Reel (TR)","ERAV","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","12 Ohms","±5%","0.063W, 1/16W","3900ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/photos/Panasonic%20Photos/10-0603%20Resistor.jpg,P12CJCT-ND,ERA-V39J120V,Panasonic Electronic Components,RES TEMP SENS 12 OHM 5% 1/16W,635,0,"0.42000","0","1","Cut Tape (CT)","ERAV","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","12 Ohms","±5%","0.063W, 1/16W","3900ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/photos/Panasonic%20Photos/10-0603%20Resistor.jpg,P12CJDKR-ND,ERA-V39J120V,Panasonic Electronic Components,RES TEMP SENS 12 OHM 5% 1/16W,635,0,"Digi-Reel","0","1","Digi-Reel®","ERAV","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","12 Ohms","±5%","0.063W, 1/16W","3900ppm/°C","-40°C ~ 125°C","Surface Mount"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOF0000/AOF0000C4.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P100CMTR-ND,ERA-W33J101X,Panasonic Electronic Components,RES TEMP SENS 100 OHM 5% 1/32W,0,0,"Obsolete","0","10000","Tape & Reel (TR)","ERAW","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","100 Ohms","±5%","0.03W, 1/32W","3300ppm/°C","-40°C ~ 125°C","Surface Mount"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOF0000/AOF0000C4.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P100CMCT-ND,ERA-W33J101X,Panasonic Electronic Components,RES TEMP SENS 100 OHM 5% 1/32W,632,0,"0.42000","0","1","Cut Tape (CT)","ERAW","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","100 Ohms","±5%","0.03W, 1/32W","3300ppm/°C","-40°C ~ 125°C","Surface Mount"
https://industrial.panasonic.com/cdbs/www-data/pdf/AOF0000/AOF0000C4.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERAW%20Series%200402%20Pkg.jpg,P100CMDKR-ND,ERA-W33J101X,Panasonic Electronic Components,RES TEMP SENS 100 OHM 5% 1/32W,632,0,"Digi-Reel","0","1","Digi-Reel®","ERAW","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","100 Ohms","±5%","0.03W, 1/32W","3300ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/photos/Panasonic%20Photos/10-0603%20Resistor.jpg,P56CGTR-ND,ERA-V27J560V,Panasonic Electronic Components,RES TEMP SENS 56 OHM 5% 1/16W,0,0,"Obsolete","0","5000","Tape & Reel (TR)","ERAV","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","56 Ohms","±5%","0.063W, 1/16W","2700ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/photos/Panasonic%20Photos/10-0603%20Resistor.jpg,P56CGCT-ND,ERA-V27J560V,Panasonic Electronic Components,RES TEMP SENS 56 OHM 5% 1/16W,607,0,"0.42000","0","1","Cut Tape (CT)","ERAV","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","56 Ohms","±5%","0.063W, 1/16W","2700ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/photos/Panasonic%20Photos/10-0603%20Resistor.jpg,P56CGDKR-ND,ERA-V27J560V,Panasonic Electronic Components,RES TEMP SENS 56 OHM 5% 1/16W,607,0,"Digi-Reel","0","1","Digi-Reel®","ERAV","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","56 Ohms","±5%","0.063W, 1/16W","2700ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P27CBTR-ND,ERA-S15J270V,Panasonic Electronic Components,RES TEMP SENS 27 OHM 5% 1/10W,0,0,"Obsolete","0","5000","Tape & Reel (TR)","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","27 Ohms","±5%","0.1W, 1/10W","1500ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P27CBCT-ND,ERA-S15J270V,Panasonic Electronic Components,RES TEMP SENS 27 OHM 5% 1/10W,560,0,"0.42000","0","1","Cut Tape (CT)","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","27 Ohms","±5%","0.1W, 1/10W","1500ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P27CBDKR-ND,ERA-S15J270V,Panasonic Electronic Components,RES TEMP SENS 27 OHM 5% 1/10W,560,0,"Digi-Reel","0","1","Digi-Reel®","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","27 Ohms","±5%","0.1W, 1/10W","1500ppm/°C","-40°C ~ 125°C","Surface Mount"
"//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA-W,V,S_Series_Rev_Nov_2016.pdf",//media.digikey.com/Renders/Panasonic%20Renders/ERAS%20Series%200805%20Pkg.jpg,P82CDTR-ND,ERA-S33J820V,Panasonic Electronic Components,RES TEMP SENS 82 OHM 5% 1/10W,0,0,"Obsolete","0","5000","Tape & Reel (TR)","ERAS","Obsolete","Temperature Sensitive","Temperature Correction Circuits","Metal Film","82 Ohms","±5%","0.1W, 1/10W","3300ppm/°C","-40°C ~ 125°C","Surface Mount"
