Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Temperature Coefficient","Number of Turns","Adjustment Type","Resistive Material","Mounting Type","Termination Style","Size / Dimension"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/22.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_22AR.jpg,987-1003-6-ND,22AR100KLFTR,TT Electronics/BI,TRIMMER 100K OHM 0.125W J LEAD,12130,0,"Digi-Reel","0","1","Digi-Reel®","22","Active","100 kOhms","0.125W, 1/8W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.138"" x 0.126"" Face x 0.087"" H (3.51mm x 3.20mm x 2.21mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/22.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_22AR.jpg,987-1004-2-ND,22AR10KLFTR,TT Electronics/BI,TRIMMER 10KOHM 0.125W J LEAD TOP,9000,0,"0.68450","0","1000","Tape & Reel (TR)","22","Active","10 kOhms","0.125W, 1/8W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.138"" x 0.126"" Face x 0.087"" H (3.51mm x 3.20mm x 2.21mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/22.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_22AR.jpg,987-1004-1-ND,22AR10KLFTR,TT Electronics/BI,TRIMMER 10KOHM 0.125W J LEAD TOP,9239,0,"1.38000","0","1","Cut Tape (CT)","22","Active","10 kOhms","0.125W, 1/8W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.138"" x 0.126"" Face x 0.087"" H (3.51mm x 3.20mm x 2.21mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/22.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_22AR.jpg,987-1004-6-ND,22AR10KLFTR,TT Electronics/BI,TRIMMER 10KOHM 0.125W J LEAD TOP,9239,0,"Digi-Reel","0","1","Digi-Reel®","22","Active","10 kOhms","0.125W, 1/8W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.138"" x 0.126"" Face x 0.087"" H (3.51mm x 3.20mm x 2.21mm)"
https://www.bourns.com/docs/Product-Datasheets/3361.pdf,//media.digikey.com/photos/Bourns%20Photos/3361P%20SERIES.jpg,3361P-103GLFTR-ND,3361P-1-103GLF,Bourns Inc.,TRIMMER 10K OHM 0.5W GW TOP ADJ,5250,0,"0.70300","0","750","Tape & Reel (TR)","Trimpot® 3361 - Sealed","Active","10 kOhms","0.5W, 1/2W","±10%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.277"" x 0.264"" Face x 0.205"" H (7.04mm x 6.71mm x 5.21mm)"
https://www.bourns.com/docs/Product-Datasheets/3361.pdf,//media.digikey.com/photos/Bourns%20Photos/3361P%20SERIES.jpg,3361P-103GLFCT-ND,3361P-1-103GLF,Bourns Inc.,TRIMMER 10K OHM 0.5W GW TOP ADJ,5814,0,"1.38000","0","1","Cut Tape (CT)","Trimpot® 3361 - Sealed","Active","10 kOhms","0.5W, 1/2W","±10%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.277"" x 0.264"" Face x 0.205"" H (7.04mm x 6.71mm x 5.21mm)"
https://www.bourns.com/docs/Product-Datasheets/3361.pdf,//media.digikey.com/photos/Bourns%20Photos/3361P%20SERIES.jpg,3361P-103GLFDKR-ND,3361P-1-103GLF,Bourns Inc.,TRIMMER 10K OHM 0.5W GW TOP ADJ,5814,0,"Digi-Reel","0","1","Digi-Reel®","Trimpot® 3361 - Sealed","Active","10 kOhms","0.5W, 1/2W","±10%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Square - 0.277"" x 0.264"" Face x 0.205"" H (7.04mm x 6.71mm x 5.21mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA103TR-ND,ST4ETA103,Nidec Copal Electronics,TRIMMER 10K OHM 0.25W J LEAD TOP,14000,0,"0.74970","0","500","Tape & Reel (TR)","ST4","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA103CT-ND,ST4ETA103,Nidec Copal Electronics,TRIMMER 10K OHM 0.25W J LEAD TOP,14187,0,"1.40000","0","1","Cut Tape (CT)","ST4","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,//media.digikey.com/photos/Copal%20Photos/ST4ETA%20SERIES.jpg,ST4ETA103DKR-ND,ST4ETA103,Nidec Copal Electronics,TRIMMER 10K OHM 0.25W J LEAD TOP,14187,0,"Digi-Reel","0","1","Digi-Reel®","ST4","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Square - 0.197"" L x 0.177"" W x 0.091"" H (5.00mm x 4.50mm x 2.30mm)"
