Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Number of Turns","Adjustment Type","Size / Dimension","Termination","Mounting Type"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-105LF-ND,3352W-1-105LF,Bourns Inc.,POT 1.0M OHM THUMBWHEEL CERM ST,456,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 MOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-502LF-ND,3352E-1-502LF,Bourns Inc.,POT 5.0K OHM THUMBWHEEL CERM ST,404,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","5 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-204LF-ND,3352T-1-204LF,Bourns Inc.,POT 200K OHM THUMBWHEEL CERM ST,393,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","200 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352H%20SERIES.jpg,3352H-102LF-ND,3352H-1-102LF,Bourns Inc.,POT 1.0K OHM THUMBWHEEL CERM ST,392,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.350"" H (8.89mm x 8.89mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/Photos/Bourns%20Photos/3352V-1-103LF.JPG,3352V-1-103LF-ND,3352V-1-103LF,Bourns Inc.,POT 10K OHM THUMBWHEEL CERM ST,357,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-102LF-ND,3352E-1-102LF,Bourns Inc.,THUMBWHEEL POT 1K 0.5W TOP ADJ,347,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-201LF-ND,3352W-1-201LF,Bourns Inc.,POT 200 OHM THUMBWHEEL CERM ST,330,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","200 Ohms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-203LF-ND,3352E-1-203LF,Bourns Inc.,POT 20K OHM THUMBWHEEL CERM ST,250,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","20 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-504LF-ND,3352W-1-504LF,Bourns Inc.,POT 500K OHM THUMBWHEEL CERM ST,233,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","500 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-501LF-ND,3352E-1-501LF,Bourns Inc.,POT 500 OHM THUMBWHEEL CERM ST,172,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","500 Ohms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
