Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shaft Size","Number of Turns"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb799de4bb23fd59c447/1471396738983/400_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/461.jpg,461KL-ND,461,Kilo International,DIAL SCALE 10 TURN CONCENTRIC,38,0,"37.04000","0","1","400","Active","0.250"" (6.35mm)","10"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bbbd9de4bb23fd59c6cb/1471396798013/600_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/662.JPG,662KL-ND,662,Kilo International,DIAL SCALE 1TURN UNCALIBRTD ALUM,63,0,"40.23000","0","1","600","Active","0.250"" (6.35mm)","1"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2640.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/2647.JPG,987-1658-ND,2647,TT Electronics/BI,20 TURN COUNTING DIAL,30,0,"19.15000","0","1","2640","Active","0.250"" (6.35mm)","20"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb9f9de4bb23fd59c5c9/1471396767723/500_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/561.jpg,561KL-ND,561,Kilo International,DIAL SCALE 1TURN CALIBRATED ALUM,61,0,"32.94000","0","1","500","Active","0.250"" (6.35mm)","1"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2694.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_2694_2696.jpg,987-1001-ND,2694,TT Electronics/BI,DIAL 7/8"" 10 TURN 6MM SHAFT,4,0,"8.87000","0","1","2694","Active","0.236"" (6.00mm)","10"
https://www.bourns.com/docs/Product-Datasheets/H22.pdf,"//media.digikey.com/photos/Bourns%20Photos/H-22-6A,%20H-22-6M,%20H-22-3A.jpg",H-22-6M-ND,H-22-6M,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,16,0,"12.28000","0","1","H-22","Active","0.236"" (6.00mm)","15"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2640.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/2646.JPG,987-1654-ND,2646,TT Electronics/BI,20 TURN COUNTING DIAL,2,0,"19.15000","0","1","2640","Active","0.250"" (6.35mm)","20"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2600.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/2607.jpg,987-1486-ND,2607,TT Electronics/BI,DIAL-7/8"" 20-TURN 1/4"" SHAFT,18,0,"24.19000","0","1","2600","Active","0.250"" (6.35mm)","20"
https://www.bourns.com/docs/Product-Datasheets/H23.pdf,"//media.digikey.com/photos/Bourns%20Photos/H-23-6A,%20H-23-6M.jpg",H-23-6M-ND,H-23-6M,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,21,0,"12.28000","0","1","H-23","Active","0.236"" (6.00mm)","15"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Turn%20Counting%20Dials/Datasheets/2600.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/2606S.jpg,987-1487-ND,2606S,TT Electronics/BI,DIAL-7/8"" 15-TURN 1/4"" SHAFT,7,0,"24.19000","0","1","2600","Active","0.250"" (6.35mm)","15"
