Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Camera Type","Magnification Range","Field of View","Working Distance","Illumination","Display Style"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-620.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-620.jpg,243-1112-ND,26700-620,Aven Tools,VIDEO INSPECTION SYSTEM,0,0,"Obsolete","0","1","E-Z","Obsolete","-","-","-","-","LED","2.5"" LCD"
http://www.avenconnect.com/product_sheets/26700-102-35.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-102-35.jpg,26700-102-35-ND,26700-102-35,Aven Tools,VIDEO INSPECT SYST CMOS 39X-263X,0,0,"Obsolete","0","1","Micro Zoom","Obsolete","CMOS 2MP","39x ~ 263x","-","3.23"" (82.0mm)","LED","22"" Color HD LCD"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-103-20.jpg,26700-103-20-ND,26700-103-20,Aven Tools,VIDEO INSP SYST CMOS 3.7X-61.9X,0,0,"Obsolete","0","1","Macro Zoom","Obsolete","CMOS 2MP","3.7x ~ 61.9x","0.48"" ~ 11.18"" (12.26mm ~ 284.00mm)","4.64"" ~ 11.18"" (117.8mm ~ 284.0mm)","LED","22"" HD LCD"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-104-00.jpg,26700-104-00-ND,26700-104-00,Aven Tools,VIDEO INSPECT SYST CCD 10X-15X,0,0,"Obsolete","0","1","Macro View","Obsolete","CCD 1/4""","10x ~ 15x","-","5.71"" (145.0mm)","LED","10"" LCD"
-,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-107-15.jpg,26700-107-15-ND,26700-107-15,Aven Tools,VIDEO INSP SYST CMOS 3.5X-35.5X,0,0,"Obsolete","0","1","Macro Vue","Obsolete","CMOS, 2MP","3.5x ~ 35.5x","-","-","LED","10"" LCD"
-,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-107-10.jpg,243-1252-ND,26700-107-10,Aven Tools,VIDEO INSP SYST CMOS 3.5X-35.5X,0,0,"Obsolete","0","1","Macro Vue","Obsolete","CMOS, 2MP","3.5x ~ 35.5x","-","-","LED","10"" LCD"
http://www.avenconnect.com/product_sheets/Mighty%20Cam%20Auto%20data%20sheet.pdf,//media.digikey.com/photos/Aven%20Photos/MFG_26100-257SD.jpg,243-1546-ND,26100-257SD,Aven Tools,VIDEO INSPECTION SYSTEM CMOS,0,0,"Obsolete","0","1","Mighty Cam","Obsolete","CMOS 1/2.8""","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-400-556.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-400-556.jpg,243-1568-ND,26700-400-556,Aven Tools,MICROSCOPE ULTRA-GLIDE ARM STAND,0,0,"Obsolete","0","1","Cyclops","Obsolete","CMOS 1/4""","-","-","-","LED (30)","22"" HD LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-257SD-556.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-257SD-556.jpg,243-1569-ND,26700-257SD-556,Aven Tools,MIGHTY CAM ULTRA-GLIDE ARM STAND,0,0,"Obsolete","0","1","Mighty Cam","Obsolete","CMOS 1/2.8""","6x ~ 18x","-","6.00"" (152.40mm)","LED (2)","22"" HD LCD"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-401-556.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-401-556.jpg,243-1570-ND,26700-401-556,Aven Tools,MICROSCOPE ULTRA-GLIDE ARM STAND,0,0,"Obsolete","0","1","Cyclops","Obsolete","CMOS 1/3""","-","-","-","LED (30)","22"" HD LCD"
