Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Arm Length","Base Size"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-213.jpg,243-1480-ND,26700-213,Aven Tools,MIGHTY SCOPE CRADLE STAND 3"",4,0,"27.40000","0","1","Mighty Scope","Active","Stand","3.0"" (76.2mm)","3.72"" x 3.71"" (94.49mm x 94.34mm)"
http://www.avenconnect.com/product_sheets/26700-200-PLR.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-211.jpg,243-1479-ND,26700-211,Aven Tools,MIGHTY SCOPE REPLACMT STAND 6.2"",5,0,"33.32000","0","1","Mighty Scope","Active","Stand","6.2"" (158.0mm)","7.87"" x 7.87"" (200.00mm x 200.00mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-312.jpg,243-1481-ND,26700-312,Aven Tools,ARTICULATING ARM 7.1"",0,0,"52.01000","0","1","-","Active","Arm, Articulating","7.1"" (180.0mm)","4.33"" x 4.72"" (110.00mm x 120.00mm)"
http://www.avenconnect.com/product_sheets/26509-STN.pdf,//media.digikey.com/Photos/Aven%20Photos/26509-STN.jpg,243-1421-ND,26509-STN,Aven Tools,FLOOR STAND 30"",2,0,"69.76000","0","1","-","Active","Stand, Floor","30.0"" (762.0mm)","24.00"" Dia (609.60mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-517.jpg,243-1487-ND,26800B-517,Aven Tools,FOCUS MOUNT FOR DSZ/SPZ/NSW SRS,1,0,"197.36000","0","1","-","Active","Mount, Focus","-","-"
-,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051383699.jpg,T0051383699N-ND,T0051383699N,Apex Tool Group,STAND FOCUS MOUNT,0,0,"312.00000","0","1","Weller®","Active","Stand, Focus Mount","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-534.jpg,243-1427-ND,26800B-534,Aven Tools,DUAL ARM BOOM STAND 15""H 15.1""V,1,0,"329.61000","0","1","-","Active","Stand, Dual Arm Boom","15.0"" (380.0mm) Horizontal, 15.1"" (384.0mm) Vertical","11.22"" x 10.24"" (285.00mm x 260.00mm)"
-,-,MIRS-04-ND,MIRS-04,Omron Automation and Safety,FLOOR STAND 48"",0,0,"497.25000","0","1","-","Active","Stand, Floor","48.0"" (1219.2mm)","8.00"" x 8.00"" (203.20mm x 203.20mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-512.jpg,243-1486-ND,26800B-512,Aven Tools,STAND FOCUS MOUNT 9.8"",1,0,"501.77000","0","1","-","Active","Stand, Focus Mount","9.8"" (250.0mm)","8.66"" x 11.18"" (220.00mm x 284.00mm)"
-,-,MIRS-07-ND,MIRS-07,Omron Automation and Safety,FLOOR STAND 84"",0,0,"673.20000","0","1","-","Active","Stand, Floor","84.0"" (2133.6mm)","8.00"" x 8.00"" (203.20mm x 203.20mm)"
-,-,MIRS-08-ND,MIRS-08,Omron Automation and Safety,FLOOR STAND 96"",0,0,"696.15000","0","1","-","Active","Stand, Floor","96.0"" (2438.4mm)","8.00"" x 8.00"" (203.20mm x 203.20mm)"
-,-,MIRS-06-ND,MIRS-06,Omron Automation and Safety,FLOOR STAND 72"",0,0,"765.00000","0","1","-","Active","Stand, Floor","72.0"" (1828.8mm)","8.00"" x 8.00"" (203.20mm x 203.20mm)"
