Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Magnification Range","Field of View","Working Distance","Illumination","Camera Type","Interface"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=T0051383599N,//media.digikey.com/Photos/Apex%20Tool%20Photos/MFG_T0051383599.jpg,T0051383599N-ND,T0051383599N,Apex Tool Group,MICROSCOPE DGTL 20X-90X W/LIGHT,0,0,"1040.00000","0","1","Weller®","Active","Microscope, Digital","20x ~ 90x","-","1.77"" ~ 11.81"" (45mm ~ 300mm)","LED, White (8)","1.3MP","USB"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-302.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-302.jpg,243-1049-ND,26800B-302,Aven Tools,MICRO STEREO ZM 10X-44X W/LIGHT,1,0,"1338.89000","0","1","DSZ-44PF","Active","Microscope, Stereo Zoom (Binocular)","10x ~ 44x","0.91"" ~ 0.20"" (23.00mm ~ 5.20mm)","3.54"" (90.0mm)","LED, White (60)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/Cyclops_Macro.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-420.jpg,243-1350-ND,26700-420,Aven Tools,MICROSCOPE DGTL 3X-43X W/LIGHT,1,0,"1363.51000","0","1","Cyclops Macro","Active","Microscope, Digital","3x ~ 43x","0.43"" ~ 5.59"" (11.00mm ~ 142.00mm)","0.78"" ~ 11.81"" (20mm ~ 300mm)","LED, Adjustable","CMOS, 2MP","HDMI"
http://www.avenconnect.com/product_sheets/26800B-351.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-351.jpg,243-1483-ND,26800B-351,Aven Tools,MICRO STEREO ZM 20X-135X W/LIGHT,1,0,"1609.07000","0","1","-","Active","Microscope, Stereo Zoom (Binocular)","20x ~ 135x","-","3.30"" (84.00mm)","LED","-","-"
http://www.avenconnect.com/product_sheets/26800B-369.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-369.jpg,243-1155-ND,26800B-369,Aven Tools,MICRO STEREO ZM 6.7X-50X W/LIGHT,1,0,"1788.50000","0","1","SPZ-50","Active","Microscope, Stereo Zoom (Binocular)","6.7x ~ 50x","-","-","LED, White (60)","-","-"
http://www.avenconnect.com/product_sheets/ESD_Safe_SPZV-50E.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-376-ESD.jpg,243-1390-ND,26800B-376-ESD,Aven Tools,MICRO STEREO ZM 6.7X-50X W/LIGHT,1,0,"2252.26000","0","1","-","Active","Microscope, Stereo Zoom (Trinocular)","6.7x ~ 50x","1.40"" ~ 0.14"" (34.30mm x 3.60mm)","4.25"" (108.0mm)","LED, White (60)","-","-"
-,-,IF-370050-ND,IF-370050,Industrial Fiberoptics,MICROSCOPE PRTBL NON-ILLUM,0,0,"99.23000","0","1","-","Active","Microscope, Portable","-","-","-","-","-","-"
http://www.avenconnect.com/product_sheets/26700-200-PLR.pdf,//media.digikey.com/Photos/Aven%20Photos/26700-200-PLR.jpg,26700-200-PLR-ND,26700-200-PLR,Aven Tools,MICROSCOPE DGTL 10X-200X W/LIGHT,0,0,"272.91000","0","1","Mighty Scope","Active","Microscope, Digital","10x ~ 50x, 200x","-","0.33"" ~ 4.41"" (8.50mm ~ 112.00mm)","LED, White (6) Adjustable","CMOS 1/4""","USB"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/DSZ-44.pdf,//media.digikey.com/Photos/Aven%20Photos/DSZ-44.jpg,DSZ-44-ND,DSZ-44,Aven Tools,MICRO STEREO ZM 10X-44X W/LIGHT,0,0,"855.04000","0","1","DSZ-44","Active","Microscope, Stereo Zoom (Binocular)","10x ~ 44x","0.91"" ~ 0.20"" (23.00mm ~ 5.20mm)","3.54"" (90.0mm)","User Choice","User Choice","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/DSZ-70.pdf,//media.digikey.com/Photos/Aven%20Photos/DSZ-70.jpg,DSZ-70-ND,DSZ-70,Aven Tools,MICRO STEREO ZM 20X-70X W/LIGHT,0,0,"861.05000","0","1","DSZ-70","Active","Microscope, Stereo Zoom (Binocular)","20x ~ 70x","0.39"" ~ 0.11"" (10.00mm ~ 2.80mm)","3.15"" (80.0mm)","User Choice","User Choice","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/SPZ-50.pdf,//media.digikey.com/Photos/Aven%20Photos/SPZ-50.jpg,SPZ-50-ND,SPZ-50,Aven Tools,MICRO STEREO ZM 6.7X-50X W/LIGHT,0,0,"1023.63000","0","1","SPZ-50","Active","Microscope, Stereo Zoom (Binocular)","6.7x ~ 50x","1.35"" ~ 0.14"" (34.30mm ~ 3.60mm)","4.25"" (108.0mm)","User Choice","User Choice","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/SPZH-135.jpg,SPZH-135-ND,SPZH-135,Aven Tools,MICRO STEREO ZM 21X-135X NON-ILL,0,0,"1145.34000","0","1","SPZH-135","Active","Microscope, Stereo Zoom (Binocular)","21x ~ 135x","-","3.30"" (84.00mm)","-","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/SPZHT-135.jpg,SPZHT-135-ND,SPZHT-135,Aven Tools,MICRO STEREO ZM 21X-135X NON-ILL,0,0,"1434.21000","0","1","SPZHT-135","Active","Microscope, Stereo Zoom (Trinocular)","21x ~ 135x","-","3.30"" (84.00mm)","-","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/DSZV-44.jpg,DSZV-44-ND,DSZV-44,Aven Tools,MICRO STEREO ZM 10X-44X NON-ILL,0,0,"1465.23000","0","1","DSZV-44","Active","Microscope, Stereo Zoom (Trinocular)","10x ~ 44x","0.91"" ~ 0.20"" (23.00mm ~ 5.20mm)","3.54"" (90.0mm)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/Microscope_Selection_Guide.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_SPZV-50.jpg,SPZV-50-ND,SPZV-50,Aven Tools,MICRO STEREO ZM 6.7X-50X NON-ILL,0,0,"1575.61000","0","1","-","Active","Microscope, Stereo Zoom (Trinocular)","6.7x ~ 50x","1.35"" ~ 0.14"" (34.30mm ~ 3.60mm)","4.25"" (108.0mm)","-","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-344.jpg,26800B-344-ND,26800B-344,Aven Tools,MICRO STEREO ZM 20X-70X W/LIGHT,0,0,"1983.52000","0","1","DSZ-70","Active","Microscope, Stereo Zoom (Binocular)","20x ~ 70x","0.39"" ~ 0.11"" (10.00mm ~ 2.80mm)","3.15"" (80.0mm)","LED","-","-"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-323.jpg,26800B-323-ND,26800B-323,Aven Tools,MICRO STEREO ZM 10X-44X W/LIGHT,0,0,"2241.05000","0","1","DSZV-44","Active","Microscope, Stereo Zoom (Trinocular)","10x ~ 44x","0.91"" ~ 0.20"" (23.00mm ~ 5.20mm)","3.54"" (90.0mm)","LED, White (60)","CMOS 1/2.5""","-"
http://www.avenconnect.com/product_sheets/26800B-352.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-352.jpg,26800B-352-ND,26800B-352,Aven Tools,MICRO STEREO ZM 21X-135X W/LIGHT,0,0,"2443.30000","0","1","-","Active","Microscope, Stereo Zoom (Binocular)","21x ~ 135x","-","3.30"" (84.00mm)","LED","-","-"
