Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cable Length"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26200B-216.jpg,243-1488-ND,26200B-216,Aven Tools,LED RING LIGHT 1.97"" ID,2,0,"155.59000","0","1","-","Active","LED Ring Light, 1.97"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26200A-523.pdf,//media.digikey.com/Photos/Aven%20Photos/26200A-523.jpg,243-1477-ND,26200A-523,Aven Tools,FIBER OPTIC GOOSENECK LIGHTS,2,0,"212.50000","0","1","-","Active","Fiber Optic Gooseneck Lights","18.0"" (46cm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26200A-402.pdf,//media.digikey.com/Photos/Aven%20Photos/26200A-402.jpg,243-1498-ND,26200A-402,Aven Tools,FIBER OPTIC RING LIGHT 2.31"" ID,2,0,"281.25000","0","1","-","Active","Fiber Optic Ring Light, 2.31"" ID","36.0"" (91cm)"
http://www.avenconnect.com/product_sheets/26200B-217.pdf,//media.digikey.com/Photos/Aven%20Photos/26200B-217.jpg,243-1489-ND,26200B-217,Aven Tools,LED RING LIGHT 2.63"" ID,2,0,"540.86000","0","1","PRO Series","Active","LED Ring Light, 2.63"" ID","-"
-,-,243-1588-ND,26200B-223,Aven Tools,OLED RING LIGHT FOR MICROSCOPES,4,0,"631.00000","0","1","-","Active","LED Ring Light","-"
http://www.avenconnect.com/product_sheets/26200B-221%20Task%20Light%20data%20sheet.pdf,//media.digikey.com/photos/Aven%20Photos/26200B-221.jpg,243-1327-ND,26200B-221,Aven Tools,LED ILLUMINATOR GOOSENECK LIGHTS,1,0,"200.00000","0","1","-","Active","LED Illuminator, Double Gooseneck Lights","23.4"" (59cm)"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_FL1000.JPG,1844-1081-ND,FL1000,O.C. White Co.,FLUORESCENT RING LIGHT 2.36"" ID,1,0,"199.00000","0","1","Micro-Lite®","Active","Fluorescent Ring Light, 2.36"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_FV1000.JPG,1844-1082-ND,FV1000,O.C. White Co.,FLUORESCENT RING LIGHT 2.36"" ID,1,0,"299.00000","0","1","Micro-Lite®","Active","Fluorescent Ring Light, 2.36"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_LV3500.JPG,1844-1077-ND,LV3500,O.C. White Co.,LED RING LIGHT 2.35"" ID,1,0,"349.00000","0","1","Micro-Lite®","Active","LED Ring Light, 2.35"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_LV3500-B.JPG,1844-1078-ND,LV3500-B,O.C. White Co.,LED RING LIGHT 2.35"" ID,1,0,"349.00000","0","1","Micro-Lite®","Active","LED Ring Light, 2.35"" ID","-"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/30-16-50-000.JPG,1601-1346-ND,30-16-50-000,Excelitas Technologies,OBJECTIVE RINGLIGHT 40,1,0,"509.60000","0","1","Optem®","Active","Fiber Optic Ring Light","40.0"" (102cm)"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/29-60-81-000.JPG,1601-1338-ND,29-60-81-000,Excelitas Technologies,FIBER OPTIC RINGLIGHT,1,0,"546.00000","0","1","Optem®","Active","Fiber Optic Ring Light","-"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/Industrial_Catalog.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_FL3000-D.JPG,1844-1063-ND,FL3000-D,O.C. White Co.,FIBER OPTIC DBL GOOSENECK LIGHTS,1,0,"649.00000","0","1","Micro-Lite®","Active","Fiber Optic Illuminator, Double Gooseneck Lights","-"
http://www.qioptiq.com/download/2017_09_Optem%20FUSION%20SpecGde_w%20Mini%20Tubes_Fetura%20Plus_ED5_FINAL-WEB-opt.pdf,//media.digikey.com/Renders/Excelitas%20Technologies/35-07-41-000-part-2.jpg,1601-1387-ND,35-07-41-000,Excelitas Technologies,LED RINGLIGHT,1,0,"877.50000","0","1","Optem®","Active","LED Ring Light","29.5"" (75cm)"
http://www.avenconnect.com/product_sheets/Ring_Light_Polarizer.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26200B-222.jpg,243-1391-ND,26200B-222,Aven Tools,LED RING LIGHT 2.44"" ID,1,0,"412.53000","0","1","-","Active","LED Ring Light, 2.44"" ID","-"
//media.digikey.com/pdf/Data%20Sheets/Excelitas%20PDFs/OTFI-0290-13_B.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_OTFI-0290.jpg,OTFI-0290-ND,OTFI-0290,Excelitas Technologies,FIBER OPTIC ILLUMINATOR,0,0,"671.65000","0","4","XLM","Active","Fiber Optic Illuminator","-"
//media.digikey.com/pdf/Data%20Sheets/Excelitas%20PDFs/OTFI-0295-13_B.pdf,//media.digikey.com/Photos/Excelitas%20Cermax/MFG_OTFI-0295.jpg,OTFI-0295-ND,OTFI-0295,Excelitas Technologies,FIBER OPTIC ILLUMINATOR,0,0,"1197.00000","0","4","XLM+","Active","Fiber Optic Illuminator","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26200A-403.pdf,//media.digikey.com/Photos/Aven%20Photos/26200A-403.jpg,26200A-403-ND,26200A-403,Aven Tools,FIBER OPTIC RING LIGHT 1.125"" ID,0,0,"403.39000","0","1","-","Active","Fiber Optic Ring Light, 1.125"" ID","36.0"" (91cm)"
