Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Magnification Range"
-,-,502969-1-ND,502969-1,TE Connectivity AMP Connectors,EYEPIECE 10X,0,0,"Obsolete","0","1","-","Obsolete","Eyepiece","10x"
-,-,502969-2-ND,502969-2,TE Connectivity AMP Connectors,EYEPIECE 20X,0,0,"Obsolete","0","1","-","Obsolete","Eyepiece","20x"
-,-,502969-3-ND,502969-3,TE Connectivity AMP Connectors,EYEPIECE 10X - 20X,0,0,"Obsolete","0","1","-","Obsolete","Eyepiece","10x ~ 20x"
-,-,13FM04T-ND,13FM04T,Panasonic Industrial Automation Sales,FOCAL LENGTH 4 MM LOW RESOLUTION,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,13FM28T-ND,13FM28T,Panasonic Industrial Automation Sales,FOCAL LENGTH 2 MM LOW RESOLUTION,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM08-ND,23FM08,Panasonic Industrial Automation Sales,FOCAL LENGTH 8MM,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM08L-ND,23FM08L,Panasonic Industrial Automation Sales,FOCAL LENGTH 8MM W/LOCKS,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM16-ND,23FM16,Panasonic Industrial Automation Sales,FOCAL LENGTH 16MM,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM16L-ND,23FM16L,Panasonic Industrial Automation Sales,FOCAL LENGTH 16MM W/LOCKS,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM25-ND,23FM25,Panasonic Industrial Automation Sales,FOCAL LENGTH 25MM,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM25L-ND,23FM25L,Panasonic Industrial Automation Sales,FOCAL LENGTH 25MM W/LOCKS,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM50-ND,23FM50,Panasonic Industrial Automation Sales,FOCAL LENGTH 50MM,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM50L-ND,23FM50L,Panasonic Industrial Automation Sales,FOCAL LENGTH 50MM W/LOCKS,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,23FM65-ND,23FM65,Panasonic Industrial Automation Sales,FOCAL LENGTH 6.5MM,0,0,"Obsolete","0","1","-","Obsolete","-","-"
-,-,34248-ND,34248,Luxo,LENS FOR 17845LG LAMP 3.55MM DIA,0,0,"Obsolete","0","1","-","Obsolete","Lens","-"
//media.digikey.com/pdf/Data%20Sheets/Luxo/Magnification_Prod_Lines.pdf,//media.digikey.com/photos/Luxo%20Photos/50201.jpg,L50201-ND,50201,Luxo,LENS 1X,0,0,"Obsolete","0","1","-","Obsolete","Lens","1x"
-,//media.digikey.com/photos/Luxo%20Photos/50202.jpg,L50202-ND,50202,Luxo,LENS 2X,0,0,"Obsolete","0","1","-","Obsolete","Lens","2x"
//media.digikey.com/pdf/Data%20Sheets/Luxo/Magnification_Prod_Lines.pdf,//media.digikey.com/photos/Luxo%20Photos/50206.jpg,L50206-ND,50206,Luxo,LENS 2.5X,0,0,"Obsolete","0","1","-","Obsolete","Lens","2.5x"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/Aven2007Catalog.pdf,-,26700-501-10-ND,26700-501-10,Aven Tools,LENS 10X - 60X,0,0,"Obsolete","0","1","iLoupe","Obsolete","Lens","10x ~ 60x"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/Aven2007Catalog.pdf,-,26700-501-30-ND,26700-501-30,Aven Tools,LENS 30X - 150X,0,0,"Obsolete","0","1","iLoupe","Obsolete","Lens","30x ~ 150x"
//media.digikey.com/PDF/Data%20Sheets/Aven%20PDFs/Aven2007Catalog.pdf,-,26700-501-20-ND,26700-501-20,Aven Tools,LENS 20X - 100X,0,0,"Obsolete","0","1","iLoupe","Obsolete","Lens","20x ~ 100x"
