Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Clothing Type","Size","Material","Color","Features"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73612.JPG,16-1243-ND,73614,Desco,ESD LAB COAT W/CUFFS BLUE XL,23,0,"60.50000","0","1","Statshield®","Active","Smock, Lab Coat Length with Cuffs","XLarge","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73612.JPG,16-1239-ND,73613,Desco,ESD LAB COAT W/CUFFS BLUE L,19,0,"60.50000","0","1","Statshield®","Active","Smock, Lab Coat Length with Cuffs","Large","Polyester","Blue","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Dual-Wire-Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_77010x.jpg,SCP748-ND,770104,SCS,SMOCK JACKET DUAL WIRE BLUE XL,6,0,"86.67000","0","1","7701","Active","Smock, Jacket Length with Cuffs","XLarge","Polyester","Blue","Conductive Fabric on Cuff, MagSnap® on Hip, Static Dissipative"
http://documents.staticcontrol.com/PDF/Dual-Wire-Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_77010x.jpg,SCP746-ND,770102,SCS,SMOCK JACKET DUAL WIRE BLUE M,5,0,"86.67000","0","1","7701","Active","Smock, Jacket Length with Cuffs","Medium","Polyester","Blue","Conductive Fabric on Cuff, MagSnap® on Hip, Static Dissipative"
http://documents.staticcontrol.com/PDF/Dual-Wire-Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/MFG_77010x.jpg,SCP747-ND,770103,SCS,SMOCK JACKET DUAL WIRE BLUE L,4,0,"86.67000","0","1","7701","Active","Smock, Jacket Length with Cuffs","Large","Polyester","Blue","Conductive Fabric on Cuff, MagSnap® on Hip, Static Dissipative"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770023.JPG,SCP584-ND,770023,SCS,SMOCK JACKET W/CUFFS GRAY LARGE,18,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","Large","Polyester","Gray","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770012.jpg,SCP578-ND,770012,SCS,SMOCK JACKET W/CUFFS BLUE MED,14,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","Medium","Polyester","Blue","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770023.JPG,SCP583-ND,770022,SCS,SMOCK JACKET W/CUFFS GRAY MED,12,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","Medium","Polyester","Gray","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770023.JPG,SCP585-ND,770024,SCS,SMOCK JACKET W/CUFFS GRAY XL,12,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","XLarge","Polyester","Gray","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770023.JPG,SCP582-ND,770021,SCS,SMOCK JACKET W/CUFFS GRAY SMALL,8,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","Small","Polyester","Gray","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.staticcontrol.com/PDF/Smocks-User-Guide.pdf,//media.digikey.com/Photos/SCS/770012.jpg,SCP579-ND,770013,SCS,SMOCK JACKET W/CUFFS BLUE LARGE,7,0,"35.28000","0","1","7700","Active","Smock, Jacket Length with Cuffs","Large","Polyester","Blue","4mm Snap Stud on Hip, Additional Grounding Required, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73832.JPG,16-1281-ND,73832,Desco,ESD JACKET W/CUFFS WHITE M,14,0,"54.87000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","Medium","Polyester","White","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73832.JPG,16-1251-ND,73833,Desco,ESD JACKET W/CUFFS WHITE L,10,0,"54.87000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","Large","Polyester","White","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/TB-2055.PDF,//media.digikey.com/Photos/Desco%20Photos/73832.JPG,16-1261-ND,73835,Desco,ESD JACKET W/CUFFS WHITE 2XL,8,0,"59.33000","0","1","Statshield®","Active","Smock, Jacket Length with Cuffs","2XLarge","Polyester","White","4mm Snap Stud on Hip, Conductive Fabric on Cuff"
http://documents.desco.com/PDF/68124.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_68124.jpg,16-1562-ND,68124,Desco,GLOVES ESD INSPECTION X-S,46,0,"7.78000","0","1","-","Active","Gloves, Non Gendered - Dissipative","XSmall","Yarn","Orange","Static Dissipative"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Latex.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/70LA-x.JPG,ST1111-ND,70LA-L,ACL Staticide Inc,FINGER COTS PINK LRG 720/PK,14,0,"19.50000","0","1","-","Active","Finger Cots","Large","Latex","Pink","-"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Latex.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/70LA-x.JPG,ST1109-ND,70LA-S,ACL Staticide Inc,FINGER COTS PINK SM 720/PK,11,0,"19.50000","0","1","-","Active","Finger Cots","Small","Latex","Pink","-"
//media.digikey.com/pdf/Data%20Sheets/ACL%20PDFs/Finger_Cots_Latex.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/70LA-x.JPG,ST1112-ND,70LA-XL,ACL Staticide Inc,FINGER COTS PINK XL 720/PK,8,0,"19.50000","0","1","-","Active","Finger Cots","XLarge","Latex","Pink","-"
https://www.aclstaticide.com/datasheets/Gloves%20Nitrile_TDS_18.pdf,-,ST1180-ND,GL9NI-M,ACL Staticide Inc,GLOVES NITRILE PWDR-FREE MED 9"",8,0,"27.50000","0","1","Staticide®","Active","Gloves, Non Gendered - Dissipative","Medium","Nitrile Rubber","-","Chemical Resistant, Latex Free"
