Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cleaner, Treatment Type","Usage","Specifications","Quantity"
http://www.mgchemicals.com/downloads/tds/tds-824-l.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/824-WX500.JPG,473-1151-ND,824-WX500,MG Chemicals,WIPES PRE-SAT ELECTRONICS 500PCS,2,0,"198.32000","0","1","Box of Individual Packets","-","Active","Wipes, Wet","Electronic Equipment","General Purpose","1 (500 ea 6"" L x 5"" W)"
https://www.chemtronics.com/content/msds/TDS_ES1664T.pdf,//media.digikey.com/Photos/Chemtronics/MFG_ES1664T.jpg,ES1664T-ND,ES1664T,Chemtronics,CLEANR ANTISTATIC MAT SURF 16 OZ,10,0,"23.80000","0","1","Bottle, Spray","Static Free™","Active","Cleaner, Antistatic","Mats, Surfaces","CFC/HCFC Free, Low VOC, Nonabrasive, Safe On Most Plastics","16 Ounce"
http://www.aclstaticide.com/pdf/ACL-Staticide-Static-Control-Brochure-2014.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_LF50.jpg,ST1016-ND,LF50,ACL Staticide Inc,CLEANING WIPES LINT FREE 50PCS,17,0,"36.00000","0","1","Bag","Staticide®","Active","Wipes, Dry","Multiple Surfaces","Anti-Static, General Purpose, Lint Free, Plastic Safe","12 (50 ea 12"" L x 13"" W)"
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/7348LE.pdf,//media.digikey.com/photos/ITW%20Chemtronics%20Photos/7348le.JPG,7348LE-ND,7348LE,Chemtronics,CHAMOIS CLEANROOM 8X8"" 50PC,22,0,"203.80000","0","1","Bag","Coventry™ Cleanroom Chamois™","Active","Wipes, Dry","Moisture Absorption","Class 100 Packaged, Low Lint, Low VOC","2 (25 ea 8"" L x 8"" W)"
https://www.techspray.com/Content/msds/23592365_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2364-50.jpg,1873-1122-ND,2364-50,Techspray,TECHCLEAN 12 X 12 BLUE WIPE,28,0,"9.62000","0","1","-","-","Active","Wipes, Dry","Moisture Absorption","General Purpose","50 (12"" L x 12"" W)"
https://www.mgchemicals.com/downloads/tds/tds-8241-175.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_8241-175.jpg,473-8241-175-ND,8241-175,MG Chemicals,WIPES IPA 70/30PRESAT SOFT PAK,18,0,"22.39000","0","1","-","-","Active","Wipes, Wet","Cleaning, Dust Removal","Plastic Safe","175 (8"" x 7"")"
-,//media.digikey.com/photos/MG%20Chemicals%20Photos/MFG_824-WX50.jpg,473-1400-ND,824-WX50,MG Chemicals,99.9% ISOPROPYL ALCOHOL WIPE,86,0,"26.13000","0","1","-","-","Active","Wipes, Wet","Electronic Equipment","General Purpose","50 (6"" L x 5"" W)"
http://www.aclstaticide.com/datasheets/4010TDS_1011.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_4010-1.jpg,ST1153-ND,4010-1,ACL Staticide Inc,ACRYLIC STRIPPER GAL,9,0,"28.50000","0","1","Bottle","Staticide®","Active","Solvent","Floors","Biodegradable, Low VOC","1 Gallon"
https://www.techspray.com/Content/msds/2357100_eng_usa_tds.pdf,//media.digikey.com/Photos/Techspray/MFG_2357-100.jpg,1873-1119-ND,2357-100,Techspray,"TECHCLEAN TWILLWIPE, 100% COTTON",27,0,"33.59000","0","1","-","-","Active","Wipes, Dry","Moisture Absorption","Anti-Static, Nonabrasive","100 (6"" L x 6"" W)"
http://documents.desco.com/PDF/TB-7062.pdf,-,16-1584-ND,10447,Desco,SURFACE & MAT CLEANER 4/PK,6,0,"44.15000","0","1","Bottle, Spray","Reztore®","Active","Cleaner","Mats, Surfaces","Alcohol Free","16 Ounce"
