Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip - Material","Handle - Material","Features","Handle - Length","Quantity"
https://www.techspray.com/Content/msds/23111000_eng_usa_tds.pdf,-,2311-1000-ND,2311-1000,Techspray,MICRO FOAM SWAB,0,0,"257.90000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","2.25"" (57.2mm)","1000"
https://www.chemtronics.com/content/msds/TDS_COVESDswabs.pdf,-,36060ESD-ND,36060ESD,Chemtronics,SWAB SGL HEAD POLY KNIT 2500PC,0,0,"275.10000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Knit","Plastic","Abrasion Resistant, Dissipative, Low Linting, Sealed Head","5.80"" (147.3mm)","2500"
https://www.chemtronics.com/content/msds/TDS_COV3000.pdf,-,36850-ND,36850,Chemtronics,SWAB SGL HEAD POLY KNIT 2500PC,0,0,"280.58000","0","5","Coventry™","Active","Swab, Single Head","Polyester, Knit","Polypropylene","Abrasion Resistant, Low Linting, Sealed Head","5.80"" (147.3mm)","2500"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_813.jpg,813-1000MG-ND,813-1000,MG Chemicals,SWAB FOAM SINGLE ENDED 1000PCS,0,0,"312.00000","0","1","-","Active","Swab, Single Head","Foam","Birch","Shred Resistant","6.00"" (152.4mm)","1000"
https://www.techspray.com/content/msds/TS-2302_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2302-50.jpg,2302-1000-ND,2302-1000,Techspray,ABSORB-TIP FOAM SWAB,0,0,"318.66000","0","1","-","Active","Swab, Single Head","Foam, Cotton","Polypropylene","Wrapped Head","5.13"" (130.2mm)","1000"
https://www.techspray.com/content/msds/TS-2303_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2303-50.jpg,2303-1000-ND,2303-1000,Techspray,ABSORB-TIP FOAM SWAB,0,0,"318.86000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","5.38"" (136.5mm)","1000"
https://www.techspray.com/content/msds/TS-2306_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2306-50.jpg,1873-1115-ND,2306-1000,Techspray,SUPER-TIP FOAM SWAB 1=1000,0,0,"322.84000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","5.00"" (127.0mm)","1000"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,-,812-1000-ND,812-1000,MG Chemicals,SWAB FOAM OVR CTN SGL END 1000PC,0,0,"336.00000","0","1","-","Active","Swab, Single Head","Foam, Cotton","Birch","Shred Resistant","6.00"" (152.4mm)","1000"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/Swabs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/810D-50.jpg,810D-500-ND,810D-500,MG Chemicals,SWAB CHAMOIS DOUBLE ENDED 500PCS,0,0,"353.60000","0","1","-","Active","Swab, Double Head","Synthetic Chamois","-","Lint Free","3.00"" (76.2mm)","500"
https://www.techspray.com/Content/msds/2309_eng_usa_tds.pdf,-,2309-1000-ND,2309-1000,Techspray,FOAM ARROW TIP SWAB,0,0,"354.52000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","2.75"" (69.9mm)","1000"
https://www.mgchemicals.com/downloads/catalogs/Elec%20Maint%20catalog%20Web.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_814.jpg,814-1000-ND,814-1000,MG Chemicals,SWAB FOAM RECTANGLE HEAD 1000PCS,0,0,"390.00000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Shred Resistant","5.00"" (127.0mm)","1000"
//media.digikey.com/pdf/Data%20Sheets/MG%20Chemicals%20PDFs/811-100.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_812AS.jpg,473-1186-ND,812AS-1000,MG Chemicals,SWAB ANTISTATIC FOAM OVER COTTON,0,0,"424.40000","0","1","-","Active","Swab, Single Head","Foam, Cotton","Birch","Antistatic, Shred Resistant","6.00"" (152.4mm)","1000"
https://www.techspray.com/Content/msds/23162317_eng_usa_tds.pdf,-,2316-1000-ND,2316-1000,Techspray,1.25MM FIBER OPTIC SWAB,0,0,"569.92000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","5.75"" (146.0mm)","1000"
https://www.techspray.com/content/msds/TS-2307_ENG_TDS.pdf,//media.digikey.com/Photos/Techspray/MFG_2307-50.jpg,2307-1000-ND,2307-1000,Techspray,MINI-TIP FOAM SWAB,0,0,"607.30000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","3.66"" (93.3mm)","1000"
https://www.techspray.com/Content/msds/23162317_eng_usa_tds.pdf,-,2317-1000-ND,2317-1000,Techspray,2.5MM FIBER OPTIC SWAB,0,0,"680.94000","0","1","-","Active","Swab, Single Head","Foam","Polypropylene","Sealed Head","5.75"" (146.0mm)","1000"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW3PF.jpg,EB1141-ND,SW3PF-10,MENDA/EasyBraid,SWAB 3"" FOAM TIP 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Low Linting","3.00"" (76.2mm)","10"
-,//media.digikey.com/Photos/Easy%20Braid%20Photos/MFG_SW5PFA.jpg,EB1144-ND,SW5PFA-10,MENDA/EasyBraid,SWAB 5"" SELF SAT FOAM TIP 10/PKG,0,0,"Obsolete","0","1","-","Obsolete","Swab, Single Head","Foam","-","Pre-Moistened (Isopropyl Alcohol)","5.00"" (127.0mm)","10"
