Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Mat Type","Shape","Length","Width","Thickness","Color","Material","Number of Layers","Features"
http://documents.desco.com/PDF/pm-112.pdf,//media.digikey.com/renders/Desco%20Renders/Gray.jpg,42519-ND,42519,Desco,TABLE MAT VINYL GRAY 50'X3',0,0,"1070.91000","0","1","Statfree Z2™","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","3' (0.91m)","0.13"" (3.30mm)","Gray","Vinyl","3","Dissipative"
https://www.descoindustries.com/PDF/Premium-Quality-Vinyl-Table-Mat.pdf,//media.digikey.com/Photos/SCS/MFG_TM241200L3BL.jpg,TM241200L3BL-ND,TM241200L3BL,SCS,ROLL VINYL ESD 3LAYER 2'X100',0,0,"1113.64000","0","1","-","Active","Table, Workbench Runner","Rectangle","100' (30.48m)","2' (0.61m)","0.13"" (3.30mm)","Blue","Vinyl","3","Dissipative"
http://documents.desco.com/PDF/pm-104.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_66080.jpg,66085-ND,66085,Desco,TABLE MAT RUBBER GRAY 40'X3',0,0,"1125.47000","0","1","Statfree T2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","3' (0.91m)","0.06"" (1.52mm)","Gray, Dark","Rubber","2","Conductive, Dissipative"
http://documents.desco.com/PDF/pm-104.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_66081.jpg,66086-ND,66086,Desco,MAT RUBBER DRK BLUE 36""X40',0,0,"1125.47000","0","1","Statfree T2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","3' (0.91m)","0.06"" (1.52mm)","Blue, Dark","Rubber","2","Conductive, Dissipative"
http://documents.desco.com/PDF/pm-107.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_40938.jpg,40938-ND,40938,Desco,FLOOR RUNNER RUBBER BLACK 20'X3',0,0,"1133.49000","0","1","Statfree i™","Active","Floor Runner","Rectangle","20' (6.1m)","3' (0.91m)","0.5"" (12.7mm)","Black","Rubber","1","Anti Fatigue, Conductive"
http://documents.desco.com/PDF/tb-2000.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_66160.jpg,66163-ND,66163,Desco,B2 2-LYR DK BL VNL RLL .060''X48,0,0,"1147.89000","0","1","Statfree B2™","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","4' (1.22m)","0.06"" (1.52mm)","Blue, Dark","Vinyl","2","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,-,SCP681-ND,8273,SCS,TBL WRKBNCH RUN RUB VINYL 50'X3',0,0,"1156.51000","0","1","8200","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","3' (0.91m)","0.14"" (3.56mm)","Gray","Foam Rubber, Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/pdf/8200-Series_Dissipative-Three-Layer-Vinyl-Mat.pdf,-,SCP682-ND,8274,SCS,TBL WRKBNCH RUN RUB VINYL 50'X3',0,0,"1156.51000","0","1","8200","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","3' (0.91m)","0.14"" (3.56mm)","Blue","Foam Rubber, Vinyl","3","Conductive, Dissipative"
http://documents.staticcontrol.com/PDF/8200-Series-Dissipative-Three-Layer-Vinyl-Mat.pdf,-,8271SCS-ND,8271,SCS,TABLE RUN RUB VINYL BROWN 50'X3',0,0,"1156.51000","0","1","8200","Active","Table, Workbench Runner","Rectangle","50' (15.24m)","3' (0.91m)","0.14"" (3.56mm)","Brown","Foam Rubber, Vinyl","3","Conductive, Dissipative"
http://documents.desco.com/PDF/PM-116.pdf,//media.digikey.com/renders/Desco%20Renders/Blue.jpg,65001-ND,65001,Desco,MAT VINYL BLUE 30""X60',1,0,"1168.06000","0","1","Statfree O™","Active","Table, Workbench Runner","Rectangle","60' (18.29m)","2.5' (0.76m)","0.38"" (9.65mm)","Blue","Vinyl","3","Anti Fatigue, Dissipative"
http://documents.desco.com/PDF/PM-131.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_66320.jpg,66320-ND,66320,Desco,TABLE RUNNR RUBBER BLUE 40'X2.5',0,0,"1206.16000","0","1","STATFREE UC2™","Active","Table, Workbench Runner","Rectangle","40' (12.19m)","2.5' (0.76m)","0.08"" (2.03mm)","Blue","Rubber","2","Conductive, Dissipative"
