Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Metal Layer","Static Discharge Shielding","Closure System","Thickness","Length - Inside","Width - Inside","Tensile Strength","Color"
http://documents.staticcontrol.com/pdf/Dri-Shield-3000-Moisture-Barrier-Bag.pdf,//media.digikey.com/Photos/SCS/MFG_D3000-SERIES.jpg,SCP471-ND,D301020,SCS,BAG STATIC/MOISTURE 10X20"" 1=1EA,2734,0,"1.04000","0","1","Dri-Shield 3000","Active","Moisture Barrier Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","6.0 mil (152.4 microns)","20"" (508mm)","10"" (254mm)","3800 psi","Silver"
http://documents.staticcontrol.com/PDF/Dri-Shield-2000-Moisture-Barrier-Bag.pdf,//media.digikey.com/Photos/3M%20Photos/700812.JPG,SCP345-ND,7001824,SCS,BAG STATIC/MOISTURE 18X24"" 1=1EA,4220,0,"1.62000","0","1","Dri-Shield 2000","Active","Moisture Barrier Bag","Dual Layer","<10nJ","User Defined - Clips, Heat Seal, Tape","3.6 mil (91.44 microns)","24"" (609.6mm)","18"" (457.2mm)","7800 psi","Silver"
http://documents.staticcontrol.com/pdf/2120R_Cushioned_Shielding_Bag.pdf,//media.digikey.com/Photos/3M%20Photos/2120R-Series.jpg,SCP272-ND,21287,SCS,ESD SHIELD BAG 8X7"" CUSH 1=1EA,690,0,"2.74000","0","1","2120R","Active","Static Shielding Bag (Cushioned)","Out","<25nJ","User Defined - Clips, Heat Seal, Tape","125.0 mil (3175 microns)","7"" (177.8mm)","8"" (203.2mm)","6469 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/SCS/MFG_10023.jpg,SCP379-ND,10023,SCS,BAG 2X3"" STATIC SHIELD 1=1EA,17773,0,"0.10000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","3"" (76.2mm)","2"" (50.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/10057.JPG,SCP390-ND,10057,SCS,BAG 5X7"" STATIC SHIELD 1=1EA,13216,0,"0.10000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","7"" (177.8mm)","5"" (127mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/10024.JPG,SCP467-ND,10024,SCS,BAG STATIC METAL-IN 2X4"" 1=1EA,11044,0,"0.10000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","4"" (101.6mm)","2"" (50.8mm)","4600 psi","Silver"
http://documents.desco.com/PDF/13405.pdf,//media.digikey.com/photos/Desco%20Photos/134XX%20SERIES.jpg,16-1027-ND,13405,Desco,BAG ESD SHIELD 3""X5"" METAL-IN,6494,0,"0.10000","0","1","Statshield®","Active","Static Shielding Bag","In","<25nJ","User Defined - Clips, Heat Seal, Tape","3.0 mil (76.2 microns)","5"" (127mm)","3"" (76.2mm)","-","Silver"
http://documents.desco.com/PDF/13405.pdf,//media.digikey.com/photos/Desco%20Photos/134XX%20SERIES.jpg,16-1028-ND,13415,Desco,BAG ESD SHIELD 4""X6"" METAL-IN,6255,0,"0.10000","0","1","Statshield®","Active","Static Shielding Bag","In","<25nJ","User Defined - Clips, Heat Seal, Tape","3.0 mil (76.2 microns)","6"" (152.4mm)","4"" (101.6mm)","-","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/10048.JPG,SCP352-ND,10048,SCS,BAG 4X8"" STATIC SHIELD 1=1EA,5242,0,"0.10000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","8"" (203.2mm)","4"" (101.6mm)","4600 psi","Silver"
http://documents.desco.com/PDF/49100.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_491xx.jpg,16-1552-ND,49100,Desco,BAG PINK POLY 4MIL 2X3 NO ZIP,3512,0,"0.10000","0","1","-","Active","Static Dissipative Bag","None","-","User Defined - Clips, Heat Seal, Tape","4.0 mil (101.6 microns)","3"" (76.2mm)","2"" (50.8mm)","-","Pink"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/10026.JPG,SCP362-ND,10026,SCS,BAG 2X6"" STATIC SHIELD 1=1EA,2023,0,"0.10000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","6"" (152.4mm)","2"" (50.8mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/10044.JPG,SCP413-ND,10044,SCS,BAG 4X4"" STATIC SHIELD 1=1EA,1171,0,"0.10000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","4"" (101.6mm)","4"" (101.6mm)","4600 psi","Silver"
http://documents.desco.com/PDF/13605.pdf,//media.digikey.com/photos/Desco%20Photos/136XX%20SERIES.jpg,16-1032-ND,13605,Desco,BAG ESD SHLD 3""X5"" METAL-IN ZIP,6163,0,"0.11000","0","1","Statshield®","Active","Static Shielding Bag","In","<25nJ","Zip Lock","3.0 mil (76.2 microns)","5"" (127mm)","3"" (76.2mm)","-","Silver"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/100510.JPG,SCP424-ND,100510,SCS,BAG 5X10"" STATIC SHIELD 1=1EA,5823,0,"0.11000","0","1","1000","Active","Static Shielding Bag","In","<10nJ","User Defined - Clips, Heat Seal, Tape","2.8 mil (71.12 microns)","10"" (254mm)","5"" (127mm)","4600 psi","Silver"
http://documents.staticcontrol.com/PDF/Dri-Shield-2000-Moisture-Barrier-Bag.pdf,//media.digikey.com/Photos/SCS/MFG_70035.jpg,SCP402-ND,70035,SCS,BAG 3X5"" MOISTURE BARRIER 1=1EA,29473,0,"0.12000","0","1","Dri-Shield 2000","Active","Moisture Barrier Bag","Dual Layer","<10nJ","User Defined - Clips, Heat Seal, Tape","3.6 mil (91.44 microns)","5"" (127mm)","3"" (76.2mm)","7800 psi","Silver"
http://documents.desco.com/PDF/13880.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_13879.jpg,16-1344-ND,13879,Desco,BAG STATIC DISSIPATIVE 3X5,18339,0,"0.12000","0","1","Statfree®","Active","Static Dissipative Bag","None","-","Zip Lock","3.5 mil (88.9 microns)","5"" (127mm)","3"" (76.2mm)","5300 psi","Clear"
http://documents.staticcontrol.com/PDF/Static_Shielding_Bag_1000_Series.pdf,//media.digikey.com/Photos/3M%20Photos/30044.JPG,SCP347-ND,30044,SCS,BAG 4X4"" ZIP STATIC SHIELD 1=1EA,3891,0,"0.12000","0","1","1000 ZipTop™","Active","Static Shielding Bag","In","<10nJ","Zip Lock","2.8 mil (71.12 microns)","4"" (101.6mm)","4"" (101.6mm)","4600 psi","Silver"
