Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Specifications"
http://documents.desco.com/PDF/09837.pdf,//media.digikey.com/photos/Desco%20Photos/09837.jpg,16-1301-ND,09837,Desco,HUB MULTI-GROUND INCLUDES HARDWR,7,0,"38.66000","0","1","-","Active","Multiple Grounding Hub","#10 Ring Terminal (6), Banana Plug (6)","Common Ground Point"
http://documents.desco.com/PDF/07454.pdf,//media.digikey.com/Photos/Desco%20Photos/07454.jpg,16-1309-ND,07454,Desco,SHP TRVLR 6 MIL 10X12'' 25PK,24,0,"44.51000","0","1","Statfree®","Active","Protective Sleeve","Storing Required Documents in ESD Area","Clear, Dissipative, Pocket"
http://www.aclstaticide.com/datasheets/5075TDS_0510.pdf,//media.digikey.com/Photos/ACL%20Staticide%20Photos/MFG_5076.jpg,ST1103-ND,5076,ACL Staticide Inc,PNK TRASHCAN LINER 24""X34"" 50PK,11,0,"58.00000","0","1","Staticide®","Active","Liner","5075","24"" x 34"", 50 Liners, Pink"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-v_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-VAS.jpg,1110-1004-ND,ER-VAS,Panasonic Industrial Automation Sales,NOZZLE AIR DISPERSAL TYPE,8,0,"59.00000","0","1","ER-V","Active","Nozzle","-","-"
http://documents.desco.com/PDF/12100.pdf,//media.digikey.com/Photos/Desco%20Photos/Statfree-High-Density-Foam.jpg,16-1245-ND,12450,Desco,FOAM HIGH DENSITY 1/2"" 24X36,15,0,"65.60000","0","1","Statfree®","Active","Foam","Electronic Equipment","1/2"", Conductive"
http://documents.desco.com/PDF/07200.pdf,//media.digikey.com/Photos/Desco%20Photos/07200.JPG,16-1273-ND,07200,Desco,CHAIR COVER STATSHIELD,6,0,"72.27000","0","1","Statshield®","Active","Cover, Chair","-","Dissipative"
http://documents.desco.com/PDF/12100.pdf,//media.digikey.com/Photos/Desco%20Photos/12660.jpg,12660-ND,12660,Desco,FOAM HI DENSITY X-INK 1/4"" 24X35,16,0,"76.70000","0","1","Statfree®","Active","Foam","Electronic Equipment","1/4"", Conductive, Crosslinked"
http://documents.staticcontrol.com/pdf/Benchtop_Air_Ionizer_963E_User_Guide.pdf,//media.digikey.com/Photos/SCS/MFG_963E-X.jpg,SCP542-ND,963E-X,SCS,POWER SUPPLY FOR 963E IONIZER,10,0,"80.89000","0","1","-","Active","AC Adapter","963E Ionizer","24V"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-XCCJ2H.jpg,1110-1508-ND,ER-XCCJ2H,Panasonic Industrial Automation Sales,2M SENSOR HEAD CONNECTION CABLE,6,0,"90.00000","0","1","ER-X","Active","Cable","ER-X Ionizers","6.56'"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-vw_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ER-VWANT.JPG,1110-1001-ND,ER-VWANT,Panasonic Industrial Automation Sales,DISCHARGE REPLACEMENT NEEDLE,14,0,"99.00000","0","1","ER-VW","Active","Emitter Pins","-","-"
