Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Voltage - Input"
-,-,2071-B496201-ND,B496201,Botron Company Inc.,B496201 INTELLIGENT-DC BENCH TOP,16,0,"438.93000","0","1","-","Active","Ionizer","Benchtop","110VAC, 220VAC"
-,-,2071-B496202-ND,B496202,Botron Company Inc.,B496202 INTELLIGENT-DC TWO FAN O,5,0,"717.80000","0","1","-","Active","Ionizer","Overhead","110VAC, 220VAC"
-,-,2071-B496203-ND,B496203,Botron Company Inc.,B496203 INTELLIGENT-DC THREE FAN,5,0,"906.95000","0","1","-","Active","Ionizer","Overhead","110VAC, 220VAC"
http://documents.desco.com/PDF/TB-5508.pdf,//media.digikey.com/photos/Desco%20Photos/MFG_94000.jpg,16-1507-ND,94000,Desco,IONZR WRKSTTN 120V W/O FAN,0,0,"343.97000","0","1","-","Active","Ionizer","Benchtop","120VAC"
http://documents.staticcontrol.com/pdf/9310_Overhead_Air_Ionizer_User_Guide.pdf,//media.digikey.com/Photos/SCS/MFG_9310-NO.jpg,SCP570-ND,9310-NO,SCS,IONIZER OVERHEAD 110-240V W/FAN,0,0,"773.35000","0","1","-","Active","Ionizer","Overhead","110 ~ 240 VAC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-X016.jpg,1110-1498-ND,ER-X016,Panasonic Industrial Automation Sales,IONIZER CHASSIS MOUNT 24V,0,0,"975.00000","0","1","ER-X","Active","Ionizer","Chassis Mount","24VDC"
https://www3.panasonic.biz/ac/e_download/fasys/staticsys/staticsys/catalog/er-x_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/ER-X064.jpg,1110-1501-ND,ER-X064,Panasonic Industrial Automation Sales,IONIZER CHASSIS MOUNT 24V,1,1,"1200.00000","0","1","ER-X","Active","Ionizer","Chassis Mount","24VDC"
http://documents.desco.com/PDF/TB-6562.pdf,-,50900D-ND,50900,Desco,"ION BAR ASSEMBLY, 12 INCH, 4 EMI",0,0,"183.68000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94200-ND,94200,Desco,ION BAR ASSEMBLY,0,0,"204.72000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6563.pdf,-,50920D-ND,50920,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 1",0,0,"204.91000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-6562.pdf,-,50901-ND,50901,Desco,"ION BAR ASSEMBLY, 24 INCH, 6 EMI",0,0,"225.53000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5521.pdf,-,94220-ND,94220,Desco,ION BAR ASSEMBLY,0,0,"230.83000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6563.pdf,-,50921-ND,50921,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 2",0,0,"237.20000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-6562.pdf,-,50902-ND,50902,Desco,"ION BAR ASSEMBLY, 36 INCH, 8 EMI",0,0,"256.03000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94201-ND,94201,Desco,ION BAR ASSEMBLY,0,0,"268.19000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6563.pdf,-,50922-ND,50922,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 3",0,0,"289.01000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5521.pdf,-,94221-ND,94221,Desco,ION BAR ASSEMBLY,0,0,"289.12000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94202-ND,94202,Desco,ION BAR ASSEMBLY,0,0,"299.93000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6562.pdf,-,50903-ND,50903,Desco,"ION BAR ASSEMBLY, 48 INCH, 12 EM",0,0,"301.52000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-6562.pdf,-,50904-ND,50904,Desco,"ION BAR ASSEMBLY, 60 INCH, 14 EM",0,0,"319.54000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5521.pdf,-,94222-ND,94222,Desco,ION BAR ASSEMBLY,0,0,"323.53000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94203-ND,94203,Desco,ION BAR ASSEMBLY,0,0,"326.03000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6563.pdf,-,50923-ND,50923,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 4",0,0,"338.19000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-6563.pdf,-,50924D-ND,50924,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 6",0,0,"380.68000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5521.pdf,-,94223-ND,94223,Desco,ION BAR ASSEMBLY,0,0,"387.18000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6562.pdf,-,50905-ND,50905,Desco,"ION BAR ASSEMBLY, 72 INCH, 18 EM",0,0,"404.39000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94204-ND,94204,Desco,ION BAR ASSEMBLY,0,0,"407.31000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-5521.pdf,-,94224-ND,94224,Desco,ION BAR ASSEMBLY,0,0,"446.70000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-5520.pdf,-,94205-ND,94205,Desco,ION BAR ASSEMBLY,0,0,"453.90000","0","1","-","Active","Ionizer","-","-"
http://documents.desco.com/PDF/TB-6563.pdf,-,50925-ND,50925,Desco,"ION BAR ASSEMBLY, AIR-ASSISTED 7",0,0,"465.53000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
-,-,ZJ-FA20KADW-ND,ZJ-FA20 KADW,Omron Automation and Safety,IONIZER FAN TYP 7KV DISCHARGE,0,0,"501.88000","0","1","ZJ-FA20","Active","Ionizer","Benchtop, Wall Mount","100 ~ 240 VAC"
http://documents.desco.com/PDF/TB-6562.pdf,-,50906-ND,50906,Desco,"ION BAR ASSEMBLY, 96 INCH, 24 EM",0,0,"506.90000","0","1","EMIT Ion","Active","Ionizer","Overhead","-"
http://documents.desco.com/PDF/TB-5521.pdf,-,94225-ND,94225,Desco,ION BAR ASSEMBLY,0,0,"521.59000","0","1","-","Active","Ionizer","-","-"
